model,split,mode,seed,epoch,classification_loss,alignment_loss,total_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
linear48-dann,S1_train_I_test_all,uda,0,320,0.001522545120678842,0.12595711648464203,0.1274796575307846,,,
linear48-dann,S1_train_I_test_all,uda,0,330,0.0014408144634217024,0.10783234983682632,0.10927316546440125,,,
linear48-dann,S1_train_I_test_all,uda,0,340,0.0012968570226803422,0.10009726881980896,0.10139412432909012,,,
linear48-dann,S1_train_I_test_all,uda,0,350,0.0011839281069114804,0.09435860067605972,0.0955425277352333,,,
linear48-dann,S1_train_I_test_all,uda,0,360,0.0011199405416846275,0.09233401715755463,0.09345395863056183,,,
linear48-dann,S1_train_I_test_all,uda,0,370,0.0010936132166534662,0.09389019012451172,0.09498380124568939,,,
linear48-dann,S1_train_I_test_all,uda,0,380,0.0011117084650322795,0.10391564667224884,0.10502735525369644,,,
linear48-dann,S1_train_I_test_all,uda,0,390,0.0012473470997065306,0.13214027881622314,0.13338762521743774,,,
linear48-dann,S1_train_I_test_all,uda,0,400,0.001762876519933343,0.20119357109069824,0.2029564529657364,,,
linear48-dann,S1_train_I_test_all,uda,1,1,1.5674782991409302,0.8543125987052917,2.421790838241577,,,
linear48-dann,S1_train_I_test_all,uda,1,10,0.5182961821556091,0.26698926091194153,0.785285472869873,,,
linear48-dann,S1_train_I_test_all,uda,1,20,0.31772565841674805,0.2494903951883316,0.5672160387039185,,,
linear48-dann,S1_train_I_test_all,uda,1,30,0.2051016092300415,0.33691275119781494,0.5420143604278564,,,
linear48-dann,S1_train_I_test_all,uda,1,40,0.12695907056331635,0.48559820652008057,0.6125572919845581,,,
linear48-dann,S1_train_I_test_all,uda,1,50,0.07168285548686981,0.4142281413078308,0.4859110116958618,,,
linear48-dann,S1_train_I_test_all,uda,1,60,0.03938603773713112,0.5841474533081055,0.6235334873199463,,,
linear48-dann,S1_train_I_test_all,uda,1,70,0.023846212774515152,0.35748130083084106,0.3813275098800659,,,
linear48-dann,S1_train_I_test_all,uda,1,80,0.01569920778274536,0.26408717036247253,0.2797863781452179,,,
linear48-dann,S1_train_I_test_all,uda,1,90,0.01153778936713934,0.21770885586738586,0.22924664616584778,,,
linear48-dann,S1_train_I_test_all,uda,1,100,0.00894809141755104,0.19600734114646912,0.20495542883872986,,,
linear48-dann,S1_train_I_test_all,uda,1,110,0.007437370251864195,0.18339534103870392,0.1908327043056488,,,
linear48-dann,S1_train_I_test_all,uda,1,120,0.006257186643779278,0.17435243725776672,0.18060962855815887,,,
linear48-dann,S1_train_I_test_all,uda,1,130,0.005371741484850645,0.16386157274246216,0.1692333072423935,,,
linear48-dann,S1_train_I_test_all,uda,1,140,0.004694803152233362,0.1564314365386963,0.1611262410879135,,,
