sample_id,label,target_file,period,day,day_num,day_label,batch,source_kind,s1_delta_r,s1_delta_r_norm,s1_ema_rise_a0001,s1_ema_decay_a0001,s1_ema_rise_a001,s1_ema_decay_a001,s1_ema_rise_a01,s1_ema_decay_a01,s2_delta_r,s2_delta_r_norm,s2_ema_rise_a0001,s2_ema_decay_a0001,s2_ema_rise_a001,s2_ema_decay_a001,s2_ema_rise_a01,s2_ema_decay_a01,s3_delta_r,s3_delta_r_norm,s3_ema_rise_a0001,s3_ema_decay_a0001,s3_ema_rise_a001,s3_ema_decay_a001,s3_ema_rise_a01,s3_ema_decay_a01,s4_delta_r,s4_delta_r_norm,s4_ema_rise_a0001,s4_ema_decay_a0001,s4_ema_rise_a001,s4_ema_decay_a001,s4_ema_rise_a01,s4_ema_decay_a01,s5_delta_r,s5_delta_r_norm,s5_ema_rise_a0001,s5_ema_decay_a0001,s5_ema_rise_a001,s5_ema_decay_a001,s5_ema_rise_a01,s5_ema_decay_a01,s6_delta_r,s6_delta_r_norm,s6_ema_rise_a0001,s6_ema_decay_a0001,s6_ema_rise_a001,s6_ema_decay_a001,s6_ema_rise_a01,s6_ema_decay_a01
alcohol_26,alcohol,alcohol\alcohol_26.csv,Period_II,Day 6,6,Period II Day 6,batch2,new,8.0,0.20512820512820512,0.006672251094461679,-0.003536236414860652,0.046889116855673964,-0.021267439544634205,0.2426983784838745,-0.1282429536481,5.0,0.021367521367521368,0.004770676648421145,-0.001928640099402265,0.03415663072154905,-0.014754840892925924,0.17813950070719525,-0.10004248523468079,2.0,0.009523809523809525,0.0019900518115199013,-0.0018993913389939122,0.019050161016553435,-0.013451640327764235,0.13736674921077102,-0.1000016445415789,7.0,0.028925619834710745,0.005704486440888844,-0.0029607206188639866,0.03900182690446341,-0.02609268376040797,0.20286684374145086,-0.1599764624665623,8.0,0.19047619047619047,0.00759217074576855,-0.0038131344828378944,0.052505190276086786,-0.02629292039445867,0.3065924708939213,-0.11911726914732236,1.0,0.05263157894736842,0.001,-3.0425158297625815e-05,0.01,-0.001394990857935336,0.1,-0.04765536840814749
alcohol_27,alcohol,alcohol\alcohol_27.csv,Period_II,Day 6,6,Period II Day 6,batch2,new,19.0,0.59375,0.01818553486634631,-0.007175695808384353,0.14284404503680556,-0.047137771910395615,0.6994963818300335,-0.17392471856496106,10.0,0.044444444444444446,0.008910534085262208,-0.0047619022161668745,0.08151723187610194,-0.033463407731352826,0.5116655565010001,-0.20275182100000005,4.0,0.021505376344086023,0.002996991039925085,-0.001993021959049959,0.029691392584382893,-0.019321594959219302,0.26432908210000006,-0.14836113100000003,9.0,0.036290322580645164,0.0077564183489132665,-0.005581288567760206,0.061938572753526586,-0.035708820110022896,0.38721718125154914,-0.24932000000000004,15.0,0.42857142857142855,0.014809383339236214,-0.006179134973181809,0.1321254291614311,-0.04125760629821185,0.7721641000000001,-0.16707163198425606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcohol_28,alcohol,alcohol\alcohol_28.csv,Period_II,Day 6,6,Period II Day 6,batch2,new,9.0,0.34615384615384615,0.008041189228786843,-0.005533865251494254,0.05770156407953362,-0.03154665164598532,0.20854184130456102,-0.13732940195974652,7.0,0.034653465346534656,0.0054509444318508035,-0.0028573942086670906,0.04207045735825952,-0.020140111928879288,0.213462194401,-0.13825865155582953,4.0,0.022727272727272728,0.00368195455929076,-0.0019122946545644963,0.025275477752873008,-0.014081222959167788,0.12162900178548616,-0.11290343111130612,8.0,0.036036036036036036,0.0058663125782297725,-0.0038967560162112115,0.048517330720616536,-0.03144445299905571,0.2728566125542717,-0.21627763179715923,11.0,0.4074074074074074,0.008844358916914478,-0.006085969860439905,0.0654974776059793,-0.03430915488531509,0.278372311210892,-0.15587763746505975,1.0,0.06666666666666667,0.001,-0.001,0.01,-0.01,0.1,-0.1
alcohol_29,alcohol,alcohol\alcohol_29.csv,Period_II,Day 6,6,Period II Day 6,batch2,new,10.0,0.38461538461538464,0.009660238607473184,-0.0053180966622918225,0.08595605107540423,-0.029351745002266547,0.6019217562314271,-0.12752505566040817,10.0,0.04926108374384237,0.008961087099526897,-0.005379222048044901,0.08618786786243568,-0.03258423532119421,0.596940593473128,-0.14812094767060335,5.0,0.028409090909090908,0.003982057884139917,-0.0019233513572705116,0.03825685391680822,-0.014815610697995831,0.267715759411,-0.10865259396698232,7.0,0.03125,0.006875616675958909,-0.00552135298015865,0.058896104978602426,-0.03438504399926263,0.33943983913436976,-0.21370836737086157,12.0,0.42857142857142855,0.011928278267360159,-0.0036714420541244727,0.11307179437828364,-0.02110277840871624,0.6975512122771,-0.12151191835974955,1.0,0.06666666666666667,0.001,-3.6862861822258442e-06,0.01,-0.00022660144205267387,0.1,-0.011215766545905684
alcohol_30,alcohol,alcohol\alcohol_30.csv,Period_II,Day 6,6,Period II Day 6,batch2,new,9.0,0.34615384615384615,0.008790461041354738,-0.003753487658322889,0.07181017716790244,-0.023337061013551985,0.3399224466844174,-0.11653839201879922,7.0,0.03482587064676617,0.006838745501442106,-0.0028997596308039954,0.056050574973486825,-0.022099199624180096,0.31065228729284555,-0.12818051310507772,4.0,0.022857142857142857,0.002968260096362291,-0.0019811652316067147,0.027058382240815852,-0.018258387636767542,0.15820573886314704,-0.11380927668704209,6.0,0.027149321266968326,0.003998522346325755,-0.0038367955264411047,0.03950485186788378,-0.029134549234931067,0.3078741876793675,-0.22399169267271174,10.0,0.37037037037037035,0.00877262172217708,-0.0038327236616007535,0.07128757216862887,-0.02699890923462934,0.36581922013361023,-0.1391159867905351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcohol_31,alcohol,alcohol\alcohol_31.csv,Period_II,Day 6,6,Period II Day 6,batch2,new,14.0,0.4827586206896552,0.013716261410567112,-0.004675318118666763,0.1150826951459497,-0.028434631216941557,0.48736795432077107,-0.147350711412935,11.0,0.05392156862745098,0.010772793053556766,-0.00285952276958467,0.0903371734664225,-0.019826317711745464,0.6951188381341901,-0.12765093222796373,4.0,0.021739130434782608,0.00398506975062984,-0.0019249265277164153,0.038567561954738046,-0.014565417285563837,0.30029286317329,-0.10531441,9.0,0.04186046511627907,0.00843321877375812,-0.004753842949943401,0.05914836299476059,-0.03432386873637634,0.33971982014910007,-0.2,12.0,0.41379310344827586,0.011721313117767408,-0.0044999843606755964,0.09562403044618559,-0.029497148448329666,0.46126795432077106,-0.16051411967046314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcohol_32,alcohol,alcohol\alcohol_32.csv,Period_II,Day 6,6,Period II Day 6,batch2,new,15.0,0.4166666666666667,0.013749425389893755,-0.004735887346949961,0.11775905613480599,-0.03103769606046531,0.5352257720546619,-0.14782969,11.0,0.0502283105022831,0.009830411123062977,-0.0019742944048348854,0.08501852458878206,-0.017679956162077938,0.45273528205466185,-0.10563604943794033,4.0,0.01951219512195122,0.0029979394045049324,-0.0018426615963374423,0.029742913961867644,-0.01177700189310133,0.24786796726105798,-0.1051617545078638,10.0,0.04504504504504504,0.00854495769390972,-0.004687930521880242,0.06893133212505081,-0.030499641577188204,0.352829861300158,-0.1649294455689928,17.0,0.4594594594594595,0.01668752263439269,-0.005235642992051974,0.14245086473734553,-0.032450627222938615,0.7793670000000001,-0.14933185583747924,1.0,0.07142857142857142,0.001,-0.001,0.01,-0.01,0.1,-0.1
alcohol_33,alcohol,alcohol\alcohol_33.csv,Period_II,Day 7,7,Period II Day 7,batch2,new,18.0,0.46153846153846156,0.016661510454290592,-0.008407512263085025,0.13986047625577058,-0.052904356751387986,0.7241277499468395,-0.20216875342754945,9.0,0.0391304347826087,0.008900078397109086,-0.003851061819720784,0.08091327430668589,-0.028163971563154706,0.48390297014427175,-0.1360344101491,4.0,0.019704433497536946,0.002970224715423073,-0.0027194104382232856,0.027221382764902796,-0.018262520752117317,0.19767884111130613,-0.11365861181202694,7.0,0.027888446215139442,0.0057483380446428645,-0.004679851068801434,0.042547164726389704,-0.030516373557946487,0.2894888411113061,-0.17772153046869546,13.0,0.325,0.012317185829770087,-0.007822093386682515,0.10390373253511237,-0.04899676081717717,0.6712372000000001,-0.2224386000833618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcohol_34,alcohol,alcohol\alcohol_34.csv,Period_II,Day 7,7,Period II Day 7,batch2,new,15.0,0.35714285714285715,0.014154225790295388,-0.005623424661732272,0.08931972057960669,-0.03574303269557734,0.48542504792299,-0.1522456266908233,6.0,0.02575107296137339,0.00474615760467869,-0.0028717936573368083,0.03942115140065751,-0.020564427508805168,0.32474153061960254,-0.11826386915208262,3.0,0.014423076923076924,0.001997895321156172,-0.0019314716305073721,0.01970645138675886,-0.01492136583911417,0.14813060924331592,-0.10008525727840845,6.0,0.024,0.004975102912905354,-0.004811883901543193,0.047601955424863354,-0.03599448565697476,0.33471935383827806,-0.179696454330604,20.0,0.4878048780487805,0.019858839550337903,-0.0038362508210918614,0.1866094125040805,-0.027471173681373515,1.1604236015282208,-0.13192853264706017,1.0,0.041666666666666664,0.001,0.0,0.01,0.0,0.1,0.0
alcohol_35,alcohol,alcohol\alcohol_35.csv,Period_II,Day 7,7,Period II Day 7,batch2,new,20.0,0.46511627906976744,0.01963364696367051,-0.01049956186917209,0.1760584911240812,-0.06518704626736273,0.9441841628167795,-0.2544622488785464,10.0,0.042735042735042736,0.00991453237288389,-0.0038713246125218438,0.09190967507576833,-0.029648217649956697,0.49114577629383194,-0.14331321554434795,5.0,0.023923444976076555,0.004955297460448257,-0.0019531281045131635,0.045784165777527426,-0.01618435718273736,0.26742788113401456,-0.10126389594679833,8.0,0.031746031746031744,0.007856726244606514,-0.00446183336363094,0.06710193258054217,-0.031508763345499506,0.3398556361757511,-0.173724094821381,22.0,0.5238095238095238,0.02182095099694642,-0.009080633006550792,0.20291627044548763,-0.05938833362907892,1.0759967610867418,-0.25848197734322365,1.0,0.041666666666666664,0.001,0.0,0.01,0.0,0.1,0.0
alcohol_36,alcohol,alcohol\alcohol_36.csv,Period_II,Day 8,8,Period II Day 8,batch2,new,14.0,0.28,0.01292223659733515,-0.0019722740715695944,0.12243300363901244,-0.01631890236522652,0.8977636721000002,-0.11738266021775268,6.0,0.02459016393442623,0.005992006996001,-0.001004330906143743,0.05920696010000001,-0.010118209477785037,0.52661,-0.10000001501193488,3.0,0.013452914798206279,0.002994010986010995,-0.001,0.029410861095010003,-0.01,0.2497051,-0.1,5.0,0.018315018315018316,0.003000866186927118,-0.0010068949859134999,0.029976342074926825,-0.010603335255962066,0.2504968075322573,-0.13428008210000003,14.0,0.28,0.013919242560542517,-0.001024077711545482,0.13213865382209544,-0.011718406967060413,1.0287741000000001,-0.10664565818440858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcohol_37,alcohol,alcohol\alcohol_37.csv,Period_II,Day 8,8,Period II Day 8,batch2,new,12.0,0.23076923076923078,0.011836275514101099,-0.0038296265189031848,0.10471924864837939,-0.027029371356352472,0.7038008210000002,-0.11852305204900923,5.0,0.02032520325203252,0.004986032941070944,-0.0010037182768152923,0.0486324170442792,-0.010192105084704988,0.387756721,-0.10001878195487512,3.0,0.013392857142857142,0.0029781729794660567,-0.001,0.027964183503808637,-0.01,0.18456486684177073,-0.1,5.0,0.018115942028985508,0.004853438066154984,-0.0036411685656746098,0.038012056158923724,-0.024995392466740263,0.2607011383925408,-0.2,12.0,0.23529411764705882,0.011596191349867634,-0.0036454040273355684,0.0878355145740799,-0.02435905627627731,0.7115347900000001,-0.12061402099056635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcohol_38,alcohol,alcohol\alcohol_38.csv,Period_II,Day 8,8,Period II Day 8,batch2,new,15.0,0.3333333333333333,0.013839118131861866,-0.00383726569823527,0.12487538805305777,-0.02753802551741865,0.6232923252270338,-0.12411039101218486,7.0,0.029661016949152543,0.005933479810412291,-0.0010047713122999231,0.05376067320267219,-0.010312606696740114,0.3036318042366731,-0.10038853752816966,3.0,0.014018691588785047,0.002972196097977599,-0.001001914003719262,0.027388241225644337,-0.010129458153843501,0.17290000000000003,-0.1003707576565288,6.0,0.022058823529411766,0.004927805459504586,-0.002044149537226535,0.0434576743636768,-0.022510789865199547,0.2715685947078582,-0.17691109014595616,14.0,0.3111111111111111,0.012909358245008388,-0.0036239312180494573,0.12125145634274462,-0.022881330325367297,0.6888643104343479,-0.12132260479859841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcohol_39,alcohol,alcohol\alcohol_39.csv,Period_II,Day 9,9,Period II Day 9,batch2,new,12.0,0.21052631578947367,0.011984006999,-0.005347185505789453,0.11840699,-0.03481444295090705,1.0469000000000002,-0.18633353649015005,5.0,0.020080321285140562,0.004996001,-0.0028731688263790903,0.049601000000000006,-0.020372622098867366,0.4610000000000001,-0.13917251611000003,3.0,0.013043478260869565,0.0019979801524184935,-0.0010019702179675455,0.01978147316844851,-0.010172089863316622,0.17072197461030614,-0.10432524171777999,3.0,0.010238907849829351,0.0020069581605807896,-0.0028688967108218264,0.020659568780055385,-0.022313656839853018,0.24059116186581003,-0.15467570260013225,10.0,0.1724137931034483,0.00899596916846617,-0.0027576320157157597,0.08957063765247414,-0.01836927699191241,0.8415541766792292,-0.12403307545905695,0.0,0.0,0.0,-0.001,0.0,-0.01,0.0,-0.1
alcohol_40,alcohol,alcohol\alcohol_40.csv,Period_II,Day 9,9,Period II Day 9,batch2,new,17.0,0.32075471698113206,0.016918256221455142,-0.0070245944484503015,0.16204942947713277,-0.05211974028794257,1.0962373637543283,-0.29643866696506427,7.0,0.02834008097165992,0.006965090864124931,-0.003490675795062458,0.06658965243021969,-0.02666855568602891,0.4507300000000002,-0.14921002718929727,2.0,0.008771929824561403,0.001996005996001,-0.0010029651303337635,0.0196059601,-0.010266328085763094,0.16561000000000003,-0.10774804316443609,4.0,0.013937282229965157,0.003987067692033429,-0.0029189885860428214,0.038765011072281044,-0.022694572517611738,0.31530904299982454,-0.1648021409658461,10.0,0.18181818181818182,0.009976025986003001,-0.003920920544407434,0.0976258603,-0.0353585482167953,0.7846300000000002,-0.2975111850161673,1.0,0.058823529411764705,0.001,-9.316827659231212e-05,0.01,-0.0038452778059129347,0.1,-0.07818193591709605
alcohol_41,alcohol,alcohol\alcohol_41.csv,Period_II,Day 9,9,Period II Day 9,batch2,new,10.0,0.18867924528301888,0.008978010092548363,-0.00467056552179157,0.08781088603546412,-0.030588655946250494,0.6958789113209466,-0.15314410000000003,4.0,0.016194331983805668,0.003992006998,-0.001918493368379121,0.03920698,-0.014264991174694798,0.3268000000000001,-0.10001509860294422,3.0,0.013157894736842105,0.002001982048920086,-0.0018701910746215145,0.02018248208538289,-0.01248027266732975,0.20618008210000002,-0.10000006063213196,4.0,0.013986013986013986,0.0030029482502177884,-0.003765294175330622,0.030250433361332284,-0.026790557083444792,0.29677884111130615,-0.2,10.0,0.18181818181818182,0.009984007999,-0.0028527651956028123,0.09840798999999999,-0.019343058183120605,0.8479000000000001,-0.11915016296404787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcohol_42,alcohol,alcohol\alcohol_42.csv,Period_II,Day 9,9,Period II Day 9,batch2,new,9.0,0.20930232558139536,0.008854509759167854,-0.00784785689117479,0.076721942377975,-0.05090650848630896,0.4661200000000001,-0.1673016463475339,5.0,0.022222222222222223,0.00399996215958079,-0.002901032218668162,0.039963558780055385,-0.022315491187479858,0.3744911618658101,-0.10729360409572403,3.0,0.014423076923076924,0.0020039472502177886,-0.001849871931785406,0.020349433361332284,-0.01261323533174288,0.20577884111130612,-0.10402654138115698,5.0,0.019230769230769232,0.0020168844527982998,-0.003917883591472605,0.021588421870723365,-0.033247322888828215,0.28936881349743004,-0.30000000000000004,9.0,0.2,0.008967056947027992,-0.006484684763175298,0.08675647279201,-0.04104422903748151,0.64441,-0.17371000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcohol_43,alcohol,alcohol\alcohol_43.csv,Period_II,Day 9,9,Period II Day 9,batch2,new,8.0,0.18604651162790697,0.0079392663191367,-0.007679148833692455,0.07416029251024428,-0.04855313909879797,0.6040000000000001,-0.18799393722205576,6.0,0.02666666666666667,0.005995024930129834,-0.0037247202889414857,0.05952431283547093,-0.024195240587503608,0.5691479261100001,-0.12848797348436175,3.0,0.014492753623188406,0.0020009900448802096,-0.0019446531738014031,0.02009043820750088,-0.015690964196426755,0.20348678440100001,-0.10054008727217217,4.0,0.01532567049808429,0.0020109411896005913,-0.00557029637224814,0.021042860585767546,-0.03531838653428239,0.266533733002,-0.30000000000000004,7.0,0.15555555555555556,0.006991004,-0.005512217508545689,0.069104,-0.03709616620045771,0.6140000000000001,-0.1672057101328947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acetone_44,acetone,acetone\acetone_44.csv,Period_II,Day 10,10,Period II Day 10,batch3,new,33.0,0.6226415094339622,0.03273512149809556,-0.015481107365286254,0.30657098376124353,-0.10047750325878514,2.150365214829858,-0.37766866501000007,37.0,0.15163934426229508,0.03673899849156272,-0.02462613722289983,0.34477632067221864,-0.15432337041569172,2.1786860910000003,-0.51323027694139,3.0,0.013215859030837005,0.0029890587408727574,-0.0019455458315083935,0.028956485296706913,-0.015716549422657454,0.22988614896072454,-0.10041852521831864,26.0,0.09386281588447654,0.025782074981636864,-0.0197834837378391,0.23914000430373708,-0.11229920897301769,1.39661421114087,-0.4111412773431979,44.0,0.8301886792452831,0.043735807442105895,-0.01995028967041486,0.4142936087116237,-0.1363564630812182,2.9905879900000008,-0.4950242265704191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
