experiment,split,variant,mode,seed,alignment_strength,best_epoch,lr_C,probe_dimensions,label_usage,alignment_label_usage,selection_usage,final_training,neural_test_accuracy,lr_train_accuracy,lr_train_balanced_accuracy,lr_train_macro_f1,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1
feature-fusion,S5_train_I_D1_val_D2_3,FEATURE-FUSION-UDA,uda,0,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8961038961038961,1.0,1.0,1.0,0.8961038961038961,0.8933619609948112,0.8989527763103901
feature-fusion,S5_train_I_D1_val_D2_3,FEATURE-FUSION-UDA,uda,1,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8484848484848485,1.0,1.0,1.0,0.8571428571428571,0.8541778493469314,0.8607757488960496
feature-fusion,S5_train_I_D1_val_D2_3,FEATURE-FUSION-UDA,uda,2,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8961038961038961,1.0,1.0,1.0,0.8874458874458875,0.8829844337090713,0.8886391654812708
feature-fusion,S5_train_I_D1_val_D2_3,FEATURE-FUSION-UDA,uda,3,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8571428571428571,1.0,1.0,1.0,0.8744588744588745,0.8699230631597782,0.8765982709333174
feature-fusion,S5_train_I_D1_val_D2_3,FEATURE-FUSION-UDA,uda,4,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8831168831168831,1.0,1.0,1.0,0.8744588744588745,0.8713544462336733,0.877281536856005
feature-fusion,S6_train_I_D1_2_val_D3_5,FEATURE-FUSION-SEMI,semi,0,0.5,360,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.946341463414634,1.0,1.0,1.0,0.9658536585365852,0.9653476414039792,0.9663509575929335
feature-fusion,S6_train_I_D1_2_val_D3_5,FEATURE-FUSION-SEMI,semi,1,0.5,120,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.9365853658536586,1.0,1.0,1.0,0.9609756097560976,0.95946046650272,0.9609632080822862
feature-fusion,S6_train_I_D1_2_val_D3_5,FEATURE-FUSION-SEMI,semi,2,0.5,190,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.9365853658536586,1.0,1.0,1.0,0.9560975609756096,0.955361800432223,0.9569464023895856
feature-fusion,S6_train_I_D1_2_val_D3_5,FEATURE-FUSION-SEMI,semi,3,0.5,390,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.9804878048780488,1.0,1.0,1.0,0.975609756097561,0.975333482375736,0.9760915428289364
feature-fusion,S6_train_I_D1_2_val_D3_5,FEATURE-FUSION-SEMI,semi,4,0.5,370,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.951219512195122,1.0,1.0,1.0,0.9658536585365852,0.9653476414039792,0.966548127693124
feature-fusion,S6_train_I_D1_2_val_D3_5,FEATURE-FUSION-UDA,uda,0,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8926829268292683,1.0,1.0,1.0,0.8926829268292683,0.8901557493106789,0.8952795300112869
feature-fusion,S6_train_I_D1_2_val_D3_5,FEATURE-FUSION-UDA,uda,1,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.848780487804878,1.0,1.0,1.0,0.8634146341463415,0.8607943960056635,0.8664124219940373
feature-fusion,S6_train_I_D1_2_val_D3_5,FEATURE-FUSION-UDA,uda,2,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.902439024390244,1.0,1.0,1.0,0.8878048780487805,0.8842685744094195,0.8889212158828986
feature-fusion,S6_train_I_D1_2_val_D3_5,FEATURE-FUSION-UDA,uda,3,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8536585365853658,1.0,1.0,1.0,0.8731707317073171,0.8695878977569119,0.8753377616283317
