experiment,split,mode,alignment_strength,seed,best_epoch,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,selection_usage
residual-mkmmd,S7_train_I_D1_3_val_D4_5,uda,0.1,2,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S7_train_I_D1_3_val_D4_5,uda,0.1,3,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S7_train_I_D1_3_val_D4_5,uda,0.1,4,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,0.01,0,10,0.9615384615384616,0.9666666666666667,0.9665831244778613,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,0.01,1,80,0.9615384615384616,0.9666666666666667,0.9665831244778613,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,0.01,2,390,0.9615384615384616,0.9666666666666667,0.9665831244778613,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,0.01,3,10,0.9230769230769231,0.9333333333333332,0.9326599326599326,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,0.01,4,20,0.9230769230769231,0.9333333333333332,0.9326599326599326,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,0.1,0,300,1.0,1.0,1.0,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,0.1,1,170,1.0,1.0,1.0,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,0.1,2,80,1.0,1.0,1.0,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,0.1,3,240,1.0,1.0,1.0,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,0.1,4,70,1.0,1.0,1.0,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,1.0,0,20,1.0,1.0,1.0,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,1.0,1,60,1.0,1.0,1.0,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,1.0,2,40,1.0,1.0,1.0,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,1.0,3,80,1.0,1.0,1.0,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,1.0,4,60,1.0,1.0,1.0,target validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,1.0,1,240,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,1.0,2,140,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,1.0,3,10,0.6,0.6666666666666666,0.611111111111111,source validation labels
local-mkmmd,S2_train_I_internal_val_test_all,uda,1.0,4,80,0.8,0.8333333333333334,0.7777777777777777,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,0,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,1,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
