split,description,stage,seed,architecture,hidden_dims,dropout,weight_decay,learning_rate,best_epoch,epochs_executed,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,4,54->64->32->3,"64,32",0.0,0.001,0.001,18,58,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,0,54->64->32->3,"64,32",0.05,1e-05,0.001,10,50,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,1,54->64->32->3,"64,32",0.05,1e-05,0.001,19,59,0.5,0.5,0.5079365079365079
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,2,54->64->32->3,"64,32",0.05,1e-05,0.001,14,54,0.6,0.5833333333333334,0.5793650793650794
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,3,54->64->32->3,"64,32",0.05,1e-05,0.001,14,54,0.7,0.6666666666666666,0.6555555555555556
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,4,54->64->32->3,"64,32",0.05,1e-05,0.001,19,59,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,0,54->64->32->3,"64,32",0.05,0.0001,0.001,10,50,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,1,54->64->32->3,"64,32",0.05,0.0001,0.001,19,59,0.5,0.5,0.5079365079365079
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,2,54->64->32->3,"64,32",0.05,0.0001,0.001,14,54,0.6,0.5833333333333334,0.5793650793650794
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,3,54->64->32->3,"64,32",0.05,0.0001,0.001,14,54,0.7,0.6666666666666666,0.6555555555555556
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,4,54->64->32->3,"64,32",0.05,0.0001,0.001,19,59,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,0,54->64->32->3,"64,32",0.05,0.001,0.001,10,50,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,1,54->64->32->3,"64,32",0.05,0.001,0.001,19,59,0.5,0.5,0.5079365079365079
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,2,54->64->32->3,"64,32",0.05,0.001,0.001,14,54,0.6,0.5833333333333334,0.5793650793650794
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,3,54->64->32->3,"64,32",0.05,0.001,0.001,14,54,0.7,0.6666666666666666,0.6555555555555556
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,4,54->64->32->3,"64,32",0.05,0.001,0.001,19,59,0.7,0.6666666666666666,0.6518518518518519
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,regularization,0,54->16->3,16,0.0,1e-05,0.001,50,90,0.7142857142857143,0.7333333333333334,0.671750181554103
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,regularization,1,54->16->3,16,0.0,1e-05,0.001,35,75,0.7142857142857143,0.7333333333333334,0.671750181554103
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,regularization,2,54->16->3,16,0.0,1e-05,0.001,46,86,0.6785714285714286,0.7000000000000001,0.656770130454341
