split,description,stage,seed,architecture,hidden_dims,dropout,weight_decay,learning_rate,best_epoch,epochs_executed,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.4230769230769231,0.3666666666666667,0.2510822510822511
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,0,54->64->32->3,"64,32",0.0,1e-05,0.0005,1,41,0.6538461538461539,0.6777777777777777,0.6309523809523809
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,1,54->64->32->3,"64,32",0.0,1e-05,0.0005,10,50,0.6153846153846154,0.6666666666666666,0.537577365163572
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,2,54->64->32->3,"64,32",0.0,1e-05,0.0005,66,106,0.7307692307692307,0.7666666666666666,0.7251461988304094
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,3,54->64->32->3,"64,32",0.0,1e-05,0.0005,16,56,0.6538461538461539,0.6777777777777777,0.668109668109668
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.0005,58,98,0.7307692307692307,0.7666666666666666,0.7340930674264007
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,0,54->64->32->3,"64,32",0.0,1e-05,0.001,3,43,0.6153846153846154,0.6666666666666666,0.6130718954248365
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,1,54->64->32->3,"64,32",0.0,1e-05,0.001,58,98,0.6538461538461539,0.7000000000000001,0.6541537667698658
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,2,54->64->32->3,"64,32",0.0,1e-05,0.001,17,57,0.7692307692307693,0.7999999999999999,0.7712418300653594
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,3,54->64->32->3,"64,32",0.0,1e-05,0.001,9,49,0.6923076923076923,0.7333333333333333,0.706959706959707
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.001,20,60,0.7692307692307693,0.7999999999999999,0.757516339869281
