split,description,stage,seed,architecture,hidden_dims,dropout,weight_decay,learning_rate,best_epoch,epochs_executed,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,3,54->32->16->3,"32,16",0.0,0.0001,0.001,49,89,0.75,0.7666666666666666,0.7239819004524887
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,4,54->32->16->3,"32,16",0.0,0.0001,0.001,43,83,0.6428571428571429,0.6666666666666666,0.5436105476673428
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,0,54->64->32->3,"64,32",0.0,0.0001,0.001,4,44,0.75,0.7583333333333333,0.7452991452991453
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,1,54->64->32->3,"64,32",0.0,0.0001,0.001,26,66,0.6428571428571429,0.6583333333333333,0.5853174603174603
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,2,54->64->32->3,"64,32",0.0,0.0001,0.001,31,71,0.6785714285714286,0.7000000000000001,0.6124267888973772
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,3,54->64->32->3,"64,32",0.0,0.0001,0.001,19,59,0.7857142857142857,0.7999999999999999,0.7708683473389355
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,4,54->64->32->3,"64,32",0.0,0.0001,0.001,29,69,0.6428571428571429,0.6666666666666666,0.5555555555555555
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,0,54->16->3,16,0.0,0.0001,0.001,13,53,0.34615384615384615,0.43333333333333335,0.2814814814814815
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,1,54->16->3,16,0.0,0.0001,0.001,27,67,0.46153846153846156,0.5333333333333333,0.4289393939393939
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,2,54->16->3,16,0.0,0.0001,0.001,32,72,0.4230769230769231,0.5,0.40256410256410263
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,3,54->16->3,16,0.0,0.0001,0.001,29,69,0.38461538461538464,0.4666666666666666,0.3618233618233619
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,4,54->16->3,16,0.0,0.0001,0.001,55,95,0.4230769230769231,0.5,0.40277777777777785
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,0,54->32->3,32,0.0,0.0001,0.001,93,133,0.6153846153846154,0.6666666666666666,0.6183006535947712
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,1,54->32->3,32,0.0,0.0001,0.001,9,49,0.5,0.5666666666666668,0.4647627166808752
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,2,54->32->3,32,0.0,0.0001,0.001,20,60,0.8076923076923077,0.8333333333333334,0.8199730094466937
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,architecture,3,54->32->3,32,0.0,0.0001,0.001,2,42,0.4230769230769231,0.5,0.3611111111111111
