feature_extractor_layers,feature_extractor_architecture,split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,L_last,Ld_last,backward_loss_scalar_last,feature_extractor_objective,class_loss_last,domain_loss_last,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,340,0.0041324333287775,0.219332754611969,0.2234651893377304,min L - lambda*Ld via gradient reversal,0.0041324333287775,0.219332754611969,25,25,5,0,273,0,273,1.0,0.8,0.8351648351648352,1.0,0.8333333333333334,0.8341049382716049,1.0,0.7777777777777777,0.8329877459139836,0.1648351648351648,0.9194630872483222
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0007723859162069,0.2300392985343933,0.2308116853237152,min L - lambda*Ld via gradient reversal,0.0007723859162069,0.2300392985343933,25,25,5,0,273,0,273,0.92,0.8,0.6483516483516484,0.9333333333333332,0.8333333333333334,0.659593621399177,0.9074074074074074,0.7777777777777777,0.6503267973856209,0.2716483516483516,0.9161073825503356
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0060264938510954,0.2001667022705078,0.2061931937932968,min L - lambda*Ld via gradient reversal,0.0060264938510954,0.2001667022705078,25,25,5,0,273,0,273,0.76,0.8,0.5457875457875457,0.7666666666666666,0.8333333333333334,0.5540123456790124,0.7450892187734293,0.7777777777777777,0.5429065004950021,0.2142124542124542,0.9161073825503356
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,60,0.0238038338720798,0.2310793548822403,0.254883199930191,min L - lambda*Ld via gradient reversal,0.0238038338720798,0.2310793548822403,25,25,5,0,273,0,273,1.0,0.8,0.7509157509157509,1.0,0.8333333333333334,0.7555298353909464,1.0,0.7777777777777777,0.7524240709300133,0.2490842490842491,0.9161073825503356
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0025553405284881,0.2431479394435882,0.2457032799720764,min L - lambda*Ld via gradient reversal,0.0025553405284881,0.2431479394435882,25,25,5,0,273,0,273,0.84,0.8,0.6593406593406593,0.8333333333333334,0.8333333333333334,0.6693672839506172,0.8185185185185185,0.7777777777777777,0.6521789596830604,0.1806593406593406,0.9161073825503356
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,170,0.0125161707401275,0.2749980390071869,0.2875142097473144,min L - lambda*Ld via gradient reversal,0.0125161707401275,0.2749980390071869,25,25,5,0,273,0,273,1.0,0.8,0.7289377289377289,1.0,0.8333333333333334,0.7327674897119341,1.0,0.7777777777777777,0.7391124695760457,0.2710622710622711,0.9194630872483222
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,380,0.0006681951927021,0.2495509088039398,0.2502191066741943,min L - lambda*Ld via gradient reversal,0.0006681951927021,0.2495509088039398,25,25,5,0,273,0,273,1.0,1.0,0.73992673992674,1.0,1.0,0.7399691358024691,1.0,1.0,0.7428375081606706,0.26007326007326,0.9161073825503356
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0029209051281213,0.2568077147006988,0.2597286105155945,min L - lambda*Ld via gradient reversal,0.0029209051281213,0.2568077147006988,25,25,5,0,273,0,273,0.76,0.8,0.5201465201465202,0.7666666666666666,0.8333333333333334,0.5322788065843622,0.7450892187734293,0.7777777777777777,0.5129247720735215,0.2398534798534798,0.9161073825503356
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,220,0.0122823528945446,0.2610971331596374,0.2733794748783111,min L - lambda*Ld via gradient reversal,0.0122823528945446,0.2610971331596374,25,25,5,0,273,0,273,1.0,0.8,0.7582417582417582,1.0,0.8333333333333334,0.7592592592592592,1.0,0.7777777777777777,0.7596733929685874,0.2417582417582418,0.9161073825503356
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0004927901318296,0.0,0.0004927901318296,min L - lambda*Ld via gradient reversal,0.0004927901318296,0.0,20,20,10,0,273,0,273,0.85,0.7,0.6190476190476191,0.8333333333333334,0.6666666666666666,0.6298868312757202,0.8249999999999998,0.6518518518518519,0.6018597087538581,0.2309523809523809,0.931740614334471
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0029453125316649,0.0,0.0029453125316649,min L - lambda*Ld via gradient reversal,0.0029453125316649,0.0,20,20,10,0,273,0,273,0.9,0.7,0.6446886446886447,0.9166666666666666,0.6666666666666666,0.6593364197530865,0.888888888888889,0.6518518518518519,0.6276168276168277,0.2553113553113553,0.2389078498293515
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0017885776469483,0.0,0.0017885776469483,min L - lambda*Ld via gradient reversal,0.0017885776469483,0.0,20,20,10,0,273,0,273,0.85,0.7,0.6263736263736264,0.875,0.6666666666666666,0.6387602880658436,0.8392496392496392,0.6518518518518519,0.6242738845630948,0.2236263736263736,0.068259385665529
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,0.003011907916516,0.0,0.003011907916516,min L - lambda*Ld via gradient reversal,0.003011907916516,0.0,20,20,10,0,273,0,273,0.95,0.7,0.663003663003663,0.9583333333333334,0.6666666666666666,0.6741255144032922,0.9407407407407408,0.6518518518518519,0.6541786276131627,0.286996336996337,0.0750853242320819
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0002422905090497,0.0,0.0002422905090497,min L - lambda*Ld via gradient reversal,0.0002422905090497,0.0,20,20,10,0,273,0,273,0.8,0.7,0.6227106227106227,0.7916666666666666,0.6666666666666666,0.6346450617283951,0.7773809523809524,0.6555555555555556,0.6191100863721745,0.1772893772893773,0.3959044368600682
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0002941392885986,0.174963891506195,0.1752580255270004,min L - lambda*Ld via gradient reversal,0.0002941392885986,0.174963891506195,20,20,10,0,273,0,273,0.85,0.7,0.6336996336996337,0.8333333333333334,0.6666666666666666,0.6450617283950617,0.8249999999999998,0.6518518518518519,0.6165112160243019,0.2163003663003663,0.931740614334471
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0019436599686741,0.1668972820043563,0.1688409447669983,min L - lambda*Ld via gradient reversal,0.0019436599686741,0.1668972820043563,20,20,10,0,273,0,273,0.9,0.7,0.6336996336996337,0.9166666666666666,0.6666666666666666,0.6489197530864198,0.888888888888889,0.6518518518518519,0.616912972085386,0.2663003663003663,0.931740614334471
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0011736440937966,0.1606713086366653,0.1618449538946151,min L - lambda*Ld via gradient reversal,0.0011736440937966,0.1606713086366653,20,20,10,0,273,0,273,0.9,0.7,0.6556776556776557,0.9166666666666666,0.6666666666666666,0.6684670781893004,0.888888888888889,0.6518518518518519,0.6543679764395877,0.2443223443223443,0.931740614334471
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,0.0006642044754698,0.1991868913173675,0.1998510956764221,min L - lambda*Ld via gradient reversal,0.0006642044754698,0.1991868913173675,20,20,10,0,273,0,273,0.95,0.7,0.6556776556776557,0.9583333333333334,0.6666666666666666,0.6665380658436214,0.9407407407407408,0.6518518518518519,0.64495084064668,0.2943223443223443,0.931740614334471
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0001933979074237,0.1983034759759903,0.1984968781471252,min L - lambda*Ld via gradient reversal,0.0001933979074237,0.1983034759759903,20,20,10,0,273,0,273,0.8,0.7,0.63003663003663,0.7916666666666666,0.6666666666666666,0.6441615226337448,0.7773809523809524,0.6555555555555556,0.6231866165682591,0.16996336996337,0.931740614334471
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0006676657358184,0.1986998617649078,0.1993675231933593,min L - lambda*Ld via gradient reversal,0.0006676657358184,0.1986998617649078,20,20,10,0,273,0,273,0.85,0.7,0.6410256410256411,0.8333333333333334,0.6666666666666666,0.6526491769547325,0.8249999999999998,0.6518518518518519,0.623999376228593,0.2089743589743589,0.931740614334471
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0013661942211911,0.2513214349746704,0.2526876330375671,min L - lambda*Ld via gradient reversal,0.0013661942211911,0.2513214349746704,20,20,10,0,273,0,273,0.9,0.7,0.6373626373626373,0.9166666666666666,0.6666666666666666,0.652391975308642,0.888888888888889,0.6518518518518519,0.6215833720464595,0.2626373626373627,0.931740614334471
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0080520827323198,0.2133361548185348,0.2213882356882095,min L - lambda*Ld via gradient reversal,0.0080520827323198,0.2133361548185348,20,20,10,0,273,0,273,0.9,0.7,0.673992673992674,0.9166666666666666,0.6666666666666666,0.6845421810699589,0.888888888888889,0.6518518518518519,0.6800435227854583,0.2260073260073259,0.931740614334471
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,0.0011032072361558,0.1995408982038498,0.2006441056728363,min L - lambda*Ld via gradient reversal,0.0011032072361558,0.1995408982038498,20,20,10,0,273,0,273,0.95,0.7,0.6593406593406593,0.9583333333333334,0.6666666666666666,0.6700102880658436,0.9407407407407408,0.6518518518518519,0.6529281418170306,0.2906593406593406,0.931740614334471
1,54 -> 16 -> ReLU -> Dropout(0.05),S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0002721509372349,0.2369513362646103,0.2372234910726547,min L - lambda*Ld via gradient reversal,0.0002721509372349,0.2369513362646103,20,20,10,0,273,0,273,0.8,0.7,0.6190476190476191,0.7916666666666666,0.6666666666666666,0.6331018518518517,0.7773809523809524,0.6555555555555556,0.6116228305600285,0.1809523809523809,0.931740614334471
