architecture,split,description,variant,method,mode,seed,alignment_strength,centroid_strength,best_epoch,label_usage,selection_usage,final_training,algorithm_provenance,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,domain_accuracy,domain_balanced_accuracy,domain_source_recall,domain_target_recall
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,2,0.2,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,0.9333333333333333,0.9444444444444443,0.9320884429580082,0.7289377289377289,0.7346965020576132,0.7328696506745288,0.9161073825503355,0.5,0.0,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,3,0.2,0.0,380,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.7802197802197802,0.7800925925925926,0.7867147845728454,0.9228187919463087,0.54,0.08,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,4,0.2,0.0,120,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.7912087912087912,0.7917952674897119,0.7954612113710141,0.9093959731543624,0.5145054945054945,0.04,0.989010989010989
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,0,1.0,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.6776556776556777,0.6873713991769548,0.6637743892625487,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,1,1.0,0.0,50,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8681318681318682,0.8666409465020576,0.8684127719398704,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,2,1.0,0.0,270,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8717948717948718,0.8681841563786007,0.8717919172409756,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,3,1.0,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,0.9,0.9166666666666666,0.8943001443001443,0.7362637362637363,0.7390689300411523,0.7333221943748259,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,4,1.0,0.0,80,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8571428571428571,0.8549382716049383,0.8584172222050493,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,0,1.0,0.0,190,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8864468864468864,0.8820730452674898,0.8871758147777973,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,1,1.0,0.0,160,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8937728937728938,0.8883744855967078,0.8939551026110486,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,2,1.0,0.0,280,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8864468864468864,0.8807870370370371,0.8855203664098282,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,3,1.0,0.0,190,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8937728937728938,0.8890174897119342,0.8942562280590449,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,4,1.0,0.0,150,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8901098901098901,0.8849022633744856,0.8903477924825998,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,0,0.0,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.6703296703296703,0.6823559670781894,0.6608669275789801,,,,
