experiment,family,backbone,method,probe,split,seed,latent_dimensions,probe_dimensions,alignment_strength,centroid_strength,best_epoch,lr_C,train_accuracy,train_balanced_accuracy,train_macro_f1,neural_test_accuracy,neural_test_balanced_accuracy,neural_test_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
residual54-dann,noncompressive-54D,residual54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.9121951219512195,0.910127431254192,0.9109192598709128,0.9073170731707316,0.9054325955734406,0.9063795923077228
residual54-dann,noncompressive-54D,residual54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,54,54,0.2,0.0,180,1.0,1.0,1.0,1.0,0.9317073170731708,0.9306952828079588,0.9315984989196768,0.926829268292683,0.9254042775169536,0.926687257464164
residual54-dann,noncompressive-54D,residual54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,54,54,0.2,0.0,210,1.0,1.0,1.0,1.0,0.9073170731707316,0.907221104404203,0.907187688822947,0.9073170731707316,0.9048364259631866,0.907022579410639
residual54-dann,noncompressive-54D,residual54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,54,54,0.2,0.0,380,1.0,1.0,1.0,1.0,0.9414634146341464,0.9400849541694613,0.9413690591667544,0.9414634146341464,0.9406811237797154,0.941574027985178
residual54-dann,noncompressive-54D,residual54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,54,54,0.2,0.0,250,1.0,1.0,1.0,1.0,0.9414634146341464,0.9412772933899696,0.9417791806404944,0.926829268292683,0.9254042775169536,0.9275575274716538
residual54-dann,noncompressive-54D,residual54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,54,54,0.2,0.0,60,1.0,0.9897959183673468,0.9861111111111112,0.9884633569739952,0.946341463414634,0.9459721290707206,0.9464932227924728,0.9658536585365852,0.9659438110142337,0.966465148378192
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI1_train_I_D1_val_D2_test_D3plus,0,16,70,0.2,0.0,50,1.0,1.0,1.0,1.0,0.8612244897959184,0.8620048847828395,0.8604591540552132,0.9102040816326531,0.9112774769034724,0.9131728600390373
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI1_train_I_D1_val_D2_test_D3plus,1,16,70,0.2,0.0,10,1.0,1.0,1.0,1.0,0.7836734693877551,0.7945736434108527,0.782007757560744,0.9183673469387755,0.9197196559413826,0.9217673350786487
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI1_train_I_D1_val_D2_test_D3plus,2,16,70,0.2,0.0,20,1.0,1.0,1.0,1.0,0.8408163265306122,0.8453860040352555,0.8370242732993707,0.9142857142857143,0.9144632048423066,0.9169172764642771
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI1_train_I_D1_val_D2_test_D3plus,3,16,70,0.2,0.0,30,1.0,1.0,1.0,1.0,0.8571428571428571,0.8608898800042476,0.8554109665220776,0.926530612244898,0.9274715939258787,0.9285544120449781
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI1_train_I_D1_val_D2_test_D3plus,4,16,70,0.2,0.0,30,1.0,1.0,1.0,1.0,0.8816326530612245,0.883455452904322,0.8812941424396533,0.9224489795918367,0.9222151428268027,0.9246189205115023
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI2_train_I_D1_val_D2_3_test_D4plus,0,16,70,0.2,0.0,110,1.0,1.0,1.0,1.0,0.8787878787878788,0.8790481302558598,0.880764828503167,0.9090909090909091,0.9092860976918948,0.9126174047194477
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI2_train_I_D1_val_D2_3_test_D4plus,1,16,70,0.2,0.0,160,1.0,1.0,1.0,1.0,0.8831168831168831,0.885310431204151,0.8848876143840173,0.9177489177489178,0.9182322419037394,0.9202556505860212
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI2_train_I_D1_val_D2_3_test_D4plus,2,16,70,0.2,0.0,160,1.0,1.0,1.0,1.0,0.8614718614718615,0.8611558418321703,0.8647785812801243,0.9134199134199135,0.914117015566291,0.9168745876622951
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI2_train_I_D1_val_D2_3_test_D4plus,3,16,70,0.2,0.0,290,1.0,1.0,1.0,1.0,0.8658008658008658,0.8667024512435141,0.865160548817823,0.8961038961038961,0.8976561102164967,0.8992628845702839
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI2_train_I_D1_val_D2_3_test_D4plus,4,16,70,0.2,0.0,30,1.0,1.0,1.0,1.0,0.8874458874458875,0.8887099660046519,0.8875468164794008,0.922077922077922,0.9216317767042405,0.9248484848484848
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,16,70,0.2,0.0,230,1.0,1.0,1.0,1.0,0.9317073170731708,0.9306952828079589,0.9320100160065928,0.9512195121951219,0.9500707951412176,0.9521306206337464
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,16,70,0.2,0.0,50,1.0,1.0,1.0,1.0,0.9414634146341463,0.9406811237797154,0.9418160351194156,0.9658536585365853,0.9653476414039793,0.966548127693124
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,16,70,0.2,0.0,180,1.0,1.0,1.0,1.0,0.9073170731707317,0.9054325955734406,0.9080168574301997,0.9512195121951219,0.9500707951412176,0.9521306206337464
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,16,70,0.2,0.0,130,1.0,1.0,1.0,1.0,0.9512195121951219,0.9506669647514717,0.9511498651936607,0.9560975609756097,0.955361800432223,0.9570380384608373
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,16,70,0.2,0.0,90,1.0,1.0,1.0,1.0,0.9512195121951219,0.9500707951412176,0.9510865823986707,0.9463414634146341,0.9447797898502124,0.9472027415994783
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,16,70,0.2,0.0,180,1.0,1.0,1.0,1.0,0.9317073170731708,0.9300991131977048,0.931948634978938,0.9414634146341463,0.9406811237797154,0.942878475672804
fusion-dann,raw-plus-latent-fusion,compressed16,dann,fusion,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,16,70,0.2,0.0,340,1.0,1.0,1.0,1.0,0.9317073170731708,0.9295029435874507,0.9317343320134217,0.9463414634146341,0.9447797898502124,0.9472027415994783
