experiment,family,backbone,method,split,seed,alignment_strength,centroid_strength,best_epoch,validation_neural_accuracy,validation_neural_balanced_accuracy,validation_neural_macro_f1,validation_lr_accuracy,validation_lr_balanced_accuracy,validation_lr_macro_f1
residual54-dann,noncompressive-54D,residual54,dann,SI1_train_I_D1_val_D2_test_D3plus,4,0.2,0.0,10,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.9166666666666666,0.9333333333333332,0.8962962962962964
residual54-dann,noncompressive-54D,residual54,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,0.2,0.0,20,1.0,1.0,1.0,1.0,1.0,1.0
residual54-dann,noncompressive-54D,residual54,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,0.2,0.0,50,0.9615384615384616,0.9666666666666668,0.9568151147098516,0.9615384615384616,0.9666666666666668,0.9568151147098516
residual54-dann,noncompressive-54D,residual54,dann,SI2_train_I_D1_val_D2_3_test_D4plus,2,0.2,0.0,10,0.9615384615384616,0.9666666666666668,0.9568151147098516,0.8846153846153846,0.9,0.8787524366471735
residual54-dann,noncompressive-54D,residual54,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,0.2,0.0,30,1.0,1.0,1.0,0.9615384615384616,0.9666666666666668,0.9665831244778612
residual54-dann,noncompressive-54D,residual54,dann,SI2_train_I_D1_val_D2_3_test_D4plus,4,0.2,0.0,10,0.9615384615384616,0.9666666666666668,0.9568151147098516,0.8846153846153846,0.9,0.8787524366471735
residual54-dann,noncompressive-54D,residual54,dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,0.2,0.0,190,0.975,0.977777777777778,0.9777530589543938,0.825,0.8444444444444444,0.8222222222222223
residual54-dann,noncompressive-54D,residual54,dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,0.2,0.0,130,0.9,0.9111111111111112,0.9025419025419024,0.9,0.9111111111111112,0.9095022624434388
residual54-dann,noncompressive-54D,residual54,dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,0.2,0.0,10,0.925,0.9333333333333332,0.9280593958013312,0.925,0.9333333333333332,0.9326599326599326
residual54-dann,noncompressive-54D,residual54,dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,0.2,0.0,110,0.95,0.9555555555555556,0.9504105090311988,0.925,0.9333333333333332,0.9326599326599326
residual54-dann,noncompressive-54D,residual54,dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,0.2,0.0,10,0.925,0.9333333333333332,0.9280593958013312,0.9,0.9111111111111112,0.9025419025419024
residual54-dann,noncompressive-54D,residual54,dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,0.2,0.0,180,0.9615384615384616,0.9666666666666668,0.9665831244778612,0.9230769230769232,0.9333333333333332,0.9214489214489214
residual54-dann,noncompressive-54D,residual54,dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,0.2,0.0,210,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.9230769230769232,0.9333333333333332,0.9326599326599326
residual54-dann,noncompressive-54D,residual54,dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,0.2,0.0,380,0.9615384615384616,0.9666666666666668,0.9665831244778612,0.8846153846153846,0.9,0.8787524366471736
residual54-dann,noncompressive-54D,residual54,dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,0.2,0.0,250,0.9615384615384616,0.9666666666666668,0.9665831244778612,0.9230769230769232,0.9333333333333332,0.9326599326599326
residual54-dann,noncompressive-54D,residual54,dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,0.2,0.0,60,0.8846153846153846,0.9,0.899749373433584,0.8846153846153846,0.9,0.8976982097186701
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI1_train_I_D1_val_D2_test_D3plus,0,0.2,0.0,50,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.9166666666666666,0.9333333333333332,0.8962962962962964
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI1_train_I_D1_val_D2_test_D3plus,1,0.2,0.0,10,0.9166666666666666,0.9333333333333332,0.8962962962962964,1.0,1.0,1.0
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI1_train_I_D1_val_D2_test_D3plus,2,0.2,0.0,20,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.9166666666666666,0.9333333333333332,0.8962962962962964
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI1_train_I_D1_val_D2_test_D3plus,3,0.2,0.0,30,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.9166666666666666,0.9333333333333332,0.8962962962962964
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI1_train_I_D1_val_D2_test_D3plus,4,0.2,0.0,30,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.9166666666666666,0.9333333333333332,0.8962962962962964
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,0.2,0.0,110,0.9615384615384616,0.9666666666666667,0.9568151147098516,0.9230769230769231,0.9333333333333332,0.9234817813765183
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,0.2,0.0,160,0.9615384615384616,0.9666666666666667,0.9568151147098516,0.9230769230769231,0.9333333333333332,0.9172932330827068
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI2_train_I_D1_val_D2_3_test_D4plus,2,0.2,0.0,160,0.9615384615384616,0.9666666666666667,0.9568151147098516,0.9615384615384616,0.9666666666666667,0.9568151147098516
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,0.2,0.0,290,0.9615384615384616,0.9666666666666667,0.9568151147098516,0.9230769230769231,0.9333333333333332,0.9234817813765183
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI2_train_I_D1_val_D2_3_test_D4plus,4,0.2,0.0,30,0.9615384615384616,0.9666666666666667,0.9568151147098516,0.9230769230769231,0.9333333333333332,0.9234817813765183
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,0.2,0.0,230,0.925,0.9222222222222222,0.928343586238323,0.95,0.9555555555555556,0.9553571428571429
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,0.2,0.0,50,0.925,0.9333333333333332,0.9326599326599326,0.95,0.9555555555555556,0.9553571428571429
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,0.2,0.0,180,0.975,0.9777777777777779,0.9777530589543938,0.975,0.9777777777777779,0.9777530589543938
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,0.2,0.0,130,0.925,0.9333333333333332,0.9326599326599326,0.95,0.9555555555555556,0.9553571428571429
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,0.2,0.0,90,0.95,0.9555555555555556,0.9553571428571429,0.95,0.9555555555555556,0.9553571428571429
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,0.2,0.0,180,0.9230769230769231,0.9333333333333332,0.9326599326599326,0.9230769230769231,0.9333333333333332,0.9326599326599326
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,0.2,0.0,340,0.9615384615384616,0.9666666666666667,0.9665831244778613,0.9230769230769231,0.9333333333333332,0.9326599326599326
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,0.2,0.0,220,0.9230769230769231,0.9333333333333332,0.9326599326599326,0.8846153846153846,0.8777777777777779,0.8891816717903674
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,0.2,0.0,40,0.9230769230769231,0.9333333333333332,0.9214489214489214,0.9230769230769231,0.9333333333333332,0.9326599326599326
fusion-dann,raw-plus-latent-fusion,compressed16,dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,0.2,0.0,290,0.9615384615384616,0.9666666666666667,0.9665831244778613,0.9230769230769231,0.9333333333333332,0.9326599326599326
