experiment,family,method,split,seed,epoch,classification_loss,alignment_loss,centroid_loss,total_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,280,0.0036548955831676,0.7887166142463684,0.0,0.7923715114593506,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,290,0.0034399800933897,0.5345858931541443,0.0,0.5380258560180664,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,300,0.0021919915452599,0.3857361972332001,0.0,0.3879281878471374,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,310,0.0020694227423518,0.3438444137573242,0.0,0.345913827419281,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,320,0.00229805521667,0.3662356734275818,0.0,0.368533730506897,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,330,0.0029326574876904,0.4472852945327759,0.0,0.4502179622650146,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,340,0.0033975781407207,0.5066185593605042,0.0,0.510016143321991,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,350,0.0029832464642822,0.438632607460022,0.0,0.4416158497333526,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,360,0.0026927252765744,0.4293668270111084,0.0,0.4320595562458038,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,370,0.0026939252857118,0.4395973980426788,0.0,0.4422913193702698,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,380,0.0028481129556894,0.4885484278202057,0.0,0.4913965463638305,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,390,0.0022673555649816,0.4712097346782684,0.0,0.4734770953655243,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,2,1,1.1843873262405396,0.7240540981292725,0.0,1.908441424369812,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,2,10,0.3545147180557251,0.4714702069759369,0.0,0.8259849548339844,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,1,0.8397291302680969,0.7293001413345337,0.0,1.5690293312072754,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,10,0.2602051198482513,0.4941276311874389,0.0,0.7543327808380127,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,20,0.0994658097624778,0.9776360988616944,0.0,1.0771019458770752,,,
