split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y,architecture
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 4,4,air\reference_8.csv,-4.598852653215722,1.5391647899265166,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 5,5,air\air_10.csv,-3.6979569246677264,1.8194027116501077,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 5,5,air\air_9.csv,-4.536014647650296,-1.41842976562325,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 6,6,air\air_11.csv,-2.386654359026777,3.813524798712282,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 6,6,air\air_12.csv,-4.965529605902821,1.7107965032333694,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 6,6,air\air_13.csv,-4.2069556356400275,-1.308411333622918,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 8,8,air\air_14.csv,-4.179390428714057,0.7175336381105526,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 8,8,air\air_15.csv,-3.9966185628229933,-1.4128636507183001,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 8,8,air\reference_9.csv,-4.350439087531089,0.23521885597014114,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 9,9,air\air_16.csv,-3.9342726002095794,-1.3212050009584444,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 9,9,air\air_17.csv,-4.167418728126117,0.7368997679576734,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 3,3,alcohol\alcohol_11.csv,-1.4854110473586795,1.0651882078838728,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 3,3,alcohol\alcohol_12.csv,0.11977514725516442,1.5430271383488334,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 3,3,alcohol\alcohol_13.csv,-0.5633608246427778,1.2606005358245551,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 3,3,alcohol\alcohol_14.csv,0.04520350652434967,-1.4750046602644353,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 3,3,alcohol\alcohol_15.csv,-0.23990352694881142,-1.876449424933134,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 4,4,alcohol\alcohol_16.csv,-0.04916757050350002,0.8064311144319566,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 4,4,alcohol\alcohol_17.csv,-2.3461039739465126,0.9445374376828343,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 4,4,alcohol\alcohol_18.csv,-0.18221354433131745,0.7848261590141598,One-layer G_f: 54 -> 16
