Task,Split,Model,Best hyperparameters,Selection,Train n,Validation n,Test n,Train Acc,Val Acc,Test Acc,Train BA,Val BA,Test BA,Train Macro-F1,Val Macro-F1,Test Macro-F1,Train-Test Gap,Val-Test Gap,Judgment
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,Random Forest,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.7391304347826086,0.6538461538461539,0.6378378378378379,0.7565359477124183,0.7000000000000001,0.6564102564102564,0.7397849462365592,0.6275946275946276,0.5972794304602086,0.1012925969447707,0.0160083160083159,Underfitting
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,RBF LS-SVM,gamma=0.5;C=10.0,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.9347826086956522,0.9615384615384616,0.8432432432432433,0.9411764705882352,0.9666666666666668,0.8475524475524475,0.9358900836320192,0.9568151147098516,0.8398452443053382,0.0915393654524089,0.1182952182952182,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,MLP,h=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.9347826086956522,0.8461538461538461,0.8324324324324325,0.9411764705882352,0.8666666666666666,0.8363636363636364,0.933917797888386,0.8411764705882353,0.8340891588944981,0.1023501762632197,0.0137214137214136,Acceptable
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.9310344827586208,0.9,0.8679245283018868,0.9393939393939394,0.9111111111111112,0.8705009276437847,0.9282001764299168,0.8944869996763405,0.8661566904693251,0.0631099544567338,0.0320754716981132,Acceptable
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.9482758620689656,0.95,0.9056603773584906,0.9545454545454546,0.9555555555555556,0.9076066790352504,0.9459801264679312,0.9495647721454172,0.9053756185335132,0.0426154847104749,0.0443396226415093,Acceptable
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,1.0,0.875,0.7861635220125787,1.0,0.8777777777777779,0.7857761286332714,1.0,0.8736772486772487,0.7879727891156462,0.2138364779874213,0.0888364779874213,Acceptable
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,Random Forest,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.7241379310344828,0.6,0.6792452830188679,0.7489177489177489,0.6444444444444445,0.6909090909090909,0.7250344053938406,0.5527065527065527,0.6372297006971929,0.0448926480156148,-0.0792452830188679,Underfitting
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,RBF LS-SVM,gamma=1.0;C=10.0,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,1.0,0.95,0.89937106918239,1.0,0.9555555555555556,0.900803957946815,1.0,0.9553571428571428,0.90123248564807,0.10062893081761,0.0506289308176099,Acceptable
Three-class classification: air / alcohol / acetone,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,MLP,h=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,1.0,0.975,0.9308176100628932,1.0,0.977777777777778,0.9311069882498454,1.0,0.9726327312534208,0.9301484480431848,0.0691823899371069,0.0441823899371068,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 7: Train Period I + Day1-3; validation Day4-5; test Day6-19,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.9305555555555556,0.9230769230769232,0.9119496855345912,0.9382716049382716,0.9333333333333332,0.9136672850958564,0.9269212375381674,0.9214489214489214,0.9122253250966122,0.0186058700209643,0.0111272375423319,Acceptable
