split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,L_last,Ld_cdan_last,backward_loss_scalar_last,feature_extractor_objective,condition_map,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,2,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,0.0005316255846992135,0.21420316398143768,0.21473479270935059,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.85,0.7,0.63003663003663,0.8333333333333334,0.6666666666666666,0.6370884773662552,0.8249999999999998,0.6555555555555556,0.6345351106834016,0.21996336996336996,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,3,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,0.00020997582760173827,0.21358485519886017,0.21379482746124268,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.85,0.7,0.6190476190476191,0.8333333333333334,0.6666666666666666,0.6298868312757202,0.8249999999999998,0.6518518518518519,0.6113911757476114,0.2309523809523809,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,4,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,20,2.3651229639654048e-05,0.20081540942192078,0.2008390575647354,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.95,0.7,0.717948717948718,0.9583333333333334,0.6666666666666666,0.7294238683127571,0.9581699346405229,0.6518518518518519,0.7085465812633442,0.232051282051282,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,20,0.00017958102398552,0.23254652321338654,0.2327260971069336,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.9,0.7,0.7032967032967034,0.9166666666666666,0.6666666666666666,0.714891975308642,0.888888888888889,0.6518518518518519,0.6876389105598032,0.19670329670329667,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,1,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,20,0.0004785279161296785,0.20571480691432953,0.20619332790374756,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.95,0.7,0.7106227106227107,0.9583333333333334,0.6666666666666666,0.719264403292181,0.9407407407407407,0.6518518518518519,0.7083006475509862,0.2393772893772893,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,2,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,0.021555723622441292,0.23048478364944458,0.2520405054092407,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.85,0.7,0.6190476190476191,0.8333333333333334,0.6666666666666666,0.6286008230452674,0.8249999999999998,0.6555555555555556,0.6160057282346897,0.2309523809523809,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,3,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,3.0598304874729365e-05,0.2091507911682129,0.20918138325214386,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.85,0.7,0.6007326007326007,0.8333333333333334,0.6666666666666666,0.6131687242798353,0.8249999999999998,0.6518518518518519,0.5883150368744019,0.24926739926739927,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,4,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,20,6.852725346107036e-05,0.21723096072673798,0.21729949116706848,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.95,0.7,0.7216117216117216,0.9583333333333334,0.6666666666666666,0.7322530864197532,0.9581699346405229,0.6518518518518519,0.7145551675070815,0.22838827838827835,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,130,5.45366992810159e-06,0.23725229501724243,0.23725774884223938,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,1.0,0.7,0.6336996336996337,1.0,0.6666666666666666,0.6405606995884773,1.0,0.6555555555555556,0.6308300583653147,0.36630036630036633,0.9351535836177475
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,1,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,270,0.00010808054503286257,0.20596185326576233,0.2060699313879013,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,1.0,0.8,0.663003663003663,1.0,0.75,0.6625514403292181,1.0,0.7486772486772487,0.6722344618564039,0.336996336996337,0.8873720136518771
