split,task,model,partition,random_state,true_label,predicted_label,count,fit_id
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,alcohol,air,0,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,alcohol,alcohol,16,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,alcohol,acetone,0,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,acetone,air,0,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,acetone,alcohol,1,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,acetone,acetone,15,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,air,air,5,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,air,alcohol,1,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,air,acetone,0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,alcohol,air,0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,alcohol,alcohol,12,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,alcohol,acetone,0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,acetone,air,1,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,acetone,alcohol,2,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,acetone,acetone,9,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,air,air,1,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,air,alcohol,0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,air,acetone,0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,alcohol,air,0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,alcohol,alcohol,2,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,alcohol,acetone,0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,acetone,air,0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,acetone,alcohol,1,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,acetone,acetone,1,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,air,air,7,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,air,alcohol,3,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,air,acetone,0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,alcohol,air,0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,alcohol,alcohol,12,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,alcohol,acetone,0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,acetone,air,1,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,acetone,alcohol,3,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,acetone,acetone,8,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,air,air,6,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,air,alcohol,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,air,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,alcohol,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,alcohol,alcohol,12,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,alcohol,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,acetone,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,acetone,alcohol,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,acetone,acetone,12,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,air,air,1,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,air,alcohol,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,air,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,alcohol,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,alcohol,alcohol,2,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,alcohol,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,acetone,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,acetone,alcohol,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,acetone,acetone,2,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,air,air,6,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,air,alcohol,2,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,air,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,alcohol,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,alcohol,alcohol,10,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,alcohol,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,acetone,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,acetone,alcohol,1,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,acetone,acetone,9,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,air,air,6,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,air,alcohol,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,air,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,alcohol,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,alcohol,alcohol,12,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,alcohol,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,acetone,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,acetone,alcohol,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,acetone,acetone,12,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,air,air,1,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,air,alcohol,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,air,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,alcohol,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,alcohol,alcohol,2,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,alcohol,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,acetone,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,acetone,alcohol,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,acetone,acetone,2,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,air,air,16,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,air,alcohol,2,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,air,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,alcohol,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,alcohol,alcohol,33,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,alcohol,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,acetone,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,acetone,alcohol,15,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,acetone,acetone,18,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,air,air,6,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,air,alcohol,0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,air,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,alcohol,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,alcohol,alcohol,12,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,alcohol,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,acetone,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,acetone,alcohol,0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,acetone,acetone,12,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,validation,,air,air,1,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,validation,,air,alcohol,0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,validation,,air,acetone,0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,validation,,alcohol,air,0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,validation,,alcohol,alcohol,2,three_class_with_air|Logistic Regression|seed=deterministic
