split,task,model,partition,random_state,n,accuracy,balanced_accuracy,macro_f1,fit_id
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,train,0.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=0
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,validation,0.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=0
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,test,0.0,81,0.8888888888888888,0.88,0.8759818106655644,three_class_with_air|Random Forest|seed=0
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,train,0.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=0
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,validation,0.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=0
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,test,0.0,46,0.9347826086956522,0.9375,0.9369458128078817,three_class_with_air|Random Forest|seed=0
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,train,0.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=0
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,validation,0.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=0
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,test,0.0,34,0.9411764705882353,0.9444444444444445,0.9440559440559441,three_class_with_air|Random Forest|seed=0
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,train,1.0,30,0.9333333333333333,0.9444444444444445,0.9440559440559441,three_class_with_air|Random Forest|seed=1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,validation,1.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,test,1.0,28,0.7142857142857143,0.7333333333333334,0.6825396825396824,three_class_with_air|Random Forest|seed=1
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,train,1.0,30,0.9333333333333333,0.9444444444444445,0.9440559440559441,three_class_with_air|Random Forest|seed=1
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,validation,1.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=1
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,test,1.0,84,0.9404761904761905,0.9494949494949495,0.9493903841729928,three_class_with_air|Random Forest|seed=1
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,train,1.0,30,0.9333333333333333,0.9444444444444445,0.9440559440559441,three_class_with_air|Random Forest|seed=1
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,validation,1.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=1
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,test,1.0,81,0.8888888888888888,0.88,0.8776009791921665,three_class_with_air|Random Forest|seed=1
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,train,1.0,30,0.9333333333333333,0.9444444444444445,0.9440559440559441,three_class_with_air|Random Forest|seed=1
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,validation,1.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=1
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,test,1.0,46,0.8695652173913043,0.875,0.8704453441295547,three_class_with_air|Random Forest|seed=1
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,train,1.0,30,0.9333333333333333,0.9444444444444445,0.9440559440559441,three_class_with_air|Random Forest|seed=1
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,validation,1.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=1
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,test,1.0,34,0.9411764705882353,0.9444444444444445,0.9440559440559441,three_class_with_air|Random Forest|seed=1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,train,2.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=2
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,validation,2.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=2
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,test,2.0,28,0.7142857142857143,0.7333333333333334,0.6825396825396824,three_class_with_air|Random Forest|seed=2
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,train,2.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=2
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,validation,2.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=2
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,test,2.0,84,0.9404761904761905,0.9494949494949495,0.9493903841729928,three_class_with_air|Random Forest|seed=2
