split,description,task,model,best_params,selection_method,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,validation_test_accuracy_gap,fit_assessment
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,RBF LS-SVM,gamma_mult=2.0;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,20,10,227,1.0,0.7,0.8149779735682819,1.0,0.6666666666666666,0.8185323383084576,1.0,0.6666666666666666,0.8217843007104753,0.18502202643171806,-0.11497797356828199,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,MLP,hidden=16;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,20,10,227,1.0,0.8,0.8325991189427313,1.0,0.8333333333333334,0.8319651741293533,1.0,0.7777777777777777,0.831807287570685,0.1674008810572687,-0.032599118942731264,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,1.0,0.75,0.79375,1.0,0.75,0.79375,1.0,0.7333333333333334,0.7857055887008401,0.20625000000000004,-0.043749999999999956,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,1.0,0.75,0.85,1.0,0.75,0.8500000000000001,1.0,0.7333333333333334,0.8471094123268037,0.15000000000000002,-0.09999999999999998,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,1.0,0.75,0.575,1.0,0.75,0.575,1.0,0.7333333333333334,0.5549009981999673,0.42500000000000004,0.17500000000000004,Possible overfitting or domain shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,0.875,0.75,0.5875,0.875,0.75,0.5875,0.873015873015873,0.7333333333333334,0.56550362080316,0.2875,0.16249999999999998,Possible overfitting or domain shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,RBF LS-SVM,gamma_mult=1.0;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,1.0,0.875,0.86875,1.0,0.875,0.8687499999999999,1.0,0.873015873015873,0.8684982975226019,0.13124999999999998,0.006249999999999978,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,MLP,hidden=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,1.0,0.75,0.75625,1.0,0.75,0.7562500000000001,1.0,0.7333333333333334,0.7557825525419748,0.24375000000000002,-0.006249999999999978,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,LDA,shrinkage=0.5,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.9,0.8214285714285714,0.7236180904522613,0.9166666666666666,0.8166666666666668,0.7274414850686037,0.901098901098901,0.8177502579979361,0.7093108076563959,0.1763819095477387,0.09781048097631007,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,Logistic Regression,l2=0.01,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,1.0,0.8214285714285714,0.7336683417085427,1.0,0.8166666666666668,0.7378531073446327,1.0,0.8190235690235691,0.7189202648075459,0.26633165829145733,0.08776022972002873,High train-test gap
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,kNN,k=7,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.7333333333333333,0.7857142857142857,0.6180904522613065,0.6944444444444443,0.8000000000000002,0.6221146085552866,0.7068418171866447,0.7979797979797979,0.5950582867640116,0.11524288107202674,0.16762383345297915,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,Random Forest,subspace_mult=3.0,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.8333333333333334,0.7142857142857143,0.6482412060301508,0.861111111111111,0.7333333333333334,0.662227602905569,0.8222222222222223,0.7122762148337595,0.6417962093743738,0.18509212730318259,0.06604450825556352,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,RBF LS-SVM,gamma_mult=1.0;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,1.0,1.0,0.7788944723618091,1.0,1.0,0.7807102502017756,1.0,1.0,0.7842285754486732,0.2211055276381909,0.2211055276381909,Possible overfitting or domain shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,MLP,hidden=32;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,1.0,0.8571428571428571,0.7085427135678392,1.0,0.85,0.7131557707828895,1.0,0.8515037593984962,0.6889911512571771,0.29145728643216084,0.14860014357501794,Possible overfitting or domain shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,LDA,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,1.0,0.85,0.6,1.0,0.85,0.6,1.0,0.8465473145780051,0.5238095238095238,0.4,0.25,Possible overfitting or domain shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,1.0,0.95,0.7714285714285715,1.0,0.95,0.7714285714285714,1.0,0.949874686716792,0.7619047619047619,0.22857142857142854,0.1785714285714285,Possible overfitting or domain shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,0.9166666666666666,0.8,0.6214285714285714,0.9166666666666666,0.8,0.6214285714285714,0.9166666666666666,0.7916666666666665,0.6209450830140485,0.2952380952380952,0.1785714285714286,Possible overfitting or domain shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,0.8333333333333334,0.65,0.5642857142857143,0.8333333333333333,0.65,0.5642857142857143,0.8285714285714285,0.6419437340153452,0.527628740527684,0.2690476190476191,0.08571428571428574,High train-test gap
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,1.0,1.0,0.7928571428571428,1.0,1.0,0.7928571428571429,1.0,1.0,0.786034255599473,0.20714285714285718,0.20714285714285718,Possible overfitting or domain shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,MLP,hidden=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,1.0,0.95,0.8642857142857143,1.0,0.95,0.8642857142857143,1.0,0.949874686716792,0.8627096774193548,0.13571428571428568,0.08571428571428563,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,LDA,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.9782608695652174,0.8076923076923077,0.7351351351351352,0.9803921568627452,0.8333333333333334,0.7412587412587412,0.9765656565656565,0.8023809523809523,0.7167386143543227,0.24312573443008223,0.07255717255717253,Reasonable or mild shift
