representation,from_day,to_day,from_day_num,to_day_num,gas,drift_distance,angle_to_acetone_minus_alcohol_deg,projection_on_acetone_minus_alcohol,interpretation
raw6_post60_centroid_zscore,Day12,Day13,12,13,balanced_all_available_gases,0.2807178248114367,83.34930277731615,0.03251163660812867,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day13,Day14,13,14,air,0.28999780222537386,90.17476653323777,-0.0008845648384786895,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day13,Day14,13,14,alcohol,1.4132470909712678,62.33696174298018,0.6561293263906312,positive means movement toward acetone side
raw6_post60_centroid_zscore,Day13,Day14,13,14,acetone,1.3514284247650243,112.79319387412639,-0.5235515833499138,negative means movement toward alcohol side
raw6_post60_centroid_zscore,Day13,Day14,13,14,balanced_all_available_gases,0.7630933209536287,86.70218092015469,0.04389772606741285,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day14,Day15,14,15,air,0.795158990393454,98.36353248681968,-0.115658537954444,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day14,Day15,14,15,balanced_all_available_gases,0.795158990393454,98.36353248681968,-0.115658537954444,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day15,Day16,15,16,air,1.0807072028062004,,,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day15,Day16,15,16,balanced_all_available_gases,1.0807072028062004,,,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day16,Day17,16,17,air,0.9237360615086807,109.5175106436982,-0.3086155368513329,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day16,Day17,16,17,alcohol,1.9840099529404311,89.84460309393943,0.005381000710971695,positive means movement toward acetone side
raw6_post60_centroid_zscore,Day16,Day17,16,17,acetone,1.0206000963973376,78.47467588946556,0.20391695147484717,negative means movement toward alcohol side
raw6_post60_centroid_zscore,Day16,Day17,16,17,balanced_all_available_gases,1.1429617657125455,91.6598030934712,-0.03310586155517137,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day1,Day2,1,2,air,2.670703071274459,92.00939479609285,-0.09364384052282337,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day1,Day2,1,2,alcohol,3.118159266929218,96.48474944591862,-0.3521610048375981,positive means movement toward acetone side
