mode,classifier,sensors,mean_balanced_accuracy,mean_macro_f1,std_balanced_accuracy
leave_collection_date_out,gnb,s1+s2+s6,0.8771241830065359,0.8727199815435109,0.12538339894908795
leave_collection_date_out,gnb,s2+s5+s6,0.8771241830065359,0.8727199815435109,0.12538339894908795
leave_collection_date_out,gnb,s1+s2+s5,0.8718954248366013,0.8651987446105093,0.12362625669128854
leave_collection_date_out,gnb,s2+s3+s6,0.8694444444444445,0.8657725204438007,0.17620835030170784
leave_collection_date_out,gnb,s1+s2+s4,0.8598039215686275,0.849528031880973,0.13135877931608994
leave_collection_date_out,gnb,s2+s4+s5,0.8591503267973857,0.8501505030916796,0.13093828617240322
leave_collection_date_out,gnb,s2+s3+s4,0.8346405228758169,0.8184980788787017,0.14081346303727152
leave_collection_date_out,gnb,s2+s4+s6,0.8047385620915033,0.7875079713315007,0.14398888064267018
leave_collection_date_out,gnb,s1+s3+s4,0.7996732026143791,0.7693593987711634,0.14271765092906427
leave_collection_date_out,gnb,s1+s4+s6,0.7781045751633987,0.7495268348209524,0.10623811822153785
leave_collection_date_out,gnb,s3+s4+s5,0.7758169934640522,0.7456972221678103,0.15125428746691508
leave_collection_date_out,gnb,s1+s3+s5,0.7503267973856209,0.7374367462602757,0.1465586537800527
leave_collection_date_out,gnb,s3+s5+s6,0.7493464052287582,0.7370137487784546,0.16467422891969996
leave_collection_date_out,gnb,s3+s4+s6,0.7442810457516339,0.7146160484395779,0.17945839349656761
leave_collection_date_out,gnb,s1+s4+s5,0.7408496732026144,0.7105573076161311,0.10504153309360563
leave_collection_date_out,gnb,s4+s5+s6,0.7408496732026144,0.712065712065712,0.1384150413598719
leave_collection_date_out,gnb,s1+s3+s6,0.7133986928104575,0.6855487649605296,0.1457348718342828
leave_collection_date_out,gnb,s1+s5+s6,0.6947712418300654,0.6684583390465743,0.132934452372028
leave_collection_date_out,lda,s2+s3+s5,0.9490196078431372,0.9384375972611267,0.09213339292299653
leave_collection_date_out,lda,s1+s2+s3,0.9447712418300653,0.9404295051353875,0.09754847220700137
leave_collection_date_out,lda,s2+s3+s6,0.9349673202614379,0.9330999066293184,0.11606599179650606
leave_collection_date_out,lda,s2+s3+s4,0.9179738562091503,0.9113134142545907,0.14266437092201303
leave_collection_date_out,lda,s1+s2+s6,0.9091503267973856,0.8937280068859017,0.1372674966988314
leave_collection_date_out,lda,s3+s4+s5,0.907843137254902,0.8963741051976346,0.11336360610682111
leave_collection_date_out,lda,s1+s3+s4,0.8986928104575164,0.8903340860088266,0.10984573589146136
leave_collection_date_out,lda,s1+s2+s4,0.8973856209150326,0.8799253034547152,0.1447395176146856
leave_collection_date_out,lda,s1+s2+s5,0.8957516339869281,0.8782601929660753,0.14358087759024898
leave_collection_date_out,lda,s3+s4+s6,0.8913398692810458,0.8795747281041398,0.13311571633767724
leave_collection_date_out,lda,s2+s5+s6,0.8888888888888888,0.8652491299550122,0.1381647790605099
leave_collection_date_out,lda,s2+s4+s5,0.8885620915032679,0.8703345865975624,0.13094608535357707
leave_collection_date_out,lda,s4+s5+s6,0.8699346405228757,0.8545058427411368,0.14572163478311476
leave_collection_date_out,lda,s1+s4+s6,0.8434640522875817,0.825340237104943,0.14767011656415516
leave_collection_date_out,lda,s3+s5+s6,0.8235294117647058,0.8008255361196538,0.16932520180156765
leave_collection_date_out,lda,s1+s3+s5,0.8212418300653594,0.8066854905955252,0.171506524708039
leave_collection_date_out,lda,s1+s4+s5,0.8133986928104575,0.7875667389599278,0.13195261412616147
leave_collection_date_out,lda,s1+s3+s6,0.7803921568627451,0.7568325113307812,0.15116723895133954
leave_collection_date_out,lda,s2+s4+s6,0.7756535947712417,0.7619564531329237,0.16216587626064916
leave_collection_date_out,lda,s1+s5+s6,0.738562091503268,0.7189286940151992,0.1343777180063227
new_bottle_holdout,centroid,s3+s4+s5,0.9666666666666667,0.9665831244778613,
new_bottle_holdout,centroid,s2+s3+s5,0.9333333333333332,0.9326599326599326,
new_bottle_holdout,centroid,s1+s3+s4,0.9,0.8927875243664718,
new_bottle_holdout,centroid,s3+s4+s6,0.9,0.8927875243664718,
