sample_id,label,day_label,day_num,period,batch,source_kind,deltaR_s1,normDeltaR_s1,riseEMA_a0.1_s1,recEMA_a0.1_s1,riseEMA_a0.01_s1,recEMA_a0.01_s1,riseEMA_a0.001_s1,recEMA_a0.001_s1,deltaR_s2,normDeltaR_s2,riseEMA_a0.1_s2,recEMA_a0.1_s2,riseEMA_a0.01_s2,recEMA_a0.01_s2,riseEMA_a0.001_s2,recEMA_a0.001_s2,deltaR_s3,normDeltaR_s3,riseEMA_a0.1_s3,recEMA_a0.1_s3,riseEMA_a0.01_s3,recEMA_a0.01_s3,riseEMA_a0.001_s3,recEMA_a0.001_s3,deltaR_s4,normDeltaR_s4,riseEMA_a0.1_s4,recEMA_a0.1_s4,riseEMA_a0.01_s4,recEMA_a0.01_s4,riseEMA_a0.001_s4,recEMA_a0.001_s4,deltaR_s5,normDeltaR_s5,riseEMA_a0.1_s5,recEMA_a0.1_s5,riseEMA_a0.01_s5,recEMA_a0.01_s5,riseEMA_a0.001_s5,recEMA_a0.001_s5,deltaR_s6,normDeltaR_s6,riseEMA_a0.1_s6,recEMA_a0.1_s6,riseEMA_a0.01_s6,recEMA_a0.01_s6,riseEMA_a0.001_s6,recEMA_a0.001_s6
acetone_58,acetone,Period II Day 14,14,Period_II,batch3,new,0.5365853658536586,0.5365853658536586,0.035959268292682936,-0.002983922299092705,0.004860598892858954,-0.0006118652759832455,0.0005298962440175991,-9.260040836801814e-05,0.12796208530805686,0.12796208530805686,0.0072163507109004755,-0.0006525244597572163,0.0011581987137492544,-0.00017363783149036954,0.00012668920469888987,-2.666565885327913e-05,0.015463917525773196,0.015463917525773196,0.0011275984536082476,-0.0005248897650140393,0.00014959155460829898,-8.252476609357956e-05,1.54124792578144e-05,-1.0044215885494632e-05,0.05371900826446281,0.05371900826446281,0.0035458936390897347,-0.0008798818161555573,0.0005122066013068363,-0.000145525858210377,5.3459764332905044e-05,-1.9821998639047336e-05,0.761904761904762,0.761904761904762,0.05338809637226226,-0.0029822877752083204,0.0073031331464413814,-0.00046261357991423443,0.0007586747200681089,-6.553451824770438e-05,0.06666666666666667,0.06666666666666667,0.0006666667579276527,-0.006666666666666667,8.143011914925704e-06,-0.0006666666666666666,1.2404289217886387e-07,-6.666666666666667e-05
acetone_59,acetone,Period II Day 14,14,Period_II,batch3,new,0.40540540540540543,0.40540540540540543,0.02700494467567568,-0.005058027412110019,0.003887799905538311,-0.0007640060067066298,0.0004037067772234271,-0.00011776718461855104,0.08333333333333333,0.08333333333333333,0.005523437654623178,-0.0010134141881701021,0.0007570402635413639,-0.00023326504167421418,7.815701740066052e-05,-3.155590058061795e-05,0.015789473684210527,0.015789473684210527,0.0010117992700008312,-0.0005409711712271482,0.00010652389072864091,-5.460413692706279e-05,1.054177034558213e-05,-5.288726530075413e-06,0.05603448275862069,0.05603448275862069,0.002985950695242482,-0.00088475934536431,0.00041641424842698687,-0.00010395227363629897,4.296074868629124e-05,-1.260178091404562e-05,0.7105263157894737,0.7105263157894737,0.04515447362245074,-0.004456633950592757,0.006514679408232331,-0.0007206493866585499,0.0006808751869573418,-9.698273560832413e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acetone_60,acetone,Period II Day 14,14,Period_II,batch3,new,0.5161290322580645,0.5161290322580645,0.02476896577279323,-0.005329794023179089,0.004376415900227884,-0.0012543374878523632,0.0004892403544639084,-0.00019371735781678932,0.14361702127659576,0.14361702127659576,0.005581848885910097,-0.0011042158416962843,0.0011172488144701811,-0.0003307126819377333,0.000136056671338441,-5.1000273659703405e-05,0.021505376344086023,0.021505376344086023,0.000974961430698925,-0.0010788771163135283,0.00016558794434261477,-0.00012172763588314574,2.0859616228516526e-05,-1.5247315268548848e-05,0.07352941176470588,0.07352941176470588,0.0023719986366434994,-0.0011443869826852702,0.0004341508067483937,-0.00023484629210468217,6.11255504404232e-05,-3.933307729828993e-05,0.5666666666666667,0.5666666666666667,0.029719997068266675,-0.006077732407359034,0.005237063521363724,-0.0013432646777950484,0.0005621876351071792,-0.0002040507164019251,0.0,0.0,0.0,-0.0007692307692307694,0.0,-7.69230769230773e-06,0.0,-7.692307692307567e-08
acetone_61,acetone,Period II Day 15,15,Period_II,batch3,new,0.17391304347826086,0.17391304347826086,0.008071065217391305,-0.00227522892166502,0.0015494706692405662,-0.0002609207215771547,0.00017188492288732436,-2.238412763077692e-05,0.04608294930875576,0.04608294930875576,0.001937967258571429,-0.000565483099188581,0.0004074438594364155,-8.232482434157241e-05,4.5511331615660826e-05,-9.146509575341841e-06,0.009523809523809525,0.009523809523809525,0.00048304859576190484,-0.00048501438185167547,4.763236328662732e-05,-4.8024503700521376e-05,4.761918947923282e-06,-4.766591044961027e-06,0.039301310043668124,0.039301310043668124,0.001688694443352364,-0.0010581560052752743,0.0002862026316394521,-0.00012922812658563057,3.412056949038042e-05,-1.3160825075705079e-05,0.34146341463414637,0.34146341463414637,0.013751074097058221,-0.0028780009066550916,0.002851129278900347,-0.0004569621290766708,0.00031370284786912047,-6.786764784659273e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acetone_62,acetone,Period II Day 15,15,Period_II,batch3,new,0.1702127659574468,0.1702127659574468,0.0069007046581956045,-0.0024416266234076156,0.0014655457951445873,-0.0004336123936027037,0.00016764141102629213,-6.11131590693811e-05,0.045662100456621,0.045662100456621,0.001679247180462463,-0.0005516798225297466,0.00035927115708905025,-0.0001213775176917602,4.3525765533997956e-05,-1.746411282217391e-05,0.0047169811320754715,0.0047169811320754715,0.0004716981132075472,-0.00048189214778087124,4.7169811320754715e-05,-7.42146500041277e-05,4.716981132075472e-06,-9.173210330324336e-06,0.046218487394957986,0.046218487394957986,0.0016749680394251595,-0.00107187829662863,0.0003276189817677817,-0.00019361700420613272,4.0223427568775176e-05,-2.7975581160983943e-05,0.3023255813953488,0.3023255813953488,0.013669714720926153,-0.0035614906976744187,0.0027272219006526047,-0.0007063062453112133,0.0002991839417507291,-0.00010875920300335027,0.07142857142857142,0.07142857142857142,0.007142857142857143,-0.006145878859127821,0.0007142857142857143,-0.00041195683362244494,7.142857142857142e-05,-9.908961277583914e-06
acetone_63,acetone,Period II Day 15,15,Period_II,batch3,new,0.1702127659574468,0.1702127659574468,0.00726714581181523,-0.0023949877004406763,0.0015100371870259625,-0.000465654852895273,0.00016812604076344549,-6.165521093618687e-05,0.04128440366972477,0.04128440366972477,0.0014266637248341967,-0.0005159997904806664,0.0003240537010855283,-0.0001032071137100109,3.6233438873507025e-05,-1.3336261005719305e-05,0.009523809523809525,0.009523809523809525,0.0005174571179979486,-0.00047619047619047624,5.033532073317979e-05,-4.761904761904763e-05,4.794563912784893e-06,-4.761904761904762e-06,0.04219409282700422,0.04219409282700422,0.001673589078514939,-0.0007135670008974706,0.00034264489695236765,-0.00010727277373459042,3.758069257214425e-05,-1.584432526567986e-05,0.32558139534883723,0.32558139534883723,0.013569558688922054,-0.0028595475208566196,0.002850679267094579,-0.0005227586889046463,0.0003211602130188348,-6.761120785914357e-05,0.07142857142857142,0.07142857142857142,0.0013810578306135439,-0.007142857142857143,3.887028113353506e-05,-0.0007142857142857143,7.775651747704782e-07,-7.142857142857142e-05
acetone_64,acetone,Period II Day 17,17,Period_II,batch3,new,0.32075471698113206,0.32075471698113206,0.013588645665201292,-0.0024375070230334152,0.002860872247452904,-0.0005656244596963414,0.0003170639220097839,-8.240938430650936e-05,0.07692307692307693,0.07692307692307693,0.0031299318077700746,-0.0005725211710409859,0.0006839504472802034,-0.00014442492506059143,7.601543978809545e-05,-2.1531657444075744e-05,0.009302325581395349,0.009302325581395349,0.00046511627906976747,-0.0007106757103988654,4.651162790697674e-05,-8.406901562505761e-05,4.651162790697674e-06,-9.173623159039725e-06,0.05128205128205128,0.05128205128205128,0.00225688572711341,-0.0008547008547008548,0.0004297021489875399,-0.000157307790774921,5.023090566168782e-05,-2.6215054887763648e-05,0.44680851063829785,0.44680851063829785,0.022467443364557235,-0.0031966072508809373,0.004036227095074505,-0.0007974765162058517,0.0004422226178740173,-0.00011626585186779129,0.037037037037037035,0.037037037037037035,0.003703703703703704,-0.0021686161767731616,0.00037037037037037035,-0.00012059221869773997,3.7037037037037037e-05,-2.6791628593938574e-06
acetone_65,acetone,Period II Day 17,17,Period_II,batch3,new,0.2,0.2,0.011458855653650526,-0.0025353802299344433,0.0018724926112890995,-0.0004635812841820586,0.00019866189153871502,-6.745702737941568e-05,0.05429864253393665,0.05429864253393665,0.0029434029176919545,-0.0006618215236984187,0.00046911357173558846,-0.0001404043569740114,5.3361928405701885e-05,-2.01793064580355e-05,0.004672897196261682,0.004672897196261682,0.0004672897196261682,-0.0004695094674145549,4.672897196261682e-05,-5.069331117815558e-05,4.672897196261682e-06,-4.739111097418124e-06,0.03829787234042553,0.03829787234042553,0.0019166918093015731,-0.0007000184108703571,0.00028516193111501574,-0.00010890540461325919,3.3423548938265986e-05,-1.566161951779161e-05,0.3125,0.3125,0.019508135673470803,-0.003545298057535711,0.002970005196959458,-0.0006935998504106647,0.0003109014000907311,-9.953369263324573e-05,0.0,0.0,0.0,-0.0003703703703703703,0.0,-3.7037037037036813e-06,0.0,-3.703703703703844e-08
acetone_66,acetone,Period II Day 17,17,Period_II,batch3,new,0.2,0.2,0.009873644857073092,-0.002517356693132876,0.0016857741642861367,-0.0004698799677181906,0.0001804422108585981,-6.734320550030916e-05,0.04954954954954955,0.04954954954954955,0.002201787890841331,-0.0006045426321364096,0.00042810478239431205,-0.00011780317734572668,4.8821681875387004e-05,-1.5741336923475363e-05,0.004672897196261682,0.004672897196261682,0.0004672897196261682,-0.0004579014103974879,4.672897196261682e-05,-2.1476899661602675e-05,4.672897196261682e-06,-3.1447101160455886e-07,0.046610169491525424,0.046610169491525424,0.0015610861089055197,-0.0007226416059408305,0.00032311273862760165,-0.00013905275613930424,4.089593058431249e-05,-2.0105862582338908e-05,0.28571428571428575,0.28571428571428575,0.013503349915185588,-0.0035335243844275893,0.002444743080306142,-0.0007877435225858318,0.00026313265717469624,-0.00011023444657000185,0.037037037037037035,0.037037037037037035,0.003703703703703704,-0.0009739211839824859,0.00037037037037037035,-2.79235089350721e-05,3.7037037037037037e-05,-3.881616744972732e-07
acetone_67,acetone,Period II Day 17,17,Period_II,batch3,new,0.31481481481481477,0.31481481481481477,0.013469337756705876,-0.004555501409200904,0.002682394530689883,-0.0010494902947607973,0.00029333289006141616,-0.00015725808894679867,0.0821917808219178,0.0821917808219178,0.003196433938145143,-0.0011660549629696232,0.0006964771461452459,-0.0003200474247242952,8.065148825751623e-05,-5.006112494388508e-05,0.014285714285714287,0.014285714285714287,0.0006197890078777544,-0.0004980953270482211,8.946572581219692e-05,-8.350197741422593e-05,9.462340797411232e-06,-9.39623494652728e-06,0.05439330543933054,0.05439330543933054,0.0018820067224708235,-0.0009489754907221394,0.0003491620053952865,-0.0002315119440504215,4.10704150591785e-05,-3.656461183136888e-05,0.3958333333333333,0.3958333333333333,0.014039142523152214,-0.006179499875814582,0.003321429270295916,-0.0014215943806582863,0.0003704104139407472,-0.00021409140860089744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acetone_68,acetone,Period II Day 17,17,Period_II,batch3,new,0.37037037037037035,0.37037037037037035,0.01712926240366729,-0.005055071392226122,0.0030553027144115457,-0.0010622114202892198,0.0003463250621999949,-0.00016602922842208557,0.1050228310502283,0.1050228310502283,0.003903108024923214,-0.0011298650842652956,0.0008271426119944067,-0.0002921659679182275,9.809860091880524e-05,-4.878778456551803e-05,0.014285714285714285,0.014285714285714285,0.0006879241475196827,-0.0004833719930248142,0.00012220289704303975,-4.8360166607972716e-05,1.4055270278630689e-05,-4.771193353388885e-06,0.07083333333333333,0.07083333333333333,0.00223483363271734,-0.0009706231027721357,0.000459419196071605,-0.0001991990699825681,5.972292918038912e-05,-3.357641813813719e-05,0.4375,0.4375,0.022902868541666673,-0.006565221259003277,0.003957153468269044,-0.0012347671950478053,0.00043308933144670206,-0.0001867208395973507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acetone_69,acetone,Period III Day 18,18,Period_III,batch4,new,0.23529411764705882,0.23529411764705882,0.014106196078431372,-0.0028330769825490195,0.0019821866771012366,-0.0005574437685398141,0.00022966936933728355,-8.896323528279057e-05,0.06334841628959276,0.06334841628959276,0.0029217466063348424,-0.0006543543329644752,0.0004866943963685371,-0.00015891762512807432,6.161196978988744e-05,-2.4899664273982927e-05,0.004651162790697674,0.004651162790697674,0.00046511627906976747,-0.00047824578674934316,4.651162790697674e-05,-7.866214192941275e-05,4.651162790697674e-06,-9.133406847596656e-06,0.048458149779735685,0.048458149779735685,0.0023057578986776413,-0.0009966759718224385,0.000392965071366561,-0.00018609590891392595,4.737140022357484e-05,-2.8155074289692586e-05,0.37209302325581395,0.37209302325581395,0.0270537724557907,-0.0033266679302325582,0.0035976195456647467,-0.0006390543772408434,0.0003708395084234339,-0.00010680668206674616,0.0,0.0,0.0,-0.007142857142857143,0.0,-0.0007142857142857143,0.0,-7.142857142857142e-05
acetone_70,acetone,Period III Day 18,18,Period_III,batch4,new,0.45098039215686275,0.45098039215686275,0.02230344999814557,-0.0038801554162914377,0.004151328691815345,-0.0009339281468926623,0.0004472167425679721,-0.00014179128140155822,0.10909090909090909,0.10909090909090909,0.005146364751228339,-0.000934566260844126,0.000962311719376634,-0.0002506541256963282,0.00010759789707597442,-3.876999607046096e-05,0.009302325581395349,0.009302325581395349,0.000629094253483721,-0.0004672350115494401,8.858015938295594e-05,-4.7978666941696735e-05,9.25602730811937e-06,-4.673372912897093e-06,0.07894736842105263,0.07894736842105263,0.0034669491024676724,-0.0009826600328272169,0.000636055650819188,-0.0002086105998147676,7.253079160393541e-05,-3.474179799724993e-05,0.6590909090909091,0.6590909090909091,0.0326231106198394,-0.004622174864438231,0.005891325826412809,-0.0008549035955720372,0.0006314126303845776,-0.0001273596552718384,0.0,0.0,0.0,-0.007692307692307693,0.0,-0.0007692307692307693,0.0,-7.692307692307693e-05
acetone_71,acetone,Period III Day 18,18,Period_III,batch4,new,0.7647058823529411,0.7647058823529411,0.03474989109254902,-0.008068533052921868,0.006281205895386157,-0.0021337388533115486,0.0007482018750109325,-0.0003317878566988386,0.19090909090909092,0.19090909090909092,0.006837018046127275,-0.0017555368988128846,0.0015357722487149596,-0.0005384005549668968,0.0001856667405023384,-8.745158075255131e-05,0.013953488372093023,0.013953488372093023,0.0007784144498598595,-0.00046907839810316187,0.0001291295827438283,-7.558517227334883e-05,1.3842656042953066e-05,-9.088789122694586e-06,0.12719298245614036,0.12719298245614036,0.004597857696107618,-0.0012701940948457206,0.0010069843693928297,-0.00037784366899444447,0.00012035379783587998,-6.887803445827258e-05,0.8181818181818182,0.8181818181818182,0.0355419870041691,-0.00700333754781452,0.007251696318531499,-0.0016888001594709942,0.00080823471272985,-0.000257971402864899,0.07692307692307693,0.07692307692307693,0.0008244536913609114,-0.007692307692307693,1.770695824716579e-05,-0.0007692307692307693,3.4058730233294627e-07,-7.692307692307693e-05
acetone_72,acetone,Period III Day 18,18,Period_III,batch4,new,0.5294117647058824,0.5294117647058824,0.03599261035707394,-0.004030904242447255,0.004916455906255864,-0.0008273945896446332,0.0005255050213547263,-0.00012750784229133465,0.13122171945701358,0.13122171945701358,0.007868902037192543,-0.0008207558988601811,0.0011997282767322328,-0.000228063208084264,0.00013004652150398998,-3.700005258751971e-05,0.009345794392523364,0.009345794392523364,0.000791650540182243,-0.0004672897196261682,9.164743828270617e-05,-4.672897196261682e-05,9.327163337008365e-06,-4.672897196261682e-06,0.07894736842105263,0.07894736842105263,0.0037616335057605445,-0.0009190968833723883,0.0006462047857457439,-0.0002181776997300685,7.349527548353675e-05,-3.589841706149436e-05,0.5909090909090909,0.5909090909090909,0.04270984252225303,-0.004742198204545455,0.005666769866278632,-0.0010184933379812822,0.0005884373289451136,-0.00015020836591228488,0.07692307692307693,0.07692307692307693,0.0011245677918565612,-0.007692307692307693,2.8129577835830726e-05,-0.0007692307692307693,3.700464483060421e-07,-7.692307692307693e-05
