mode,split_id,group,classifier,sensor,balanced_accuracy,macro_f1
original_points_stratified_random_holdout,13,,original_points_centroid,s4,0.6799242424242423,0.6693121693121693
original_points_stratified_random_holdout,13,,original_points_centroid,s5,0.6212121212121212,0.5750719522699103
original_points_stratified_random_holdout,13,,original_points_centroid,s6,0.39015151515151514,0.34851621808143546
original_points_stratified_random_holdout,13,,original_points_gnb,s1,0.7064393939393939,0.7030837898153783
original_points_stratified_random_holdout,13,,original_points_gnb,s2,0.7973484848484849,0.794035594035594
original_points_stratified_random_holdout,13,,original_points_gnb,s3,0.5265151515151515,0.5045948203842942
original_points_stratified_random_holdout,13,,original_points_gnb,s4,0.7196969696969697,0.731417624521073
original_points_stratified_random_holdout,13,,original_points_gnb,s5,0.7215909090909092,0.716231438812084
original_points_stratified_random_holdout,13,,original_points_gnb,s6,0.3181818181818182,0.26196928635953026
original_points_stratified_random_holdout,14,,original_points_centroid,s1,0.6515151515151515,0.6221651690201112
original_points_stratified_random_holdout,14,,original_points_centroid,s2,0.731060606060606,0.7208931419457736
original_points_stratified_random_holdout,14,,original_points_centroid,s3,0.6666666666666666,0.6349893816234085
original_points_stratified_random_holdout,14,,original_points_centroid,s4,0.7462121212121211,0.7378917378917378
original_points_stratified_random_holdout,14,,original_points_centroid,s5,0.6515151515151515,0.6173894825057616
original_points_stratified_random_holdout,14,,original_points_centroid,s6,0.4166666666666667,0.38707918767888777
original_points_stratified_random_holdout,14,,original_points_gnb,s1,0.7159090909090909,0.7128427128427127
original_points_stratified_random_holdout,14,,original_points_gnb,s2,0.8068181818181818,0.8065803244374673
original_points_stratified_random_holdout,14,,original_points_gnb,s3,0.4924242424242424,0.4979468099765743
original_points_stratified_random_holdout,14,,original_points_gnb,s4,0.7613636363636364,0.7574786324786325
original_points_stratified_random_holdout,14,,original_points_gnb,s5,0.7007575757575758,0.7042735042735044
original_points_stratified_random_holdout,14,,original_points_gnb,s6,0.24242424242424243,0.1951489951489951
original_points_stratified_random_holdout,15,,original_points_centroid,s1,0.5909090909090909,0.5408548082966688
original_points_stratified_random_holdout,15,,original_points_centroid,s2,0.7196969696969697,0.7186796779181996
original_points_stratified_random_holdout,15,,original_points_centroid,s3,0.6193181818181818,0.6109971899445583
original_points_stratified_random_holdout,15,,original_points_centroid,s4,0.6856060606060606,0.6704693065158182
original_points_stratified_random_holdout,15,,original_points_centroid,s5,0.5909090909090909,0.5328523328523328
original_points_stratified_random_holdout,15,,original_points_centroid,s6,0.24242424242424243,0.19930908862508637
