mode,split_id,group,classifier,case,removed_sensor,n_features,accuracy,balanced_accuracy,macro_f1,delta_balanced_accuracy_vs_all,delta_macro_f1_vs_all
stratified_random_holdout,1,,gnb,without_s3,s3,45,0.8833333333333333,0.8882575757575758,0.8916282642089094,0.0,0.0
stratified_random_holdout,1,,gnb,without_s4,s4,45,0.9,0.9034090909090909,0.9069302386572252,-0.015151515151515138,-0.015301974448315825
stratified_random_holdout,1,,gnb,without_s5,s5,45,0.8833333333333333,0.8882575757575758,0.8916282642089094,0.0,0.0
stratified_random_holdout,1,,gnb,without_s6,s6,45,0.8833333333333333,0.8882575757575758,0.8916282642089094,0.0,0.0
stratified_random_holdout,1,,centroid,all,,54,0.8166666666666667,0.8333333333333334,0.8193683193683192,0.0,0.0
stratified_random_holdout,1,,centroid,without_s1,s1,45,0.8166666666666667,0.8333333333333334,0.8189792663476875,0.0,0.0003890530206317466
stratified_random_holdout,1,,centroid,without_s2,s2,45,0.8,0.8181818181818182,0.8028666964837178,0.015151515151515138,0.01650162288460144
stratified_random_holdout,1,,centroid,without_s3,s3,45,0.8,0.8181818181818182,0.807014157014157,0.015151515151515138,0.012354162354162201
stratified_random_holdout,1,,centroid,without_s4,s4,45,0.85,0.8636363636363636,0.850369812426116,-0.030303030303030276,-0.03100149305779676
stratified_random_holdout,1,,centroid,without_s5,s5,45,0.85,0.8636363636363636,0.8504715241557347,-0.030303030303030276,-0.03110320478741546
stratified_random_holdout,1,,centroid,without_s6,s6,45,0.8,0.8181818181818182,0.8032980348769824,0.015151515151515138,0.01607028449133685
stratified_random_holdout,2,,lda,all,,54,0.9666666666666667,0.9696969696969697,0.9648882808937529,0.0,0.0
stratified_random_holdout,2,,lda,without_s1,s1,45,0.9666666666666667,0.9696969696969697,0.9648882808937529,0.0,0.0
stratified_random_holdout,2,,lda,without_s2,s2,45,0.9833333333333333,0.9848484848484849,0.9848406546080964,-0.015151515151515138,-0.019952373714343552
stratified_random_holdout,2,,lda,without_s3,s3,45,0.9666666666666667,0.9696969696969697,0.9645191409897292,0.0,0.00036913990402365204
stratified_random_holdout,2,,lda,without_s4,s4,45,0.9666666666666667,0.9696969696969697,0.9648882808937529,0.0,0.0
stratified_random_holdout,2,,lda,without_s5,s5,45,0.9666666666666667,0.9696969696969697,0.9648882808937529,0.0,0.0
stratified_random_holdout,2,,lda,without_s6,s6,45,0.9666666666666667,0.9696969696969697,0.9648882808937529,0.0,0.0
stratified_random_holdout,2,,gnb,all,,54,0.8833333333333333,0.8882575757575758,0.8916282642089094,0.0,0.0
stratified_random_holdout,2,,gnb,without_s1,s1,45,0.8666666666666667,0.8674242424242425,0.8744444444444445,0.02083333333333326,0.017183819764464925
stratified_random_holdout,2,,gnb,without_s2,s2,45,0.8833333333333333,0.8882575757575758,0.8916282642089094,0.0,0.0
stratified_random_holdout,2,,gnb,without_s3,s3,45,0.8666666666666667,0.8731060606060606,0.8767811871667104,0.015151515151515249,0.014847077042199008
stratified_random_holdout,2,,gnb,without_s4,s4,45,0.9,0.8977272727272728,0.9043650793650794,-0.009469696969697017,-0.012736815156169978
stratified_random_holdout,2,,gnb,without_s5,s5,45,0.8833333333333333,0.8882575757575758,0.8916282642089094,0.0,0.0
stratified_random_holdout,2,,gnb,without_s6,s6,45,0.85,0.8522727272727272,0.8596427188761684,0.03598484848484862,0.031985545332741006
stratified_random_holdout,2,,centroid,all,,54,0.8666666666666667,0.8787878787878789,0.8667653667653669,0.0,0.0
stratified_random_holdout,2,,centroid,without_s1,s1,45,0.8166666666666667,0.8333333333333334,0.8174275588909735,0.045454545454545525,0.04933780787439335
stratified_random_holdout,2,,centroid,without_s2,s2,45,0.8833333333333333,0.893939393939394,0.882861931699141,-0.015151515151515138,-0.016096564933774093
stratified_random_holdout,2,,centroid,without_s3,s3,45,0.8333333333333334,0.8484848484848486,0.8391357434835696,0.030303030303030276,0.0276296232817973
stratified_random_holdout,2,,centroid,without_s4,s4,45,0.9,0.9090909090909092,0.8985879332477534,-0.030303030303030276,-0.03182256648238657
stratified_random_holdout,2,,centroid,without_s5,s5,45,0.85,0.8636363636363636,0.8498168498168498,0.015151515151515249,0.016948516948517067
stratified_random_holdout,2,,centroid,without_s6,s6,45,0.8333333333333334,0.8484848484848486,0.8345198345198345,0.030303030303030276,0.03224553224553239
stratified_random_holdout,3,,lda,all,,54,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.0,0.0
stratified_random_holdout,3,,lda,without_s1,s1,45,0.9666666666666667,0.9696969696969697,0.9669955367629787,0.015151515151515138,0.015151515151515138
stratified_random_holdout,3,,lda,without_s2,s2,45,0.9333333333333333,0.9393939393939394,0.9363401456424713,0.045454545454545414,0.04580690627202255
stratified_random_holdout,3,,lda,without_s3,s3,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.0,0.0
stratified_random_holdout,3,,lda,without_s4,s4,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.0,0.0
stratified_random_holdout,3,,lda,without_s5,s5,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.0,0.0
stratified_random_holdout,3,,lda,without_s6,s6,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.0,0.0
stratified_random_holdout,3,,gnb,all,,54,0.8833333333333333,0.893939393939394,0.8938845822566753,0.0,0.0
stratified_random_holdout,3,,gnb,without_s1,s1,45,0.8833333333333333,0.893939393939394,0.8938845822566753,0.0,0.0
stratified_random_holdout,3,,gnb,without_s2,s2,45,0.8333333333333334,0.8484848484848485,0.8456140350877193,0.045454545454545525,0.04827054716895607
stratified_random_holdout,3,,gnb,without_s3,s3,45,0.8666666666666667,0.8787878787878789,0.8787878787878789,0.015151515151515138,0.015096703468796435
stratified_random_holdout,3,,gnb,without_s4,s4,45,0.8833333333333333,0.893939393939394,0.8938845822566753,0.0,0.0
stratified_random_holdout,3,,gnb,without_s5,s5,45,0.8833333333333333,0.893939393939394,0.8938845822566753,0.0,0.0
stratified_random_holdout,3,,gnb,without_s6,s6,45,0.8833333333333333,0.893939393939394,0.8938845822566753,0.0,0.0
stratified_random_holdout,3,,centroid,all,,54,0.85,0.8636363636363636,0.851788827965799,0.0,0.0
stratified_random_holdout,3,,centroid,without_s1,s1,45,0.8833333333333333,0.893939393939394,0.8835528665364173,-0.030303030303030387,-0.03176403857061827
stratified_random_holdout,3,,centroid,without_s2,s2,45,0.8333333333333334,0.8484848484848485,0.834816509873718,0.015151515151515138,0.016972318092080996
stratified_random_holdout,3,,centroid,without_s3,s3,45,0.7833333333333333,0.8030303030303031,0.7946649662575057,0.06060606060606055,0.05712386170829331
stratified_random_holdout,3,,centroid,without_s4,s4,45,0.8666666666666667,0.8787878787878789,0.8675084175084176,-0.015151515151515249,-0.01571958954261854
