split,task,model,partition,random_state,n,accuracy,balanced_accuracy,macro_f1
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,validation,2.0,10,0.7,0.6666666666666666,0.6518518518518518
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,test,2.0,273,0.7326007326007326,0.737525720164609,0.735876068604498
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,train,3.0,30,1.0,1.0,1.0
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,validation,3.0,10,0.6,0.5833333333333334,0.5738095238095238
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,test,3.0,273,0.7289377289377289,0.7334104938271605,0.7253392916252897
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,train,4.0,30,1.0,1.0,1.0
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,validation,4.0,10,0.6,0.5833333333333334,0.5738095238095238
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,test,4.0,273,0.7326007326007326,0.737525720164609,0.7430811941681507
S4_train_I_val_D1_2,three_class_with_air,LDA,train,,58,0.9310344827586207,0.9393939393939394,0.9282001764299168
S4_train_I_val_D1_2,three_class_with_air,LDA,validation,,28,0.8571428571428571,0.85,0.8515037593984962
S4_train_I_val_D1_2,three_class_with_air,LDA,test,,245,0.8816326530612245,0.8841456939577359,0.880205981382452
S4_train_I_val_D1_2,three_class_with_air,Logistic Regression,train,,58,1.0,1.0,1.0
S4_train_I_val_D1_2,three_class_with_air,Logistic Regression,validation,,28,0.8928571428571429,0.8833333333333333,0.8913588318622643
S4_train_I_val_D1_2,three_class_with_air,Logistic Regression,test,,245,0.9183673469387755,0.9197196559413826,0.9217000722282412
S4_train_I_val_D1_2,three_class_with_air,kNN,train,,58,0.8448275862068966,0.8549783549783551,0.8439848057252407
S4_train_I_val_D1_2,three_class_with_air,kNN,validation,,28,0.7857142857142857,0.8000000000000002,0.7979797979797979
S4_train_I_val_D1_2,three_class_with_air,kNN,test,,245,0.7346938775510204,0.7459912923436338,0.7308541458003511
S4_train_I_val_D1_2,three_class_with_air,Random Forest,train,0.0,58,0.9655172413793104,0.9696969696969697,0.9696969696969697
S4_train_I_val_D1_2,three_class_with_air,Random Forest,validation,0.0,28,0.75,0.7666666666666666,0.7340930674264007
S4_train_I_val_D1_2,three_class_with_air,Random Forest,test,0.0,245,0.8163265306122449,0.8255813953488372,0.812765339816394
S4_train_I_val_D1_2,three_class_with_air,Random Forest,train,1.0,58,0.9827586206896551,0.9848484848484849,0.9848406546080964
S4_train_I_val_D1_2,three_class_with_air,Random Forest,validation,1.0,28,0.75,0.7666666666666666,0.7340930674264007
