split,task,model,partition,random_state,label,support,predicted_n,precision,recall,f1
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,alcohol,2,3,0.6666666666666666,1.0,0.8
S2_train_I_internal_val_test_all,three_class_with_air,LDA,validation,,acetone,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,air,81,75,0.76,0.7037037037037037,0.7307692307692307
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,alcohol,96,143,0.6433566433566433,0.9583333333333334,0.7698744769874477
S2_train_I_internal_val_test_all,three_class_with_air,LDA,test,,acetone,96,55,0.9818181818181818,0.5625,0.7152317880794702
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,air,6,6,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,alcohol,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,train,,acetone,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,air,1,1,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,alcohol,2,2,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,validation,,acetone,2,2,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,air,81,66,1.0,0.8148148148148148,0.8979591836734694
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,alcohol,96,144,0.6597222222222222,0.9895833333333334,0.7916666666666666
S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,test,,acetone,96,63,0.9841269841269841,0.6458333333333334,0.779874213836478
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,air,6,6,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,alcohol,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,train,,acetone,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,air,1,1,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,alcohol,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,kNN,validation,,acetone,2,3,0.6666666666666666,1.0,0.8
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,air,81,70,0.8571428571428571,0.7407407407407407,0.7947019867549668
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,alcohol,96,84,0.5476190476190477,0.4791666666666667,0.5111111111111111
S2_train_I_internal_val_test_all,three_class_with_air,kNN,test,,acetone,96,119,0.5966386554621849,0.7395833333333334,0.6604651162790698
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,air,6,6,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,alcohol,12,15,0.8,1.0,0.8888888888888888
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,0.0,acetone,12,9,1.0,0.75,0.8571428571428571
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,air,1,1,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,alcohol,2,3,0.6666666666666666,1.0,0.8
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,0.0,acetone,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,0.0,air,81,81,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,0.0,alcohol,96,100,0.85,0.8854166666666666,0.8673469387755102
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,test,0.0,acetone,96,92,0.8804347826086957,0.84375,0.8617021276595744
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,1.0,air,6,6,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,1.0,alcohol,12,14,0.8571428571428571,1.0,0.9230769230769231
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,train,1.0,acetone,12,10,1.0,0.8333333333333334,0.9090909090909091
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,1.0,air,1,1,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,1.0,alcohol,2,3,0.6666666666666666,1.0,0.8
S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,validation,1.0,acetone,2,1,1.0,0.5,0.6666666666666666
