split,description,task,model,random_state,tuning_random_state,tuning_seed_values,protocol_version,preprocessing,best_params,fixed_estimator_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,1.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,1.0,0.6,0.7948717948717948,1.0,0.6666666666666666,0.7971965020576132,1.0,0.611111111111111,0.7992624789126529
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,2.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,1.0,0.6,0.7326007326007326,1.0,0.6666666666666666,0.737525720164609,1.0,0.611111111111111,0.735876068604498
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,3.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,1.0,0.6,0.7289377289377289,1.0,0.6666666666666666,0.7334104938271605,1.0,0.611111111111111,0.7253392916252897
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,4.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,1.0,0.6,0.7326007326007326,1.0,0.6666666666666666,0.737525720164609,1.0,0.611111111111111,0.7430811941681507
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,LDA,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,20,10,273,0.8666666666666667,0.8,0.7435897435897436,0.8611111111111112,0.8333333333333334,0.7415123456790124,0.8597883597883599,0.7851851851851852,0.7386251652787162
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Logistic Regression,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",C=0.1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,20,10,273,0.8666666666666667,0.7,0.8461538461538461,0.8888888888888888,0.6666666666666666,0.8458076131687243,0.863997113997114,0.6555555555555556,0.8494322444247425
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,kNN,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",n_neighbors=7,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,20,10,273,0.7333333333333333,0.7,0.663003663003663,0.6944444444444443,0.6666666666666666,0.6676954732510288,0.7068418171866447,0.6555555555555556,0.6590358399190824
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,0.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,0.9,0.7,0.9194139194139194,0.9166666666666666,0.75,0.9236111111111112,0.9153439153439153,0.6944444444444443,0.923577941815024
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,1.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,0.9333333333333333,0.7,0.9047619047619048,0.9444444444444445,0.75,0.9097222222222223,0.9440559440559441,0.6944444444444443,0.9096339741501032
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,2.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,0.9,0.7,0.8901098901098901,0.9166666666666666,0.75,0.8958333333333334,0.9153439153439153,0.6944444444444443,0.8958333333333334
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,3.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,0.9333333333333333,0.7,0.8974358974358975,0.9444444444444445,0.75,0.9027777777777777,0.9440559440559441,0.6944444444444443,0.9027777777777777
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,4.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,0.9333333333333333,0.7,0.9047619047619048,0.9444444444444445,0.75,0.9097222222222222,0.9440559440559441,0.6944444444444443,0.9094766619519095
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,RBF SVM,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",C=10.0;gamma=scale,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,20,10,273,1.0,0.7,0.8205128205128205,1.0,0.6666666666666666,0.8227880658436213,1.0,0.6666666666666666,0.8269629313107574
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,0.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,1.0,0.6,0.7985347985347986,1.0,0.5833333333333334,0.8019547325102879,1.0,0.5738095238095238,0.7993324989570295
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,1.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,1.0,0.6,0.7948717948717948,1.0,0.5833333333333334,0.7971965020576132,1.0,0.5738095238095238,0.7992624789126529
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,2.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,1.0,0.7,0.7326007326007326,1.0,0.6666666666666666,0.737525720164609,1.0,0.6518518518518518,0.735876068604498
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,3.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,1.0,0.6,0.7289377289377289,1.0,0.5833333333333334,0.7334104938271605,1.0,0.5738095238095238,0.7253392916252897
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,4.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,1.0,0.6,0.7326007326007326,1.0,0.5833333333333334,0.737525720164609,1.0,0.5738095238095238,0.7430811941681507
