experiment,feature_dim,split,task,model,best_params,selection_method,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,fit_assessment
amplitude_only,1,S4_train_I_D1_val_D2_3,three_class_with_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.6956521739130435,0.6153846153846154,0.6486486486486487,0.7254901960784315,0.6666666666666666,0.6666666666666666,0.6904761904761904,0.6336996336996338,0.6367383512544803,0.047003525264394774,Possible underfitting
amplitude_only,1,S4_train_I_D1_val_D2_3,three_class_with_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.8260869565217391,0.6153846153846154,0.6702702702702703,0.8267973856209151,0.6666666666666666,0.6862470862470862,0.8300260126347084,0.6031746031746031,0.6294205285030973,0.15581668625146883,Reasonable or mild shift
amplitude_only,1,S4_train_I_D1_val_D2_3,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.7391304347826086,0.6153846153846154,0.6378378378378379,0.7647058823529412,0.6666666666666666,0.6564102564102564,0.7388888888888889,0.6031746031746031,0.6040869262132302,0.10129259694477077,Possible underfitting
amplitude_only,1,S4_train_I_D1_val_D2_3,three_class_with_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.7608695652173914,0.6153846153846154,0.6756756756756757,0.7843137254901961,0.6666666666666666,0.6923076923076924,0.7625000000000001,0.6031746031746031,0.6336996336996337,0.0851938895417157,Reasonable or mild shift
amplitude_only,1,S4_train_I_D1_val_D2_3,binary_without_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.8235294117647058,0.5,0.5384615384615384,0.8235294117647058,0.5,0.5384615384615384,0.8210526315789475,0.40476190476190477,0.465607015620718,0.2850678733031674,High train-test gap
amplitude_only,1,S4_train_I_D1_val_D2_3,binary_without_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.7941176470588235,0.55,0.5615384615384615,0.7941176470588236,0.55,0.5615384615384615,0.7925021795989537,0.4871794871794872,0.5076739087103848,0.23257918552036194,Reasonable or mild shift
amplitude_only,1,S4_train_I_D1_val_D2_3,binary_without_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.8235294117647058,0.5,0.5384615384615384,0.8235294117647058,0.5,0.5384615384615384,0.8210526315789475,0.40476190476190477,0.4505494505494505,0.2850678733031674,High train-test gap
amplitude_only,1,S4_train_I_D1_val_D2_3,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.8235294117647058,0.5,0.5384615384615384,0.8235294117647058,0.5,0.5384615384615384,0.8210526315789475,0.40476190476190477,0.465607015620718,0.2850678733031674,High train-test gap
amplitude_only,1,S4_train_I_D1_val_D2_3,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.8235294117647058,0.5,0.5384615384615384,0.8235294117647058,0.5,0.5384615384615384,0.8210526315789475,0.40476190476190477,0.465607015620718,0.2850678733031674,High train-test gap
amplitude_only,1,S5_train_I_D1_2_val_D3_5,three_class_with_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.7068965517241379,0.65,0.6226415094339622,0.7424242424242423,0.688888888888889,0.6363636363636364,0.710547757059385,0.6393901420217211,0.5818888065796722,0.08425504229017566,Possible underfitting
amplitude_only,1,S5_train_I_D1_2_val_D3_5,three_class_with_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.6896551724137931,0.6,0.6415094339622641,0.7272727272727272,0.6444444444444445,0.6545454545454545,0.6925925925925926,0.6056808688387636,0.6235843621399177,0.04814573845152903,Possible underfitting
amplitude_only,1,S5_train_I_D1_2_val_D3_5,three_class_with_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.7931034482758621,0.625,0.6855345911949685,0.8008658008658008,0.6666666666666666,0.6962275819418676,0.8055836992007205,0.6148908857509628,0.6844460008288927,0.10756885708089359,Reasonable or mild shift
amplitude_only,1,S5_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.7068965517241379,0.65,0.6226415094339622,0.7424242424242423,0.688888888888889,0.6363636363636364,0.710547757059385,0.6393901420217211,0.5818888065796722,0.08425504229017566,Possible underfitting
amplitude_only,1,S5_train_I_D1_2_val_D3_5,three_class_with_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.7241379310344828,0.675,0.6666666666666666,0.7575757575757575,0.7111111111111111,0.6787878787878787,0.730966260378025,0.6662387676508345,0.6266050811896701,0.05747126436781613,Possible underfitting
amplitude_only,1,S5_train_I_D1_2_val_D3_5,binary_without_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,0.75,0.5666666666666667,0.5363636363636364,0.75,0.5666666666666667,0.5363636363636364,0.7435082140964495,0.4993581514762516,0.46156061042326524,0.21363636363636362,Reasonable or mild shift
amplitude_only,1,S5_train_I_D1_2_val_D3_5,binary_without_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,0.75,0.5333333333333333,0.5636363636363636,0.75,0.5333333333333333,0.5636363636363636,0.7467294610151753,0.475,0.5175438596491229,0.1863636363636364,Reasonable or mild shift
amplitude_only,1,S5_train_I_D1_2_val_D3_5,binary_without_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,0.7727272727272727,0.5,0.5545454545454546,0.7727272727272727,0.5,0.5545454545454546,0.7722567287784678,0.42233632862644416,0.5341802782819117,0.21818181818181814,Reasonable or mild shift
amplitude_only,1,S5_train_I_D1_2_val_D3_5,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,0.75,0.5666666666666667,0.5363636363636364,0.75,0.5666666666666667,0.5363636363636364,0.7435082140964495,0.4993581514762516,0.46156061042326524,0.21363636363636362,Reasonable or mild shift
amplitude_only,1,S5_train_I_D1_2_val_D3_5,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,0.75,0.5666666666666667,0.5363636363636364,0.75,0.5666666666666667,0.5363636363636364,0.7467294610151753,0.4993581514762516,0.46156061042326524,0.21363636363636362,Reasonable or mild shift
amplitude_only,1,S6_train_I_D1_3_val_D4_5,three_class_with_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.6944444444444444,0.6538461538461539,0.6352201257861635,0.7283950617283951,0.7000000000000001,0.6484848484848486,0.6991341991341992,0.6638827838827838,0.6017827529021559,0.05922431865828093,Possible underfitting
amplitude_only,1,S6_train_I_D1_3_val_D4_5,three_class_with_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.6805555555555556,0.6153846153846154,0.6415094339622641,0.7160493827160493,0.6666666666666666,0.6545454545454545,0.6867510918093013,0.6354700854700854,0.631306219789366,0.03904612159329146,Possible underfitting
amplitude_only,1,S6_train_I_D1_3_val_D4_5,three_class_with_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,1.0,0.5769230769230769,0.6792452830188679,1.0,0.6333333333333333,0.6894248608534322,1.0,0.6324143692564745,0.6927308802308803,0.3207547169811321,High train-test gap
amplitude_only,1,S6_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.6944444444444444,0.6538461538461539,0.6352201257861635,0.7283950617283951,0.7000000000000001,0.6484848484848486,0.6991341991341992,0.6638827838827838,0.6017827529021559,0.05922431865828093,Possible underfitting
amplitude_only,1,S6_train_I_D1_3_val_D4_5,three_class_with_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.6944444444444444,0.6923076923076923,0.6729559748427673,0.7283950617283951,0.7333333333333333,0.6848484848484849,0.7017172953525462,0.706959706959707,0.6396397769080111,0.021488469601677163,Possible underfitting
amplitude_only,1,S6_train_I_D1_3_val_D4_5,binary_without_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,0.7037037037037037,0.6,0.5636363636363636,0.7037037037037037,0.6,0.5636363636363636,0.6931818181818181,0.5604395604395604,0.5045045045045045,0.14006734006734012,Possible underfitting
amplitude_only,1,S6_train_I_D1_3_val_D4_5,binary_without_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,0.6851851851851852,0.55,0.5636363636363636,0.6851851851851851,0.55,0.5636363636363637,0.6798046738751309,0.52,0.5454545454545454,0.12154882154882163,Possible underfitting
amplitude_only,1,S6_train_I_D1_3_val_D4_5,binary_without_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,1.0,0.45,0.5545454545454546,1.0,0.45,0.5545454545454545,1.0,0.4486215538847118,0.5545086370774444,0.44545454545454544,High train-test gap
