split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,class_loss_last,domain_loss_last,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,judgment
D5_semi_day1_2_val_day3_5,Source labels = all Period I; target Day1-2 available for domain loss and optional label-supervised calibration; validation = Day3-5; test = Day6-19.,three_class_with_air,DANN-UDA,0.05,11,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,210,0.0001985559065360576,0.6824901700019836,30,30,0,28,28,40,159,1.0,0.9,0.8679245283018868,1.0,0.9,0.8660482374768089,1.0,0.9063067150635208,0.8668842107289652,0.13207547169811318,0.6206896551724138,candidate
D5_semi_day1_2_val_day3_5,Source labels = all Period I; target Day1-2 available for domain loss and optional label-supervised calibration; validation = Day3-5; test = Day6-19.,three_class_with_air,MLP source + target labels,0.0,23,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,30,0.002166230231523514,0.0,58,30,0,28,28,40,159,1.0,0.925,0.8364779874213837,1.0,0.9333333333333332,0.8379715522572665,1.0,0.9326599326599326,0.8338275481132623,0.16352201257861632,0.5689655172413793,candidate; domain near-invariant
D5_semi_day1_2_val_day3_5,Source labels = all Period I; target Day1-2 available for domain loss and optional label-supervised calibration; validation = Day3-5; test = Day6-19.,three_class_with_air,DANN-semi,0.5,11,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,400,0.014036357402801514,0.6784947514533997,58,30,0,28,28,40,159,1.0,0.95,0.9245283018867925,1.0,0.9555555555555556,0.92430426716141,1.0,0.9553571428571429,0.9252770534550195,0.07547169811320753,0.5344827586206896,best in split; domain near-invariant
D5_semi_day1_2_val_day3_5,Source labels = all Period I; target Day1-2 available for domain loss and optional label-supervised calibration; validation = Day3-5; test = Day6-19.,binary_without_air,MLP source only,0.0,7,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,100,4.42330892838072e-05,0.0,24,24,0,20,20,30,110,1.0,0.8666666666666667,0.9363636363636364,1.0,0.8666666666666667,0.9363636363636363,1.0,0.8660714285714285,0.9362318840579711,0.0636363636363636,0.5,best in split; domain near-invariant
D5_semi_day1_2_val_day3_5,Source labels = all Period I; target Day1-2 available for domain loss and optional label-supervised calibration; validation = Day3-5; test = Day6-19.,binary_without_air,DANN-UDA,0.2,7,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,90,9.934106870446158e-09,0.6890092492103577,24,24,0,20,20,30,110,1.0,0.9333333333333333,0.9363636363636364,1.0,0.9333333333333333,0.9363636363636363,1.0,0.9333333333333333,0.9362318840579711,0.0636363636363636,0.3409090909090909,best in split
D5_semi_day1_2_val_day3_5,Source labels = all Period I; target Day1-2 available for domain loss and optional label-supervised calibration; validation = Day3-5; test = Day6-19.,binary_without_air,MLP source + target labels,0.0,7,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,30,0.0003106167132500559,0.0,44,24,0,20,20,30,110,1.0,0.9333333333333333,0.9272727272727272,1.0,0.9333333333333333,0.9272727272727272,1.0,0.9330357142857143,0.9270557029177718,0.07272727272727275,0.38636363636363635,candidate
D5_semi_day1_2_val_day3_5,Source labels = all Period I; target Day1-2 available for domain loss and optional label-supervised calibration; validation = Day3-5; test = Day6-19.,binary_without_air,DANN-semi,0.05,23,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,220,4.987647571397247e-06,0.6020548939704895,44,24,0,20,20,30,110,1.0,0.9666666666666667,0.9181818181818182,1.0,0.9666666666666667,0.9181818181818182,1.0,0.9666295884315907,0.917849141150112,0.08181818181818179,0.5909090909090909,candidate; domain near-invariant
D6_semi_day12_val_day13_14,Source labels = all Period I; target Day12 available for domain loss and optional label-supervised calibration; validation = Day13-14; test = Day15-19.,three_class_with_air,MLP source only,0.0,23,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,30,0.0010698647238314152,0.0,30,30,0,9,9,24,52,1.0,0.7916666666666666,0.6730769230769231,1.0,0.75,0.6721132897603486,1.0,0.7436507936507937,0.6753740970072241,0.32692307692307687,0.38461538461538464,candidate; high train-test gap
D6_semi_day12_val_day13_14,Source labels = all Period I; target Day12 available for domain loss and optional label-supervised calibration; validation = Day13-14; test = Day15-19.,three_class_with_air,DANN-UDA,0.2,23,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,400,0.004535849206149578,0.5262659192085266,30,30,0,9,9,24,52,1.0,0.9166666666666666,0.8461538461538461,1.0,0.9166666666666666,0.8485838779956426,1.0,0.9075851684547337,0.8458333333333333,0.15384615384615385,0.7692307692307693,candidate; domain still separable
D6_semi_day12_val_day13_14,Source labels = all Period I; target Day12 available for domain loss and optional label-supervised calibration; validation = Day13-14; test = Day15-19.,three_class_with_air,MLP source + target labels,0.0,7,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,330,5.53859026695136e-05,0.0,39,30,0,9,9,24,52,1.0,0.875,0.6730769230769231,1.0,0.8333333333333334,0.6699346405228758,1.0,0.8321678321678321,0.649595502536679,0.32692307692307687,0.23076923076923078,candidate; high train-test gap
D6_semi_day12_val_day13_14,Source labels = all Period I; target Day12 available for domain loss and optional label-supervised calibration; validation = Day13-14; test = Day15-19.,three_class_with_air,DANN-semi,0.2,23,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,240,2.035198667726945e-05,0.44290298223495483,39,30,0,9,9,24,52,1.0,0.9583333333333334,0.9230769230769231,1.0,0.9444444444444445,0.9226579520697168,1.0,0.9440559440559441,0.9221963899383253,0.07692307692307687,0.8205128205128205,best in split; domain still separable
D6_semi_day12_val_day13_14,Source labels = all Period I; target Day12 available for domain loss and optional label-supervised calibration; validation = Day13-14; test = Day15-19.,binary_without_air,MLP source only,0.0,7,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,180,2.1854848455404863e-06,0.0,24,24,0,4,4,12,34,1.0,0.9166666666666666,0.9117647058823529,1.0,0.9166666666666667,0.9117647058823529,1.0,0.916083916083916,0.9110723626852659,0.08823529411764708,0.17857142857142858,candidate
D6_semi_day12_val_day13_14,Source labels = all Period I; target Day12 available for domain loss and optional label-supervised calibration; validation = Day13-14; test = Day15-19.,binary_without_air,DANN-UDA,0.2,23,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,190,0.0,0.3881010115146637,24,24,0,4,4,12,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,best in split
D6_semi_day12_val_day13_14,Source labels = all Period I; target Day12 available for domain loss and optional label-supervised calibration; validation = Day13-14; test = Day15-19.,binary_without_air,MLP source + target labels,0.0,23,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,290,9.749182027007919e-06,0.0,28,24,0,4,4,12,34,1.0,0.9166666666666666,0.9117647058823529,1.0,0.9166666666666667,0.9117647058823529,1.0,0.916083916083916,0.9110723626852659,0.08823529411764708,0.5714285714285714,candidate; domain near-invariant
D6_semi_day12_val_day13_14,Source labels = all Period I; target Day12 available for domain loss and optional label-supervised calibration; validation = Day13-14; test = Day15-19.,binary_without_air,DANN-semi,0.05,7,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,140,1.7881383485018887e-07,0.4079959988594055,28,24,0,4,4,12,34,1.0,0.9166666666666666,0.9705882352941176,1.0,0.9166666666666667,0.9705882352941176,1.0,0.916083916083916,0.9705627705627706,0.02941176470588236,0.8571428571428571,candidate; domain still separable
