variant,lambda,seed,best_epoch,train_n,source_n,target_calibration_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,domain_invariance_note,task
DANN-semi,0.02,3,10,34,24,10,20,130,0.9117647058823529,1.0,0.7230769230769231,0.9117647058823529,1.0,0.7230769230769232,0.9110723626852659,1.0,0.7027439024390244,0.18868778280542986,0.8235294117647058,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.02,7,60,34,24,10,20,130,0.9117647058823529,0.95,0.823076923076923,0.9117647058823529,0.95,0.823076923076923,0.9110723626852659,0.949874686716792,0.8183364724466857,0.08868778280542988,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.02,11,50,34,24,10,20,130,0.9117647058823529,1.0,0.8769230769230769,0.9117647058823529,1.0,0.8769230769230769,0.9110723626852659,1.0,0.8750300408555636,0.034841628959276005,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.02,17,40,34,24,10,20,130,0.9117647058823529,0.95,0.7615384615384615,0.9117647058823529,0.95,0.7615384615384615,0.9110723626852659,0.949874686716792,0.7471610515088776,0.15022624434389142,0.8235294117647058,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.02,23,130,34,24,10,20,130,0.9117647058823529,0.9,0.8692307692307693,0.9117647058823529,0.9,0.8692307692307693,0.9116883116883117,0.898989898989899,0.8674662668665667,0.04253393665158367,0.8529411764705882,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.05,3,10,34,24,10,20,130,0.9117647058823529,1.0,0.7230769230769231,0.9117647058823529,1.0,0.7230769230769232,0.9110723626852659,1.0,0.7027439024390244,0.18868778280542986,0.8235294117647058,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.05,7,60,34,24,10,20,130,0.9117647058823529,0.95,0.823076923076923,0.9117647058823529,0.95,0.823076923076923,0.9110723626852659,0.949874686716792,0.8183364724466857,0.08868778280542988,0.7647058823529411,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.05,11,50,34,24,10,20,130,0.9117647058823529,1.0,0.8769230769230769,0.9117647058823529,1.0,0.8769230769230769,0.9110723626852659,1.0,0.8750300408555636,0.034841628959276005,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.05,17,40,34,24,10,20,130,0.9117647058823529,0.95,0.7615384615384615,0.9117647058823529,0.95,0.7615384615384615,0.9110723626852659,0.949874686716792,0.7471610515088776,0.15022624434389142,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.05,23,130,34,24,10,20,130,0.9117647058823529,0.9,0.8692307692307693,0.9117647058823529,0.9,0.8692307692307693,0.9116883116883117,0.898989898989899,0.8674662668665667,0.04253393665158367,0.8529411764705882,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.1,3,10,34,24,10,20,130,0.9117647058823529,1.0,0.7230769230769231,0.9117647058823529,1.0,0.7230769230769232,0.9110723626852659,1.0,0.7027439024390244,0.18868778280542986,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.1,7,60,34,24,10,20,130,0.9117647058823529,0.95,0.8307692307692308,0.9117647058823529,0.95,0.8307692307692308,0.9110723626852659,0.949874686716792,0.8266666666666667,0.0809954751131221,0.7647058823529411,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.1,11,50,34,24,10,20,130,0.9117647058823529,1.0,0.8769230769230769,0.9117647058823529,1.0,0.8769230769230769,0.9110723626852659,1.0,0.8750300408555636,0.034841628959276005,0.7647058823529411,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.1,17,40,34,24,10,20,130,0.9117647058823529,0.95,0.7615384615384615,0.9117647058823529,0.95,0.7615384615384615,0.9110723626852659,0.949874686716792,0.7471610515088776,0.15022624434389142,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.1,23,750,34,24,10,20,130,1.0,1.0,0.8923076923076924,1.0,1.0,0.8923076923076924,1.0,1.0,0.8913821914538076,0.10769230769230764,0.6764705882352942,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.2,3,10,34,24,10,20,130,0.9117647058823529,1.0,0.7076923076923077,0.9117647058823529,1.0,0.7076923076923077,0.9110723626852659,1.0,0.6834145091002308,0.2040723981900452,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.2,7,50,34,24,10,20,130,0.9117647058823529,0.95,0.7923076923076923,0.9117647058823529,0.95,0.7923076923076924,0.9110723626852659,0.949874686716792,0.784331797235023,0.11945701357466065,0.7352941176470589,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.2,11,50,34,24,10,20,130,0.9117647058823529,1.0,0.8769230769230769,0.9117647058823529,1.0,0.8769230769230769,0.9110723626852659,1.0,0.8750300408555636,0.034841628959276005,0.7352941176470589,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.2,17,40,34,24,10,20,130,0.8823529411764706,0.95,0.7769230769230769,0.8823529411764706,0.95,0.7769230769230769,0.8807017543859649,0.949874686716792,0.7652406750108973,0.10542986425339362,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.2,23,430,34,24,10,20,130,1.0,1.0,0.9076923076923077,1.0,1.0,0.9076923076923078,1.0,1.0,0.9071428571428571,0.09230769230769231,0.6764705882352942,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.5,3,10,34,24,10,20,130,0.9117647058823529,1.0,0.7,0.9117647058823529,1.0,0.7000000000000001,0.9110723626852659,1.0,0.6735561135792931,0.21176470588235297,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.5,7,50,34,24,10,20,130,0.9117647058823529,0.95,0.7923076923076923,0.9117647058823529,0.95,0.7923076923076924,0.9110723626852659,0.949874686716792,0.784331797235023,0.11945701357466065,0.6470588235294118,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.5,11,40,34,24,10,20,130,0.9117647058823529,1.0,0.8769230769230769,0.9117647058823529,1.0,0.8769230769230769,0.9110723626852659,1.0,0.8750300408555636,0.034841628959276005,0.6176470588235294,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.5,17,30,34,24,10,20,130,0.8823529411764706,0.95,0.7307692307692307,0.8823529411764706,0.95,0.7307692307692308,0.8807017543859649,0.949874686716792,0.7097288676236044,0.15158371040723984,0.6764705882352942,closer_to_0.5_is_more_invariant,binary_without_air
DANN-semi,0.5,23,240,34,24,10,20,130,1.0,1.0,0.9153846153846154,1.0,1.0,0.9153846153846155,1.0,1.0,0.9149771092217136,0.08461538461538465,0.6470588235294118,closer_to_0.5_is_more_invariant,binary_without_air
