variant,lambda,seed,best_epoch,train_n,source_n,target_calibration_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,domain_invariance_note,task
DANN-UDA,0.02,3,170,30,30,16,26,185,0.9,0.7692307692307693,0.6756756756756757,0.9166666666666666,0.7999999999999999,0.6839160839160838,0.8885375494071145,0.7602339181286549,0.6577750516822282,0.22432432432432436,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.02,7,300,30,30,16,26,185,1.0,0.6923076923076923,0.7351351351351352,1.0,0.7111111111111111,0.7393939393939394,1.0,0.6756613756613757,0.7248478213995456,0.2648648648648648,0.8260869565217391,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.02,11,70,30,30,16,26,185,0.8666666666666667,0.9230769230769231,0.7945945945945946,0.8888888888888888,0.9111111111111111,0.7967365967365967,0.8545548654244306,0.9111111111111111,0.7956208006567719,0.07207207207207211,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.02,17,710,30,30,16,26,185,1.0,0.6923076923076923,0.6702702702702703,1.0,0.7333333333333333,0.6797202797202798,1.0,0.6696356275303644,0.6218221747750495,0.3297297297297297,0.7608695652173914,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.02,23,800,30,30,16,26,185,1.0,0.7307692307692307,0.8,1.0,0.7444444444444445,0.8018648018648019,1.0,0.7243292053663571,0.79444881717609,0.19999999999999996,0.8478260869565217,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.05,3,170,30,30,16,26,185,0.9,0.7692307692307693,0.6756756756756757,0.9166666666666666,0.7999999999999999,0.6839160839160838,0.8885375494071145,0.7602339181286549,0.6577750516822282,0.22432432432432436,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.05,7,290,30,30,16,26,185,1.0,0.6923076923076923,0.7351351351351352,1.0,0.7111111111111111,0.7393939393939394,1.0,0.6756613756613757,0.7248478213995456,0.2648648648648648,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.05,11,70,30,30,16,26,185,0.8666666666666667,0.9230769230769231,0.7945945945945946,0.8888888888888888,0.9111111111111111,0.7967365967365967,0.8545548654244306,0.9111111111111111,0.7956208006567719,0.07207207207207211,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.05,17,620,30,30,16,26,185,1.0,0.6923076923076923,0.6756756756756757,1.0,0.7333333333333333,0.6848484848484849,1.0,0.6696356275303644,0.6302121212121212,0.32432432432432434,0.6739130434782609,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.05,23,760,30,30,16,26,185,1.0,0.7307692307692307,0.8162162162162162,1.0,0.7444444444444445,0.8172494172494172,1.0,0.7243292053663571,0.8120674665275605,0.1837837837837838,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.1,3,170,30,30,16,26,185,0.8666666666666667,0.7692307692307693,0.6810810810810811,0.888888888888889,0.7999999999999999,0.689044289044289,0.8595520421607379,0.7602339181286549,0.6650506356388709,0.18558558558558558,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.1,7,280,30,30,16,26,185,1.0,0.6923076923076923,0.7351351351351352,1.0,0.7111111111111111,0.7393939393939394,1.0,0.6756613756613757,0.7252102229780801,0.2648648648648648,0.7391304347826086,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.1,11,70,30,30,16,26,185,0.8666666666666667,0.9230769230769231,0.7945945945945946,0.8888888888888888,0.9111111111111111,0.7967365967365967,0.8545548654244306,0.9111111111111111,0.7956208006567719,0.07207207207207211,0.782608695652174,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.1,17,630,30,30,16,26,185,1.0,0.7307692307692307,0.6918918918918919,1.0,0.7666666666666666,0.7002331002331003,1.0,0.7167919799498748,0.655418421654096,0.30810810810810807,0.6304347826086957,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.1,23,280,30,30,16,26,185,1.0,0.6923076923076923,0.7405405405405405,1.0,0.7333333333333334,0.7463869463869464,1.0,0.690631808278867,0.7391778000731747,0.2594594594594595,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.2,3,160,30,30,16,26,185,0.8666666666666667,0.7692307692307693,0.6702702702702703,0.888888888888889,0.7999999999999999,0.6787878787878787,0.8595520421607379,0.7602339181286549,0.6559634219208687,0.1963963963963964,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.2,7,260,30,30,16,26,185,1.0,0.6923076923076923,0.7297297297297297,1.0,0.7111111111111111,0.7342657342657343,1.0,0.6756613756613757,0.7206414847610864,0.2702702702702703,0.6956521739130435,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.2,11,70,30,30,16,26,185,0.8666666666666667,0.9230769230769231,0.7945945945945946,0.8888888888888888,0.9111111111111111,0.7967365967365967,0.8545548654244306,0.9111111111111111,0.7956208006567719,0.07207207207207211,0.7391304347826086,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.2,17,540,30,30,16,26,185,1.0,0.7307692307692307,0.6972972972972973,1.0,0.7666666666666666,0.7053613053613054,1.0,0.7167919799498748,0.6627410820959209,0.3027027027027027,0.6521739130434783,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.2,23,260,30,30,16,26,185,1.0,0.6923076923076923,0.7351351351351352,1.0,0.7333333333333334,0.7412587412587412,1.0,0.690631808278867,0.7346426329477177,0.2648648648648648,0.7608695652173914,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.5,3,170,30,30,16,26,185,0.9,0.7692307692307693,0.6594594594594595,0.9166666666666666,0.7999999999999999,0.6685314685314685,0.8943001443001443,0.7602339181286549,0.6492088893690546,0.24054054054054053,0.6956521739130435,closer_to_0.5_is_more_invariant,three_class_with_air
