split,task,model,partition,random_state,label,support,predicted_n,precision,recall,f1,fit_id
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,acetone,10,9,1.0,0.9,0.9473684210526315,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,air,6,6,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,alcohol,12,12,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,train,,acetone,12,12,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,air,1,1,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,alcohol,2,2,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,validation,,acetone,2,2,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,air,18,16,1.0,0.8888888888888888,0.9411764705882353,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,alcohol,33,50,0.66,1.0,0.7951807228915663,three_class_with_air|Logistic Regression|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Logistic Regression,test,,acetone,33,18,1.0,0.5454545454545454,0.7058823529411765,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,air,6,6,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,alcohol,12,12,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,train,,acetone,12,12,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,validation,,air,1,1,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,validation,,alcohol,2,2,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,validation,,acetone,2,2,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,test,,air,31,24,1.0,0.7741935483870968,0.8727272727272727,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,test,,alcohol,25,45,0.5333333333333333,0.96,0.6857142857142857,three_class_with_air|Logistic Regression|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Logistic Regression,test,,acetone,25,12,0.9166666666666666,0.44,0.5945945945945946,three_class_with_air|Logistic Regression|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Logistic Regression,train,,air,6,6,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Logistic Regression,train,,alcohol,12,12,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Logistic Regression,train,,acetone,12,12,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
