protocol,task,model,true_label,predicted_label,count
C_recent_to_period3,three_class,RBF LS-SVM,alcohol,alcohol,7
C_recent_to_period3,three_class,RBF LS-SVM,alcohol,acetone,0
C_recent_to_period3,three_class,RBF LS-SVM,acetone,air,0
C_recent_to_period3,three_class,RBF LS-SVM,acetone,alcohol,0
C_recent_to_period3,three_class,RBF LS-SVM,acetone,acetone,7
C_recent_to_period3,binary_alcohol_acetone,LDA,alcohol,alcohol,7
C_recent_to_period3,binary_alcohol_acetone,LDA,alcohol,acetone,0
C_recent_to_period3,binary_alcohol_acetone,LDA,acetone,alcohol,0
C_recent_to_period3,binary_alcohol_acetone,LDA,acetone,acetone,7
C_recent_to_period3,binary_alcohol_acetone,Logistic Regression,alcohol,alcohol,7
C_recent_to_period3,binary_alcohol_acetone,Logistic Regression,alcohol,acetone,0
C_recent_to_period3,binary_alcohol_acetone,Logistic Regression,acetone,alcohol,0
C_recent_to_period3,binary_alcohol_acetone,Logistic Regression,acetone,acetone,7
C_recent_to_period3,binary_alcohol_acetone,kNN,alcohol,alcohol,7
C_recent_to_period3,binary_alcohol_acetone,kNN,alcohol,acetone,0
C_recent_to_period3,binary_alcohol_acetone,kNN,acetone,alcohol,0
C_recent_to_period3,binary_alcohol_acetone,kNN,acetone,acetone,7
C_recent_to_period3,binary_alcohol_acetone,Random Forest,alcohol,alcohol,7
C_recent_to_period3,binary_alcohol_acetone,Random Forest,alcohol,acetone,0
C_recent_to_period3,binary_alcohol_acetone,Random Forest,acetone,alcohol,0
C_recent_to_period3,binary_alcohol_acetone,Random Forest,acetone,acetone,7
C_recent_to_period3,binary_alcohol_acetone,RBF LS-SVM,alcohol,alcohol,7
C_recent_to_period3,binary_alcohol_acetone,RBF LS-SVM,alcohol,acetone,0
C_recent_to_period3,binary_alcohol_acetone,RBF LS-SVM,acetone,alcohol,0
C_recent_to_period3,binary_alcohol_acetone,RBF LS-SVM,acetone,acetone,7
