experiment,feature_dim,split,task,model,best_params,selection_method,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,fit_assessment,full54_best_model,full54_test_accuracy,full54_test_macro_f1,control_minus_full54_accuracy
amplitude_only,1,S6_train_I_D1_3_val_D4_5,three_class_with_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,1.0,0.5769230769230769,0.6792452830188679,1.0,0.6333333333333333,0.6894248608534322,1.0,0.6324143692564745,0.6927308802308803,0.3207547169811321,High train-test gap,Logistic Regression,0.9182389937106918,0.9195497408002749,-0.23899371069182396
amplitude_only,1,S6_train_I_D1_3_val_D4_5,binary_without_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,0.6851851851851852,0.55,0.5636363636363636,0.6851851851851851,0.55,0.5636363636363637,0.6798046738751309,0.52,0.5454545454545454,0.12154882154882163,Possible underfitting,Logistic Regression,0.9454545454545454,0.9452917771883288,-0.38181818181818183
shape_normalized,54,S1_train_I_test_all,three_class_with_air,Random Forest,subspace_mult=2.0,fixed_default_no_validation,30,0,227,0.9,,0.9427312775330396,0.9166666666666666,,0.9369402985074626,0.9153439153439153,,0.94041387343698,-0.042731277533039624,Reasonable or mild shift,RBF LS-SVM,0.8237885462555066,0.8283062838780196,0.11894273127753308
shape_normalized,54,S1_train_I_test_all,binary_without_air,RBF LS-SVM,gamma_mult=1.0;c_value=10.0,fixed_default_no_validation,24,0,160,1.0,,0.975,1.0,,0.975,1.0,,0.9749843652282677,0.025000000000000022,Reasonable or mild shift,RBF LS-SVM,0.8125,0.8088867654085046,0.16249999999999998
shape_normalized,54,S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,1.0,0.8,0.9383259911894273,1.0,0.8333333333333334,0.9311567164179104,1.0,0.8222222222222223,0.9345143800220886,0.06167400881057272,Reasonable or mild shift,RBF LS-SVM,0.8281938325991189,0.8286328188186322,0.11013215859030834
shape_normalized,54,S2_train_I_internal_val_test_all,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,0.95,0.75,0.9875,0.95,0.75,0.9875,0.949874686716792,0.7333333333333334,0.9874980465697765,-0.03750000000000009,Reasonable or mild shift,RBF LS-SVM,0.89375,0.8930439227714208,0.09375
shape_normalized,54,S3_train_I_val_D1_2,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.8666666666666667,1.0,0.9396984924623115,0.8888888888888888,1.0,0.9348668280871671,0.8754578754578755,1.0,0.9379910023368613,-0.07303182579564482,Reasonable or mild shift,RBF LS-SVM,0.7788944723618091,0.7842285754486732,0.16080402010050243
shape_normalized,54,S3_train_I_val_D1_2,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,1.0,1.0,0.9928571428571429,1.0,1.0,0.9928571428571429,1.0,1.0,0.9928567784070617,0.0071428571428571175,Reasonable or mild shift,RBF LS-SVM,0.7928571428571428,0.786034255599473,0.20000000000000007
shape_normalized,54,S4_train_I_D1_val_D2_3,three_class_with_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,1.0,1.0,0.9513513513513514,1.0,1.0,0.95011655011655,1.0,1.0,0.9525053165015157,0.048648648648648596,Reasonable or mild shift,RBF LS-SVM,0.8432432432432433,0.8398452443053382,0.10810810810810811
shape_normalized,54,S4_train_I_D1_val_D2_3,binary_without_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,1.0,1.0,0.9769230769230769,1.0,1.0,0.976923076923077,1.0,1.0,0.9769217113438665,0.023076923076923106,Reasonable or mild shift,Logistic Regression,0.8538461538461538,0.8506560251526695,0.12307692307692308
