samples_per_class,repeat,model,accuracy,train_files,test_n
1,27,kNN,0.5,alcohol_o7.csv;acetone_o4.csv,14
1,27,Random Forest,0.5,alcohol_o7.csv;acetone_o4.csv,14
1,27,RBF LS-SVM,0.5,alcohol_o7.csv;acetone_o4.csv,14
1,28,LDA,0.5,alcohol_o1.csv;acetone_o11.csv,14
1,28,Logistic Regression,0.7857142857142857,alcohol_o1.csv;acetone_o11.csv,14
1,28,kNN,0.5,alcohol_o1.csv;acetone_o11.csv,14
1,28,Random Forest,0.7857142857142857,alcohol_o1.csv;acetone_o11.csv,14
1,28,RBF LS-SVM,0.7857142857142857,alcohol_o1.csv;acetone_o11.csv,14
1,29,LDA,0.5,alcohol_o9.csv;acetone_o2.csv,14
1,29,Logistic Regression,0.5,alcohol_o9.csv;acetone_o2.csv,14
1,29,kNN,0.5,alcohol_o9.csv;acetone_o2.csv,14
1,29,Random Forest,0.5,alcohol_o9.csv;acetone_o2.csv,14
1,29,RBF LS-SVM,0.5,alcohol_o9.csv;acetone_o2.csv,14
1,30,LDA,0.5,alcohol_o6.csv;acetone_o10.csv,14
1,30,Logistic Regression,0.42857142857142855,alcohol_o6.csv;acetone_o10.csv,14
1,30,kNN,0.5,alcohol_o6.csv;acetone_o10.csv,14
1,30,Random Forest,0.42857142857142855,alcohol_o6.csv;acetone_o10.csv,14
1,30,RBF LS-SVM,0.42857142857142855,alcohol_o6.csv;acetone_o10.csv,14
1,31,LDA,0.5,alcohol_o5.csv;acetone_o9.csv,14
1,31,Logistic Regression,0.5,alcohol_o5.csv;acetone_o9.csv,14
1,31,kNN,0.5,alcohol_o5.csv;acetone_o9.csv,14
1,31,Random Forest,0.5,alcohol_o5.csv;acetone_o9.csv,14
1,31,RBF LS-SVM,0.5,alcohol_o5.csv;acetone_o9.csv,14
1,32,LDA,0.5,alcohol_o10.csv;acetone_o11.csv,14
1,32,Logistic Regression,0.5714285714285714,alcohol_o10.csv;acetone_o11.csv,14
1,32,kNN,0.5,alcohol_o10.csv;acetone_o11.csv,14
1,32,Random Forest,0.5714285714285714,alcohol_o10.csv;acetone_o11.csv,14
1,32,RBF LS-SVM,0.5714285714285714,alcohol_o10.csv;acetone_o11.csv,14
1,33,LDA,0.5,alcohol_o8.csv;acetone_o5.csv,14
1,33,Logistic Regression,0.5,alcohol_o8.csv;acetone_o5.csv,14
1,33,kNN,0.5,alcohol_o8.csv;acetone_o5.csv,14
1,33,Random Forest,0.5,alcohol_o8.csv;acetone_o5.csv,14
1,33,RBF LS-SVM,0.5,alcohol_o8.csv;acetone_o5.csv,14
1,34,LDA,0.5,alcohol_o8.csv;acetone_o3.csv,14
1,34,Logistic Regression,0.5,alcohol_o8.csv;acetone_o3.csv,14
1,34,kNN,0.5,alcohol_o8.csv;acetone_o3.csv,14
1,34,Random Forest,0.5,alcohol_o8.csv;acetone_o3.csv,14
1,34,RBF LS-SVM,0.5,alcohol_o8.csv;acetone_o3.csv,14
1,35,LDA,0.5,alcohol_o8.csv;acetone_o8.csv,14
1,35,Logistic Regression,0.5,alcohol_o8.csv;acetone_o8.csv,14
1,35,kNN,0.5,alcohol_o8.csv;acetone_o8.csv,14
1,35,Random Forest,0.5,alcohol_o8.csv;acetone_o8.csv,14
1,35,RBF LS-SVM,0.5,alcohol_o8.csv;acetone_o8.csv,14
1,36,LDA,0.5,alcohol_o2.csv;acetone_o2.csv,14
1,36,Logistic Regression,0.5,alcohol_o2.csv;acetone_o2.csv,14
1,36,kNN,0.5,alcohol_o2.csv;acetone_o2.csv,14
1,36,Random Forest,0.5,alcohol_o2.csv;acetone_o2.csv,14
1,36,RBF LS-SVM,0.5,alcohol_o2.csv;acetone_o2.csv,14
1,37,LDA,0.5,alcohol_o6.csv;acetone_o8.csv,14
1,37,Logistic Regression,0.42857142857142855,alcohol_o6.csv;acetone_o8.csv,14
1,37,kNN,0.5,alcohol_o6.csv;acetone_o8.csv,14
1,37,Random Forest,0.42857142857142855,alcohol_o6.csv;acetone_o8.csv,14
1,37,RBF LS-SVM,0.42857142857142855,alcohol_o6.csv;acetone_o8.csv,14
1,38,LDA,0.5,alcohol_o1.csv;acetone_o10.csv,14
1,38,Logistic Regression,0.5,alcohol_o1.csv;acetone_o10.csv,14
1,38,kNN,0.5,alcohol_o1.csv;acetone_o10.csv,14
1,38,Random Forest,0.7857142857142857,alcohol_o1.csv;acetone_o10.csv,14
1,38,RBF LS-SVM,0.5,alcohol_o1.csv;acetone_o10.csv,14
1,39,LDA,0.5,alcohol_o1.csv;acetone_o11.csv,14
1,39,Logistic Regression,0.7857142857142857,alcohol_o1.csv;acetone_o11.csv,14
1,39,kNN,0.5,alcohol_o1.csv;acetone_o11.csv,14
1,39,Random Forest,0.7857142857142857,alcohol_o1.csv;acetone_o11.csv,14
1,39,RBF LS-SVM,0.7857142857142857,alcohol_o1.csv;acetone_o11.csv,14
1,40,LDA,0.5,alcohol_o11.csv;acetone_o6.csv,14
1,40,Logistic Regression,0.35714285714285715,alcohol_o11.csv;acetone_o6.csv,14
1,40,kNN,0.5,alcohol_o11.csv;acetone_o6.csv,14
1,40,Random Forest,0.42857142857142855,alcohol_o11.csv;acetone_o6.csv,14
1,40,RBF LS-SVM,0.35714285714285715,alcohol_o11.csv;acetone_o6.csv,14
1,41,LDA,0.5,alcohol_o11.csv;acetone_o3.csv,14
1,41,Logistic Regression,0.5,alcohol_o11.csv;acetone_o3.csv,14
1,41,kNN,0.5,alcohol_o11.csv;acetone_o3.csv,14
1,41,Random Forest,0.5,alcohol_o11.csv;acetone_o3.csv,14
1,41,RBF LS-SVM,0.5,alcohol_o11.csv;acetone_o3.csv,14
1,42,LDA,0.5,alcohol_o9.csv;acetone_o3.csv,14
1,42,Logistic Regression,0.42857142857142855,alcohol_o9.csv;acetone_o3.csv,14
1,42,kNN,0.5,alcohol_o9.csv;acetone_o3.csv,14
1,42,Random Forest,0.42857142857142855,alcohol_o9.csv;acetone_o3.csv,14
1,42,RBF LS-SVM,0.42857142857142855,alcohol_o9.csv;acetone_o3.csv,14
1,43,LDA,0.5,alcohol_o1.csv;acetone_o3.csv,14
1,43,Logistic Regression,0.42857142857142855,alcohol_o1.csv;acetone_o3.csv,14
1,43,kNN,0.5,alcohol_o1.csv;acetone_o3.csv,14
1,43,Random Forest,0.5,alcohol_o1.csv;acetone_o3.csv,14
1,43,RBF LS-SVM,0.42857142857142855,alcohol_o1.csv;acetone_o3.csv,14
