split,description,task,model,training_randomness,protocol_version,preprocessing,seed_count,seed_values,tuning_random_state,tuning_seed_values,best_params,fixed_estimator_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,train_accuracy_variance,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_variance,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_variance,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,validation_accuracy,validation_accuracy_variance,validation_accuracy_std,validation_accuracy_min,validation_accuracy_max,validation_balanced_accuracy,validation_balanced_accuracy_variance,validation_balanced_accuracy_std,validation_balanced_accuracy_min,validation_balanced_accuracy_max,validation_macro_f1,validation_macro_f1_variance,validation_macro_f1_std,validation_macro_f1_min,validation_macro_f1_max,test_accuracy,test_accuracy_variance,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_variance,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_variance,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,kNN,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,n_neighbors=7,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,58,30,28,245,0.8448275862068966,,,,,0.8549783549783551,,,,,0.8439848057252407,,,,,0.7857142857142857,,,,,0.8000000000000002,,,,,0.7979797979797979,,,,,0.7346938775510204,,,,,0.7459912923436338,,,,,0.7308541458003511,,,,
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,Random Forest,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,max_features=log2;max_depth=3;min_samples_leaf=2,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,58,30,28,245,0.9655172413793103,0.00014863258026159298,0.012191496227354253,0.9482758620689655,0.9827586206896551,0.9696969696969697,0.0001147842056932964,0.010713739108887075,0.9545454545454546,0.9848484848484849,0.9696907055046591,0.00011490294993071039,0.010719279356874247,0.9545219638242894,0.9848406546080964,0.75,0.0,0.0,0.75,0.75,0.7666666666666666,0.0,0.0,0.7666666666666666,0.7666666666666666,0.7340930674264007,0.0,0.0,0.7340930674264007,0.7340930674264007,0.8236734693877551,9.496043315285348e-05,0.009744764396990492,0.8122448979591836,0.8367346938775511,0.8325581395348838,8.563187308455052e-05,0.00925374913667701,0.8217054263565892,0.8449612403100776,0.8211883995394214,0.00012536660110785643,0.011196722784272925,0.8079704868695695,0.8360968172288926
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,RBF SVM,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0;gamma=0.01,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,58,30,28,245,1.0,,,,,1.0,,,,,1.0,,,,,0.9642857142857143,,,,,0.9666666666666667,,,,,0.9665831244778612,,,,,0.9061224489795918,,,,,0.9067112668578104,,,,,0.9099352566605358,,,,
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,MLP,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,"hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,58,30,28,245,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8142857142857143,0.0028061224489795934,0.05297284633639761,0.75,0.8928571428571429,0.8216666666666667,0.0027986111111111137,0.05290190082701295,0.7583333333333333,0.9,0.8104426619132502,0.0028361164862423112,0.0532552014947114,0.75,0.8912655971479501,0.8228571428571427,0.000421491045397752,0.020530247085647848,0.7918367346938775,0.8408163265306122,0.8277795476266328,0.00037961622843258154,0.019483742670046263,0.7981841350748646,0.8453860040352553,0.8185067301041491,0.0005326812044390033,0.023079887444244683,0.7851535328076893,0.8396490902072644
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,LDA,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,shrinkage=0.1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,72,46,26,231,0.9583333333333334,,,,,0.9629629629629629,,,,,0.9552491533623609,,,,,0.8076923076923077,,,,,0.8333333333333334,,,,,0.8023809523809523,,,,,0.8831168831168831,,,,,0.8831633565933084,,,,,0.8862516096355728,,,,
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,Logistic Regression,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=1.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,72,46,26,231,1.0,,,,,1.0,,,,,1.0,,,,,0.9615384615384616,,,,,0.9666666666666667,,,,,0.9665831244778613,,,,,0.9307359307359307,,,,,0.9320093039899803,,,,,0.9332263814616756,,,,
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,kNN,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,n_neighbors=1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,72,46,26,231,1.0,,,,,1.0,,,,,1.0,,,,,0.6923076923076923,,,,,0.7333333333333334,,,,,0.7306397306397306,,,,,0.8398268398268398,,,,,0.8384326355340849,,,,,0.8427024013980535,,,,
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,Random Forest,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,72,46,26,231,0.9305555555555556,0.0,0.0,0.9305555555555556,0.9305555555555556,0.9382716049382717,0.0,0.0,0.9382716049382717,0.9382716049382717,0.9380804953560371,1.5407439555097887e-32,1.2412670766236366e-16,0.9380804953560372,0.9380804953560372,0.8307692307692308,0.0004437869822485202,0.021066252211737146,0.8076923076923077,0.8461538461538461,0.8533333333333333,0.00033333333333333327,0.018257418583505537,0.8333333333333334,0.8666666666666667,0.8455555555555556,0.00045370370370370307,0.021300321680756445,0.8222222222222223,0.8611111111111112,0.8952380952380953,3.7480556961075825e-06,0.001935989590908893,0.8917748917748918,0.8961038961038961,0.9004115226337449,3.387017561686027e-06,0.0018403851666664852,0.897119341563786,0.9012345679012346,0.8985036889071922,3.829814639772768e-06,0.0019569912211792797,0.8950029165856505,0.8993788819875776
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,RBF SVM,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0;gamma=scale,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,72,46,26,231,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.9134199134199135,,,,,0.9141170155662909,,,,,0.9169029053771417,,,,
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,three_class_with_air,MLP,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,"hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,72,46,26,231,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8307692307692308,0.003402366863905326,0.05832981110808886,0.7692307692307693,0.9230769230769231,0.8533333333333333,0.0025555555555555522,0.05055250296034364,0.7999999999999999,0.9333333333333332,0.82495238851276,0.0039004573261213317,0.062453641416024185,0.7579365079365079,0.9234817813765183,0.8796536796536797,7.870916961826088e-05,0.008871818844986685,0.8658008658008658,0.8874458874458875,0.8821613884415817,7.733796810511458e-05,0.008794200822423524,0.8688495258543568,0.8908570406154946,0.8799244348938993,7.502738935273439e-05,0.008661835218516593,0.8659391924399591,0.8873456764165474
