architecture,split,variant,probe_variant,method,mode,seed,best_epoch,alignment_strength,centroid_strength,adversarial_strength,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8658008658008658,1.0,0.8744588744588745,0.8720701377706209,0.8749478919118134,0.008658008658008698
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,0,80,0.5,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9317073170731708,1.0,0.9414634146341463,0.9400849541694613,0.9419409391139361,0.009756097560975507
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,1,210,0.5,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.946341463414634,1.0,0.9463414634146341,0.9453759594604665,0.9466857584457244,1.1102230246251565e-16
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,2,260,0.5,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9365853658536586,1.0,0.9512195121951219,0.9500707951412176,0.9515735367207839,0.014634146341463317
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,3,220,0.5,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9414634146341464,1.0,0.9609756097560975,0.9588642968924659,0.9603120243531204,0.019512195121951126
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,4,370,0.5,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.946341463414634,1.0,0.9512195121951219,0.9500707951412176,0.9511285845170582,0.00487804878048792
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8926829268292683,1.0,0.8878048780487805,0.8848647440196736,0.8895910073080368,-0.004878048780487809
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8536585365853658,1.0,0.8634146341463415,0.8613905656159178,0.8655990759468283,0.009756097560975618
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9219512195121952,1.0,0.9170731707317074,0.9124375884939265,0.9157031062576811,-0.004878048780487809
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8878048780487805,1.0,0.8878048780487805,0.8842685744094195,0.887774052170944,0.0
one-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8585365853658536,1.0,0.8682926829268293,0.8660854012966688,0.8693020719738277,0.009756097560975618
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,0,90,0.5,0.05,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9317073170731708,1.0,0.9365853658536586,0.9341977792682018,0.9360192303871903,0.004878048780487809
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,1,70,0.5,0.05,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9414634146341464,1.0,0.9414634146341463,0.9400849541694613,0.9419409391139361,-1.1102230246251565e-16
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,2,30,0.5,0.05,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9317073170731708,0.9897959183673469,0.9365853658536586,0.9347939488784559,0.9367086463279707,0.004878048780487809
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,3,130,0.5,0.05,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9317073170731708,1.0,0.9560975609756097,0.9547656308219689,0.9559561944459176,0.024390243902438935
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,4,150,0.5,0.05,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.926829268292683,1.0,0.9317073170731708,0.9295029435874507,0.9319747222560523,0.004878048780487809
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8926829268292683,1.0,0.8878048780487805,0.8848647440196736,0.8895910073080368,-0.004878048780487809
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8536585365853658,1.0,0.8634146341463415,0.8613905656159178,0.8655990759468283,0.009756097560975618
