[143/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN+C-DANN-UDA', 2)
[144/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN+C-DANN-UDA', 3)
[145/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'CDAN+C-DANN-UDA', 4)
[146/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN+C-DANN-SEMI', 0)
[147/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN+C-DANN-SEMI', 1)
[148/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN+C-DANN-SEMI', 2)
[149/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN+C-DANN-SEMI', 3)
[150/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN+C-DANN-SEMI', 4)
[151/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN+C-DANN-UDA', 0)
[152/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN+C-DANN-UDA', 1)
[153/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN+C-DANN-UDA', 2)
[154/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN+C-DANN-UDA', 3)
[155/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'CDAN+C-DANN-UDA', 4)
[156/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN+C-DANN-SEMI', 0)
[157/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN+C-DANN-SEMI', 1)
[158/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN+C-DANN-SEMI', 2)
[159/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN+C-DANN-SEMI', 3)
[160/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN+C-DANN-SEMI', 4)
[161/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN+C-DANN-UDA', 0)
[162/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN+C-DANN-UDA', 1)
[163/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN+C-DANN-UDA', 2)
[164/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN+C-DANN-UDA', 3)
[165/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'CDAN+C-DANN-UDA', 4)
[166/330] train ('two-layer', 'S1_train_I_test_all', 'DANN-UDA', 0)
[167/330] train ('two-layer', 'S1_train_I_test_all', 'DANN-UDA', 1)
[168/330] train ('two-layer', 'S1_train_I_test_all', 'DANN-UDA', 2)
[169/330] train ('two-layer', 'S1_train_I_test_all', 'DANN-UDA', 3)
[170/330] train ('two-layer', 'S1_train_I_test_all', 'DANN-UDA', 4)
[171/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'DANN-UDA', 0)
[172/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'DANN-UDA', 1)
[173/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'DANN-UDA', 2)
[174/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'DANN-UDA', 3)
[175/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'DANN-UDA', 4)
[176/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'DANN-UDA', 0)
[177/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'DANN-UDA', 1)
[178/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'DANN-UDA', 2)
[179/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'DANN-UDA', 3)
[180/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'DANN-UDA', 4)
[181/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DANN-SEMI', 0)
[182/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DANN-SEMI', 1)
[183/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DANN-SEMI', 2)
[184/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DANN-SEMI', 3)
[185/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DANN-SEMI', 4)
[186/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DANN-UDA', 0)
[187/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DANN-UDA', 1)
[188/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DANN-UDA', 2)
[189/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DANN-UDA', 3)
[190/330] train ('two-layer', 'S4_train_I_val_D1_2', 'DANN-UDA', 4)
[191/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DANN-SEMI', 0)
[192/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DANN-SEMI', 1)
[193/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DANN-SEMI', 2)
[194/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DANN-SEMI', 3)
[195/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DANN-SEMI', 4)
[196/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DANN-UDA', 0)
[197/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DANN-UDA', 1)
[198/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DANN-UDA', 2)
[199/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DANN-UDA', 3)
[200/330] train ('two-layer', 'S5_train_I_D1_val_D2_3', 'DANN-UDA', 4)
[201/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DANN-SEMI', 0)
[202/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DANN-SEMI', 1)
[203/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DANN-SEMI', 2)
[204/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DANN-SEMI', 3)
[205/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DANN-SEMI', 4)
[206/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DANN-UDA', 0)
[207/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DANN-UDA', 1)
[208/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DANN-UDA', 2)
[209/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DANN-UDA', 3)
[210/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DANN-UDA', 4)
[211/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DANN-SEMI', 0)
[212/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DANN-SEMI', 1)
[213/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DANN-SEMI', 2)
[214/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DANN-SEMI', 3)
[215/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DANN-SEMI', 4)
[216/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DANN-UDA', 0)
[217/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DANN-UDA', 1)
[218/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DANN-UDA', 2)
[219/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DANN-UDA', 3)
[220/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DANN-UDA', 4)
[221/330] train ('two-layer', 'S1_train_I_test_all', 'DEEP-CORAL-UDA', 0)
[222/330] train ('two-layer', 'S1_train_I_test_all', 'DEEP-CORAL-UDA', 1)
[223/330] train ('two-layer', 'S1_train_I_test_all', 'DEEP-CORAL-UDA', 2)
[224/330] train ('two-layer', 'S1_train_I_test_all', 'DEEP-CORAL-UDA', 3)
[225/330] train ('two-layer', 'S1_train_I_test_all', 'DEEP-CORAL-UDA', 4)
[226/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'DEEP-CORAL-UDA', 0)
[227/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'DEEP-CORAL-UDA', 1)
[228/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'DEEP-CORAL-UDA', 2)
[229/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'DEEP-CORAL-UDA', 3)
[230/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'DEEP-CORAL-UDA', 4)
[231/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'DEEP-CORAL-UDA', 0)
[232/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'DEEP-CORAL-UDA', 1)
[233/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'DEEP-CORAL-UDA', 2)
[234/330] train ('two-layer', 'S3_train_I_internal_20_10_test_all', 'DEEP-CORAL-UDA', 3)
