architecture,split,variant,probe_variant,method,mode,final_training,label_usage,logistic_params,seed_values,neural_test_accuracy,neural_test_accuracy_std,neural_test_accuracy_min,neural_test_accuracy_max,lr_train_accuracy,lr_train_accuracy_std,lr_train_accuracy_min,lr_train_accuracy_max,lr_test_accuracy,lr_test_accuracy_std,lr_test_accuracy_min,lr_test_accuracy_max,lr_test_balanced_accuracy,lr_test_balanced_accuracy_std,lr_test_balanced_accuracy_min,lr_test_balanced_accuracy_max,lr_test_macro_f1,lr_test_macro_f1_std,lr_test_macro_f1_min,lr_test_macro_f1_max,lr_minus_neural_accuracy,lr_minus_neural_accuracy_std,lr_minus_neural_accuracy_min,lr_minus_neural_accuracy_max
one-layer,S7_train_I_D1_3_val_D4_5,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9278048780487806,0.019328402688935577,0.8975609756097561,0.951219512195122,0.9918367346938777,0.013304494704495216,0.9693877551020408,1.0,0.9336585365853658,0.012720394936980734,0.9170731707317074,0.9463414634146341,0.9319770474700053,0.013052319797162829,0.9154184365451972,0.9453759594604665,0.9337794866293756,0.012625273806963141,0.9177228953957163,0.9465409203114121,0.005853658536585327,0.01738393139629799,-0.019512195121951237,0.019512195121951237
one-layer,S7_train_I_D1_3_val_D4_5,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7902439024390244,0.017923095678901282,0.7707317073170732,0.8146341463414634,1.0,0.0,1.0,1.0,0.8117073170731708,0.017107978455365998,0.7951219512195122,0.8390243902439024,0.8110291377897012,0.016465425273943814,0.7950666964751472,0.8373202176019077,0.8132692828552935,0.01701478841253423,0.793719806763285,0.840017589864435,0.02146341463414634,0.006544589202438402,0.009756097560975618,0.024390243902439046
one-layer,S1_train_I_test_all,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8783882783882785,0.02336870023111592,0.8534798534798534,0.9010989010989012,1.0,0.0,1.0,1.0,0.8871794871794872,0.018749426948087497,0.8644688644688645,0.9084249084249084,0.8821244855967079,0.019534968750024178,0.8573816872427984,0.9048353909465021,0.8869415201163502,0.019301211923778174,0.861256961346621,0.9084098452519506,0.008791208791208783,0.00612937748376616,0.00366300366300365,0.01831501831501836
one-layer,S2_train_I_internal_val_test_all,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8637362637362639,0.016050477875609256,0.8351648351648352,0.8717948717948718,1.0,0.0,1.0,1.0,0.8791208791208792,0.01554080837772631,0.8534798534798534,0.8901098901098901,0.8752572016460907,0.014596051784088316,0.8514660493827161,0.8861882716049383,0.880728911741883,0.014517203940593928,0.856524015656186,0.8914959031650955,0.01538461538461533,0.007045928227718416,0.00366300366300365,0.0219780219780219
one-layer,S3_train_I_internal_20_10_test_all,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7736263736263738,0.11153831116875171,0.684981684981685,0.9010989010989012,0.9666666666666668,0.033333333333333326,0.9333333333333333,1.0,0.8227106227106227,0.0702017303936375,0.7692307692307693,0.9084249084249084,0.8233281893004115,0.06512018581816542,0.7703189300411522,0.902906378600823,0.8273806230657843,0.06600623159004208,0.7740771907438574,0.9077723792283208,0.04908424908424909,0.0429212757052954,-0.010989010989011172,0.08424908424908428
one-layer,S4_train_I_val_D1_2,CDAN+C-DANN-SEMI,Frozen CDAN+C-DANN-SEMI features + Logistic Regression,cdan+c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8832653061224489,0.011759069625214634,0.8693877551020408,0.8979591836734694,1.0,0.0,1.0,1.0,0.8922448979591838,0.015434832980562484,0.8734693877551021,0.9061224489795918,0.8933949240734842,0.014604505994621904,0.8750132738664118,0.9067112668578104,0.8937232141349358,0.015715691696675714,0.8742784992784992,0.9079205731152741,0.008979591836734713,0.007301446457142178,0.0,0.016326530612244983
one-layer,S4_train_I_val_D1_2,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8775510204081634,0.023089201018336263,0.8489795918367347,0.8979591836734694,1.0,0.0,1.0,1.0,0.8873469387755103,0.01746061194792445,0.8693877551020408,0.9061224489795918,0.8828076882234258,0.017722372472463385,0.8635446532866093,0.9025698205373262,0.8879163524800852,0.01749454672542558,0.8676486839378139,0.9067645800297012,0.009795918367346968,0.006829877767625099,0.004081632653061273,0.020408163265306145
one-layer,S5_train_I_D1_val_D2_3,CDAN+C-DANN-SEMI,Frozen CDAN+C-DANN-SEMI features + Logistic Regression,cdan+c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9030303030303031,0.009966116392399464,0.8874458874458875,0.9134199134199136,1.0,0.0,1.0,1.0,0.9151515151515153,0.005807968772726728,0.9047619047619048,0.9177489177489178,0.9153336911791017,0.0060891639940903455,0.9044551798174986,0.9182322419037394,0.9176980878886283,0.006249080205876875,0.9065600834777423,0.9209758101025375,0.012121212121212066,0.005644331086755588,0.004329004329004182,0.017316017316017285
one-layer,S5_train_I_D1_val_D2_3,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8761904761904763,0.022200660441485845,0.8484848484848485,0.8961038961038961,1.0,0.0,1.0,1.0,0.8848484848484848,0.018518830853859268,0.8658008658008658,0.9047619047619048,0.8806584362139919,0.018787328846911176,0.8602612274109859,0.9015924136697083,0.8857018823099555,0.0185421468256164,0.8643060643060642,0.9056571018374319,0.008658008658008698,0.005301925850179996,0.0043290043290044045,0.017316017316017285
one-layer,S6_train_I_D1_2_val_D3_5,CDAN+C-DANN-SEMI,Frozen CDAN+C-DANN-SEMI features + Logistic Regression,cdan+c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9502439024390243,0.0180553712422651,0.9365853658536586,0.9804878048780488,1.0,0.0,1.0,1.0,0.9580487804878048,0.011747897150041275,0.9463414634146341,0.9707317073170731,0.9573589686265743,0.012337299405724528,0.9447797898502124,0.9706386466949848,0.9587031282082126,0.011819925945380625,0.9466506417884398,0.9714483066516726,0.0078048780487804505,0.0131797620352257,-0.009756097560975618,0.024390243902439157
one-layer,S6_train_I_D1_2_val_D3_5,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8760975609756099,0.023797679839318037,0.848780487804878,0.902439024390244,1.0,0.0,1.0,1.0,0.8819512195121952,0.018702721475786176,0.8585365853658536,0.9024390243902439,0.8785155376704672,0.018895893573807325,0.8543110514941502,0.8995454206721812,0.8829311331874585,0.01904598506132988,0.8575141238398634,0.9037153054150512,0.0058536585365853485,0.009383114176425086,-0.00487804878048792,0.019512195121951237
one-layer,S7_train_I_D1_3_val_D4_5,CDAN+C-DANN-SEMI,Frozen CDAN+C-DANN-SEMI features + Logistic Regression,cdan+c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9268292682926831,0.014634146341463428,0.9121951219512195,0.951219512195122,0.9959183673469388,0.0055890056888282325,0.9897959183673469,1.0,0.937560975609756,0.021094388595550843,0.9219512195121952,0.9707317073170731,0.9360906177807587,0.021806118314690016,0.9201132722259483,0.9706386466949848,0.9377104839281118,0.021360171102680528,0.9217518433765575,0.9714012162531827,0.010731707317073135,0.011123662683893983,0.0,0.024390243902438935
one-layer,S7_train_I_D1_3_val_D4_5,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8760975609756099,0.023797679839318037,0.848780487804878,0.902439024390244,1.0,0.0,1.0,1.0,0.8819512195121952,0.018702721475786176,0.8585365853658536,0.9024390243902439,0.8785155376704672,0.018895893573807325,0.8543110514941502,0.8995454206721812,0.8829311331874585,0.01904598506132988,0.8575141238398634,0.9037153054150512,0.0058536585365853485,0.009383114176425086,-0.00487804878048792,0.019512195121951237
