architecture,split,variant,probe_variant,method,mode,final_training,label_usage,logistic_params,seed_values,neural_test_accuracy,neural_test_accuracy_std,neural_test_accuracy_min,neural_test_accuracy_max,lr_train_accuracy,lr_train_accuracy_std,lr_train_accuracy_min,lr_train_accuracy_max,lr_test_accuracy,lr_test_accuracy_std,lr_test_accuracy_min,lr_test_accuracy_max,lr_test_balanced_accuracy,lr_test_balanced_accuracy_std,lr_test_balanced_accuracy_min,lr_test_balanced_accuracy_max,lr_test_macro_f1,lr_test_macro_f1_std,lr_test_macro_f1_min,lr_test_macro_f1_max,lr_minus_neural_accuracy,lr_minus_neural_accuracy_std,lr_minus_neural_accuracy_min,lr_minus_neural_accuracy_max
two-layer,S7_train_I_D1_3_val_D4_5,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9209756097560977,0.01519259658770483,0.8975609756097561,0.9365853658536586,0.9959183673469388,0.005589005688828232,0.9897959183673469,1.0,0.928780487804878,0.024046356183153605,0.8975609756097561,0.9609756097560975,0.9270437439451523,0.02410982572000301,0.8960429242119382,0.95946046650272,0.9289065531841034,0.024071828276364234,0.8983974358974359,0.9612538729347101,0.0078048780487804505,0.017789836613473584,-0.009756097560975618,0.029268292682926744
two-layer,S7_train_I_D1_3_val_D4_5,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7521951219512195,0.06638449106811314,0.6829268292682927,0.8195121951219512,1.0,0.0,1.0,1.0,0.7639024390243903,0.0653185121610556,0.6829268292682927,0.8341463414634146,0.7653774498844922,0.06278203562394699,0.6876816454281243,0.8338177211416647,0.76845067982782,0.06307379857908413,0.6877623285892019,0.8385725448077088,0.01170731707317072,0.013623648823189198,-0.004878048780487809,0.024390243902439046
two-layer,S1_train_I_test_all,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8893772893772894,0.011981997973477081,0.8754578754578755,0.9010989010989012,1.0,0.0,1.0,1.0,0.8908424908424909,0.008745301381914544,0.8791208791208791,0.9010989010989011,0.8866255144032922,0.00907734172545712,0.8738425925925926,0.8966049382716049,0.891056882378035,0.008657586485118924,0.8794040570484875,0.9010909956823893,0.0014652014652014155,0.00612937748376613,-0.003663003663003761,0.01098901098901095
two-layer,S2_train_I_internal_val_test_all,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8901098901098902,0.015323443709415307,0.8754578754578755,0.9084249084249084,1.0,0.0,1.0,1.0,0.8886446886446887,0.014788739368634696,0.8754578754578755,0.9047619047619048,0.8835133744855966,0.014660042589258064,0.8703703703703703,0.8994341563786009,0.8883896066573728,0.013644183286544688,0.8777755484216159,0.9034540613487981,-0.00146520146520146,0.002006309734451151,-0.00366300366300365,0.0
two-layer,S3_train_I_internal_20_10_test_all,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7487179487179488,0.12954817200810267,0.5604395604395604,0.8974358974358975,0.9533333333333334,0.05577733510227169,0.8666666666666667,1.0,0.7904761904761906,0.0787929031889102,0.7106227106227107,0.8974358974358975,0.7931584362139918,0.07294164542290385,0.7211934156378601,0.8931327160493828,0.7979060731924569,0.07393912935784017,0.7220529321248556,0.8982870194137801,0.04175824175824176,0.06197949408967078,0.0,0.1501831501831502
two-layer,S4_train_I_val_D1_2,CDAN+C-DANN-SEMI,Frozen CDAN+C-DANN-SEMI features + Logistic Regression,cdan+c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9020408163265307,0.03785150406324777,0.8693877551020408,0.9428571428571428,1.0,0.0,1.0,1.0,0.9118367346938776,0.03725258517258653,0.8734693877551021,0.9510204081632653,0.9113093341828609,0.0363369051537392,0.8736327917595837,0.9500371668259531,0.9136591604600073,0.036221694764526,0.876932681555988,0.9518506715271197,0.009795918367346968,0.004653777245302626,0.004081632653061273,0.016326530612244983
two-layer,S4_train_I_val_D1_2,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8873469387755101,0.011027964151923485,0.8734693877551021,0.8979591836734694,1.0,0.0,1.0,1.0,0.8914285714285715,0.006190102403307415,0.8857142857142857,0.9020408163265307,0.8875119464797706,0.006262181951060406,0.8811192524158438,0.898003610491664,0.8921583171445381,0.006286965911173197,0.8867012089810018,0.9029885449101985,0.004081632653061251,0.008163265306122408,-0.004081632653061162,0.01224489795918371
two-layer,S5_train_I_D1_val_D2_3,CDAN+C-DANN-SEMI,Frozen CDAN+C-DANN-SEMI features + Logistic Regression,cdan+c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9177489177489179,0.0149961108880422,0.8917748917748918,0.9264069264069263,1.0,0.0,1.0,1.0,0.9246753246753248,0.015787517340961437,0.9004329004329005,0.9393939393939394,0.923671497584541,0.015605624833271159,0.8996242619431025,0.9388083735909823,0.9260147062210095,0.015498007346454267,0.9021813007094006,0.941293909597873,0.00692640692640698,0.015787517340961444,-0.017316017316017285,0.025974025974025983
two-layer,S5_train_I_D1_val_D2_3,CDAN+C-DANN-UDA,Frozen CDAN+C-DANN-UDA features + Logistic Regression,cdan+c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8848484848484848,0.011696325615676444,0.8701298701298701,0.8961038961038961,1.0,0.0,1.0,1.0,0.8891774891774892,0.006565260124719976,0.8831168831168831,0.9004329004329005,0.8856324923957773,0.006638738262650024,0.8788692073716228,0.8967614957953122,0.8901929184703139,0.006663666840073703,0.8844239631336405,0.9016812036870983,0.00432900432900436,0.008658008658008642,-0.0043290043290042934,0.012987012987012991
two-layer,S6_train_I_D1_2_val_D3_5,CDAN+C-DANN-SEMI,Frozen CDAN+C-DANN-SEMI features + Logistic Regression,cdan+c-dann,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9326829268292685,0.006360197468490395,0.9219512195121952,0.9365853658536586,1.0,0.0,1.0,1.0,0.9239024390243904,0.00816253684423489,0.9121951219512195,0.9317073170731708,0.9206796333556898,0.008275142363043499,0.9095312616439378,0.9289067739771966,0.9236137738065879,0.007951336672872594,0.9129597072646906,0.9316289730604121,-0.008780487804878057,0.004081268422117446,-0.014634146341463428,-0.004878048780487809
