architecture,split,variant,probe_variant,method,mode,seed,best_epoch,alignment_strength,centroid_strength,adversarial_strength,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
two-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,2,280,0.05,0.2,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8831168831168831,1.0,0.9004329004329005,0.8996242619431025,0.9021813007094006,0.017316017316017396
two-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,3,230,0.05,0.2,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8961038961038961,1.0,0.9004329004329005,0.9003399534800501,0.9042579057595951,0.0043290043290044045
two-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,4,20,0.05,0.2,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8917748917748918,0.9861111111111112,0.9090909090909091,0.9085704061549471,0.9106598535946864,0.017316017316017285
two-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8744588744588745,1.0,0.8701298701298701,0.8679549114331723,0.8727455926208944,-0.0043290043290044045
two-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8917748917748918,1.0,0.8831168831168831,0.8810162819824656,0.8852800337818292,-0.008658008658008698
two-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9047619047619048,1.0,0.9047619047619048,0.9015924136697083,0.9051125076548522,0.0
two-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8831168831168831,1.0,0.8961038961038961,0.891930577920916,0.8952974044997447,0.012987012987012991
two-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8961038961038961,1.0,0.9004329004329005,0.8974771873322598,0.9020352332852332,0.0043290043290044045
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,0,130,0.5,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.946341463414634,1.0,0.9365853658536586,0.9336016096579477,0.9353001679244427,-0.009756097560975396
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,1,140,0.5,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.951219512195122,1.0,0.9512195121951219,0.9488784559207094,0.9504761904761905,-1.1102230246251565e-16
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,2,230,0.5,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.946341463414634,1.0,0.9512195121951219,0.9494746255309635,0.9508779044562411,0.00487804878048792
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,3,380,0.5,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9414634146341464,1.0,0.9463414634146341,0.9447797898502124,0.9465359725923106,0.004878048780487698
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,4,100,0.5,0.5,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9414634146341464,1.0,0.9512195121951219,0.9488784559207094,0.9501797572220108,0.009756097560975507
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8780487804878049,1.0,0.8682926829268293,0.8660854012966688,0.8705168369642053,-0.009756097560975618
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8926829268292683,1.0,0.8829268292682927,0.8807660779491765,0.8845481759955444,-0.009756097560975618
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.902439024390244,1.0,0.9024390243902439,0.8995454206721812,0.9025210084033614,-1.1102230246251565e-16
two-layer,S6_train_I_D1_2_val_D3_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8878048780487805,1.0,0.8975609756097561,0.8936582457709218,0.8962139828899996,0.009756097560975618
