architecture,split,variant,probe_variant,mode,seed,best_epoch,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S5_train_I_D1_val_D2_3,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,4,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7965367965367965,1.0,0.8181818181818182,0.8185721953837896,0.8207420052869875,0.02164502164502169
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,0,270,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.946341463414634,1.0,0.9512195121951219,0.9500707951412176,0.9515735575865204,0.00487804878048792
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,1,350,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.951219512195122,1.0,0.9512195121951219,0.9500707951412176,0.9515735575865204,-1.1102230246251565e-16
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,2,30,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9121951219512195,1.0,0.9317073170731708,0.9300991131977048,0.9316003793662616,0.019512195121951237
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,3,40,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9317073170731708,1.0,0.9560975609756097,0.9541694612117148,0.9562715390601427,0.024390243902438935
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,4,180,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.951219512195122,1.0,0.9560975609756097,0.9547656308219689,0.9561669438504792,0.004878048780487698
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,0,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7853658536585366,1.0,0.7951219512195122,0.7956628660854013,0.796340023612751,0.009756097560975618
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,1,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7951219512195122,1.0,0.8146341463414634,0.8138460391981518,0.8161161835963407,0.019512195121951126
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,2,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8097560975609757,1.0,0.8292682926829268,0.8285267158506594,0.8305265195509097,0.019512195121951126
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,3,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7951219512195122,1.0,0.8048780487804879,0.8044563678366495,0.8091833971282516,0.009756097560975618
one-layer,S6_train_I_D1_2_val_D3_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,4,400,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8048780487804879,1.0,0.824390243902439,0.8238318801699083,0.8259885758437043,0.019512195121951126
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,0,30,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8975609756097561,1.0,0.9024390243902439,0.9001415902824353,0.9022369061584747,0.004878048780487809
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,1,30,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9365853658536586,1.0,0.9463414634146341,0.9447797898502124,0.9466209787604681,0.009756097560975507
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,2,30,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9073170731707316,1.0,0.926829268292683,0.9254042775169536,0.9269930118775855,0.019512195121951348
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,3,40,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9365853658536586,1.0,0.9560975609756097,0.9541694612117148,0.9562715390601427,0.019512195121951126
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,4,30,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.902439024390244,0.9897959183673469,0.9170731707317074,0.9160146061554512,0.9183617217140516,0.014634146341463317
