sample_id,label,duration_s,collection_date,distance_cm,wind_level,s1_baseline,s1_exp_mean,s1_exp_absmax,s1_exp_span,s1_exp_tail,s1_exp_auc_abs,s1_rec_mean,s1_rec_tail,s1_rec_slope,s1_overall_std,s2_baseline,s2_exp_mean,s2_exp_absmax,s2_exp_span,s2_exp_tail,s2_exp_auc_abs,s2_rec_mean,s2_rec_tail,s2_rec_slope,s2_overall_std,s3_baseline,s3_exp_mean,s3_exp_absmax,s3_exp_span,s3_exp_tail,s3_exp_auc_abs,s3_rec_mean,s3_rec_tail,s3_rec_slope,s3_overall_std,s4_baseline,s4_exp_mean,s4_exp_absmax,s4_exp_span,s4_exp_tail,s4_exp_auc_abs,s4_rec_mean,s4_rec_tail,s4_rec_slope,s4_overall_std,s5_baseline,s5_exp_mean,s5_exp_absmax,s5_exp_span,s5_exp_tail,s5_exp_auc_abs,s5_rec_mean,s5_rec_tail,s5_rec_slope,s5_overall_std,s6_baseline,s6_exp_mean,s6_exp_absmax,s6_exp_span,s6_exp_tail,s6_exp_auc_abs,s6_rec_mean,s6_rec_tail,s6_rec_slope,s6_overall_std
air_19,air,130,2026-05-27,0.0,2,47.0,0.005907497238365112,0.02127659574468085,0.0425531914893617,0.014567759248610309,0.006099610969694059,0.012332294348827752,0.01382978723404255,0.00027364401027714364,0.009522792433479931,234.0,-0.0001350543111265459,0.008547008547008548,0.012820512820512822,0.002348502348502348,0.0014277170033377708,0.0016604061190048452,0.0019230769230769232,8.911197151724581e-05,0.0025589055342678945,219.0,-0.0034323881381613528,0.0091324200913242,0.0136986301369863,-0.0009461516310831379,0.003535462857025057,-0.0019777215484396357,-0.0012557077625570776,0.00011594618232606632,0.002506941647417795,262.0,0.00579842503403236,0.015267175572519083,0.019083969465648856,0.01010934598720858,0.006143056536798028,0.008994991977439588,0.009255725190839694,0.00011116182822021247,0.004554277004351173,47.0,-0.001680995149128284,0.0425531914893617,0.06382978723404255,0.004983707111366685,0.0045627011190624844,0.0035235126710936437,0.0015957446808510637,7.003714551003641e-05,0.009409150698562307,14.0,0.01257658819735569,0.07142857142857142,0.07142857142857142,0.011583011583011582,0.01257658819735569,0.012738853503184714,0.005357142857142857,-0.0003583720855292665,0.028322148293366732
air_2,air,180,2026-05-15,0.0,1,34.0,-0.022702205882352944,0.029411764705882353,0.029411764705882353,-0.02665441176470588,0.022702205882352944,-0.024782135076252727,-0.029411764705882342,-0.0002769672154612591,0.013604590135171936,236.0,-0.004846398305084746,0.00847457627118644,0.00847457627118644,-0.00656779661016949,0.004846398305084746,-0.005963590709353422,-0.008474576271186437,-0.00011186171426420878,0.002421597294716508,197.0,-0.005607550761421319,0.01015228426395939,0.015228426395939085,-0.007106598984771574,0.005639276649746193,-0.0066036849031772885,-0.008554239518706522,-9.260969255400161e-05,0.0033163232017277364,227.0,-0.006965859030837004,0.01762114537444934,0.022026431718061675,-0.011040748898678416,0.007310022026431719,-0.009891499428944362,-0.014113232174906185,-0.0001957150127491054,0.005311734103117719,38.0,-0.001069078947368421,0.02631578947368421,0.05263157894736842,-0.004276315789473684,0.0014802631578947367,-0.0031676413255360618,-0.009259259259259257,-0.0002249381737401012,0.007340941002001991,15.0,0.014166666666666666,0.06666666666666667,0.06666666666666667,0.005416666666666667,0.014166666666666666,0.00617283950617284,0.0024691358024691358,-0.00014754713413158777,0.0283836462171329
air_20,air,125,2026-05-28,0.0,2,45.0,0.014308176100628931,0.022222222222222223,0.022222222222222223,0.021593291404612157,0.014308176100628931,0.020456217807211182,0.02105263157894737,9.416696391116266e-05,0.011521416815902272,225.0,0.007190775681341719,0.013333333333333334,0.013333333333333334,0.009475890985324947,0.007190775681341719,0.009065489330389991,0.010058479532163744,6.597465912826837e-05,0.0033935046711979122,211.0,-0.0015425198962711261,0.004739336492890996,0.004739336492890996,-8.942144326209426e-05,0.0015425198962711261,-0.0009102036973101913,0.0,9.858477404380354e-05,0.0022543540969020724,251.0,0.007037886191084717,0.0199203187250996,0.02390438247011952,0.011952191235059759,0.007075471698113207,0.010237196907733306,0.014363598238624448,0.00028106927589600776,0.004902847395666086,46.0,0.008305988515176374,0.021739130434782608,0.021739130434782608,0.01579163248564397,0.008305988515176374,0.012957097610135334,0.020022883295194506,0.0004441278377761106,0.010190510865639973,14.0,-0.005390835579514824,0.07142857142857142,0.07142857142857142,-0.008086253369272236,0.005390835579514824,-0.008041627246925259,-0.011278195488721802,-0.0001306899162096485,0.018174435394235907
air_21,air,125,2026-05-28,0.0,2,23.0,-0.013567684242984893,0.043478260869565216,0.08695652173913043,-0.03158326497128794,0.016651248843663275,-0.0316729052692197,-0.03318077803203661,-0.00012917995671451741,0.024203295339020516,180.0,-0.013291305489887049,0.022222222222222223,0.02777777777777778,-0.01892033542976939,0.013816653532965588,-0.01909492273730684,-0.018567251461988316,1.9258914435082794e-05,0.008275927521052186,169.0,-0.010841131954061582,0.01775147928994083,0.023668639053254437,-0.016188455956235352,0.01114888021598333,-0.015792154865002555,-0.016038617253192146,-5.61631420203819e-05,0.007054215538496166,210.0,-0.007024653833164472,0.023809523809523808,0.03809523809523809,-0.017475292003593886,0.009771473601260834,-0.01617786187322611,-0.017919799498746863,-0.00019612010029484877,0.00945076030982288,29.0,-0.04181951577402789,0.06896551724137931,0.06896551724137931,-0.0575797007156799,0.04181951577402789,-0.056862297328157105,-0.054446460980036304,-4.743389807165196e-05,0.02298719438224406,12.0,-0.002758077226162332,0.08333333333333333,0.08333333333333333,-0.007861635220125786,0.002758077226162332,-0.006622516556291391,-0.0043859649122807015,-0.00017194708654679505,0.013721101141946761
air_22,air,180,2026-05-29,0.0,3,50.0,-0.0008310249307479226,0.04,0.06,-0.005274725274725276,0.005484764542936288,-0.0015151515151515147,-0.01878787878787879,-0.0010569204648493468,0.009746264382905259,233.0,-0.0006538822774125284,0.008583690987124463,0.017167381974248927,-0.001839362354383814,0.002389642504725786,-0.0007153075822603725,-0.007543243594745741,-0.0003992544644531792,0.0034651286177333133,205.0,0.0009999324369975003,0.00975609756097561,0.014634146341463414,0.0019297775395336369,0.0011891088439970271,0.0022172949002217295,-0.0007390983000739098,-0.00017088580571573563,0.0023435244238409403,258.0,-0.0022761923167772553,0.011627906976744186,0.01937984496124031,-0.0028963284777238276,0.004015546822993837,-0.0009983556495184408,-0.008809020436927413,-0.0004982630696119094,0.004251308465602978,50.0,0.001440443213296399,0.04,0.06,-0.003956043956043957,0.007423822714681441,0.00196969696969697,-0.019393939393939397,-0.0014249439385878322,0.011742414467249107,13.0,-0.00042616663115278077,0.07692307692307693,0.07692307692307693,0.0,0.00042616663115278077,0.0,0.0,0.0,0.005174352652779281
air_23,air,180,2026-05-29,0.0,3.0,29.0,0.002769481401031768,0.034482758620689655,0.034482758620689655,0.008891780524831928,0.002769481401031768,0.00725104737350951,0.017879948914431672,0.0003858935144866467,0.009039459324312583,194.0,-0.00032470168033119583,0.005154639175257732,0.010309278350515464,0.00230175711599559,0.0016884487377222177,0.0019028808170343959,0.00515463917525773,0.00011042450670152461,0.0028402192567053798,179.0,-0.0036070910130647075,0.01675977653631285,0.01675977653631285,-0.0005973085977302274,0.0036070910130647075,-0.0007309559860074141,0.0,3.2562003553868447e-05,0.002890070730680174,219.0,0.009837126523568114,0.0228310502283105,0.0228310502283105,0.015393009965250854,0.009837126523568114,0.015149575385140614,0.015389819042787077,2.4584785407402262e-05,0.006142345901836358,32.0,0.03243110236220473,0.0625,0.0625,0.04893867924528302,0.03243110236220473,0.04658294392523365,0.052083333333333336,0.0003199615036947482,0.018431525618255565,12.0,0.0024934383202099737,0.08333333333333333,0.08333333333333333,0.006813417190775681,0.0024934383202099737,0.005451713395638629,0.012345679012345678,0.00018325379721016865,0.013411882653777647
air_24,air,180,2026-05-30,0.0,2,61.0,-0.004815573770491804,0.01639344262295082,0.03278688524590164,-0.007581967213114754,0.007377049180327869,-0.008424408014571947,-0.009107468123861569,5.7818943843867166e-05,0.009508424153351649,249.0,-0.004756526104417671,0.008032128514056224,0.012048192771084336,-0.0054969879518072294,0.005045180722891567,-0.005763795924438494,-0.006172839506172839,1.0531460416719234e-05,0.003008697738177947,227.0,-0.0015143171806167401,0.00881057268722467,0.013215859030837006,-0.004047356828193833,0.0031387665198237885,-0.0038342307064774023,-0.004405286343612335,-3.333120941087586e-05,0.0034659986119458673,288.0,-0.004378255208333333,0.013888888888888888,0.017361111111111112,-0.0064453125,0.0048990885416666675,-0.006799768518518519,-0.005851337448559669,5.4215516581771414e-05,0.004479476973167029,64.0,-0.007421875,0.03125,0.046875,-0.01416015625,0.009765625,-0.014467592592592593,-0.015046296296296295,-1.0721277062390916e-05,0.010540193094935568,15.0,0.00020833333333333337,0.06666666666666667,0.13333333333333333,-0.00041666666666666664,0.00041666666666666664,-0.00030864197530864197,0.0,6.109058275994151e-06,0.005552454305639265
air_25,air,180,2026-05-30,0.0,2,62.0,0.0016129032258064516,0.016129032258064516,0.03225806451612903,0.0043346774193548385,0.0019657258064516127,0.0047043010752688165,0.0002986857825567503,-0.000129364416678733,0.005254304504832259,250.0,-0.0005937499999999999,0.004,0.008,0.00047500000000000005,0.0008312500000000001,0.00035185185185185184,0.0,-6.326030771625741e-06,0.001694802626191072,228.0,-0.004283168859649122,0.008771929824561403,0.008771929824561403,-0.0043859649122807015,0.004283168859649122,-0.0043859649122807015,-0.004385964912280703,0.0,0.001738536432060642,289.0,-0.0027789792387543253,0.006920415224913495,0.010380622837370242,-0.0020328719723183395,0.0029952422145328723,-0.0024830193515314623,-0.0017301038062283738,4.8292752114275324e-05,0.0025185665234359386,65.0,-0.01807692307692308,0.03076923076923077,0.03076923076923077,-0.01730769230769231,0.01807692307692308,-0.018233618233618236,-0.01652421652421652,0.0001232125829466643,0.008642207132390342,15.0,0.0035416666666666665,0.06666666666666667,0.06666666666666667,0.00041666666666666664,0.0035416666666666665,0.0006172839506172839,0.0,-3.289958020758394e-05,0.01911724927370184
air_26,air,180,2026-05-30,0.0,2,62.0,-0.006829637096774192,0.016129032258064516,0.016129032258064516,-0.011391129032258062,0.006829637096774192,-0.010005973715651132,-0.014934289127837515,-0.000256123495483175,0.007916765829713526,249.0,3.1375502008032085e-05,0.004016064257028112,0.008032128514056224,-0.0007530120481927711,0.00040788152610441765,-0.0005577867023650157,-0.0013386880856760372,-3.940763971270198e-05,0.0012518530494787911,227.0,-0.0004749449339207049,0.004405286343612335,0.00881057268722467,0.0003303964757709252,0.0006676762114537447,0.00018355359765051397,0.0011421112742698648,2.375633287790188e-05,0.0015618588735644048,288.0,-0.0008246527777777778,0.006944444444444444,0.010416666666666666,-0.0009331597222222226,0.0023003472222222223,-0.001639660493827161,0.0007073045267489712,9.552396437076209e-05,0.0030129492517918773,64.0,-0.0081298828125,0.03125,0.046875,-0.00732421875,0.0085205078125,-0.009548611111111112,0.0023148148148148147,0.00043308903422319513,0.008270797487451693,15.0,0.00010416666666666666,0.06666666666666667,0.06666666666666667,0.0,0.00010416666666666666,0.0,0.0,0.0,0.003511190770284931
air_27,air,180,2026-05-30,0.0,1,60.0,-0.0002604166666666667,0.016666666666666666,0.03333333333333333,0.00010416666666666666,0.0005729166666666667,0.0,0.0,8.772421510367182e-06,0.0034041184205781546,247.0,-0.000980516194331984,0.004048582995951417,0.004048582995951417,-0.00045546558704453435,0.000980516194331984,-0.0005060728744939271,-7.497375918428551e-05,2.3145416046319462e-05,0.0017409080914168446,226.0,-0.001209900442477876,0.004424778761061947,0.008849557522123894,-0.0011338495575221239,0.001251382743362832,-0.0017822025565388396,-0.0014749262536873156,4.950062327425372e-05,0.002060392591041433,285.0,0.006052631578947368,0.010526315789473684,0.010526315789473684,0.006096491228070175,0.006052631578947368,0.005799220272904483,0.0033138401559454195,-5.020203769232798e-05,0.0035925618786595975,62.0,0.017540322580645158,0.03225806451612903,0.03225806451612903,0.021270161290322578,0.017540322580645158,0.01986260454002389,0.016129032258064516,-5.7001022274288335e-05,0.009380471258960398,15.0,-0.0010416666666666669,0.06666666666666667,0.06666666666666667,-0.00041666666666666664,0.0010416666666666669,-0.000925925925925926,-0.0012345679012345679,1.8014975104450067e-05,0.008540438712782162
