sample_id,label,collection_date,PC1,PC2,PC3
acetone_65,acetone,2026-06-04,-1.0430526186385665,-1.0364013414066537,-3.003610876324815
acetone_66,acetone,2026-06-04,-1.109324701771917,-0.016244737395691235,-2.001437089700644
acetone_67,acetone,2026-06-04,1.7582686748915914,1.2686000774368231,-2.0783303197170735
acetone_68,acetone,2026-06-04,3.9316472076474906,0.1913191572762254,-2.6493808491733284
acetone_69,acetone,2026-06-05,-0.6473023235562828,0.36779429746938114,-2.2906997421286417
acetone_7,acetone,2026-05-15,6.083505133213,-1.6083698508957274,-3.4455986145804336
acetone_70,acetone,2026-06-05,2.989914555503202,1.7464320442722814,-2.452647410479775
acetone_71,acetone,2026-06-05,10.0689433744511,3.0774661906764096,-1.985671330710156
acetone_72,acetone,2026-06-05,3.484341950177345,0.21121065340086326,-1.5000164827823872
acetone_73,acetone,2026-06-05,0.4657143287103676,1.0886607904652514,-2.0743995647374085
acetone_8,acetone,2026-05-15,3.4300709152330935,-0.08803047174718844,-3.4973434517928883
acetone_9,acetone,2026-05-15,7.437866350859029,5.598980543945512,-1.6444418341055198
