feature_set,split,method,representation,classifier_strategy,seed_count,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
54D,S1_train_I_test_all,source-only,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7333333333333333,0.6593406593406593,0.7692307692307693,0.047927991893908076,0.7382201646090535,0.6693672839506172,0.7722479423868314,0.04473290484358883,0.7205455183338604,0.6236173302414678,0.7718964130728837,0.06399897320198063
54D,S2_train_I_internal_val_test_all,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8556776556776559,0.8131868131868132,0.8864468864468864,0.03178592402918187,0.8545781893004115,0.811985596707819,0.8859310699588477,0.03158706913407318,0.8581208409961786,0.8186263318112633,0.8885929750415732,0.03202984910350398
54D,S2_train_I_internal_val_test_all,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7750915750915751,0.73992673992674,0.8315018315018315,0.03594599392043106,0.7776748971193416,0.7444701646090536,0.831275720164609,0.034727151570540904,0.7735978664478089,0.7249242958675861,0.835782590091347,0.041501337430463275
54D,S2_train_I_internal_val_test_all,cdan+c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8483516483516483,0.7948717948717948,0.8974358974358975,0.04829055970015238,0.8468621399176953,0.7946244855967078,0.8950617283950617,0.04635104430335032,0.8496065245377522,0.7960747934449238,0.8995216157862451,0.04902981108710856
54D,S2_train_I_internal_val_test_all,dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8205128205128205,0.6959706959706959,0.8681318681318682,0.07102827629914038,0.8194444444444443,0.7002314814814815,0.8659979423868313,0.06819015441420537,0.821649350016175,0.6883556868052992,0.8707155748159421,0.07572822088747126
54D,S2_train_I_internal_val_test_all,deep-coral,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8014652014652015,0.7106227106227107,0.8461538461538461,0.05240784166001292,0.8037037037037036,0.7179783950617283,0.8464506172839507,0.04948597435432508,0.8012657273838535,0.6984344845102329,0.848721539480965,0.05885912016382507
54D,S2_train_I_internal_val_test_all,mk-mmd,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8424908424908425,0.7912087912087912,0.8754578754578755,0.0327629007692277,0.8423353909465021,0.7930812757201647,0.873585390946502,0.031644688269969794,0.8458329373733859,0.7958994036199231,0.8750557980143805,0.03126844838406198
54D,S2_train_I_internal_val_test_all,source-only,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",0.9666666666666668,0.8666666666666667,1.0,0.05773502691896256,0.789010989010989,0.7472527472527473,0.8754578754578755,0.050861699509772255,0.7906121399176954,0.7514146090534979,0.8722993827160493,0.04786468387523393,0.7883950590525021,0.7359361135758652,0.874715821812596,0.0520417398129153
54D,S3_train_I_internal_20_10_test_all,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8454212454212454,0.7692307692307693,0.9084249084249084,0.04964687658777985,0.8440843621399177,0.7716049382716049,0.904835390946502,0.04751261788915577,0.8479497494085914,0.7703726535659309,0.9074899320668756,0.049236736138095136
54D,S3_train_I_internal_20_10_test_all,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8388278388278388,0.8021978021978022,0.8754578754578755,0.030316749738547324,0.8382201646090536,0.8002829218106995,0.8761574074074074,0.030887363776716366,0.842640584235237,0.8058930067735792,0.8780107794098466,0.02972485396723402
54D,S3_train_I_internal_20_10_test_all,cdan+c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.832967032967033,0.7948717948717948,0.8754578754578755,0.03261924814782885,0.831764403292181,0.7978395061728395,0.8722993827160495,0.030140011134607476,0.8360033984062737,0.7991656530161734,0.8771126656215542,0.03197706246386998
54D,S3_train_I_internal_20_10_test_all,dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7919413919413919,0.7728937728937729,0.8058608058608059,0.01428101735503145,0.7912037037037037,0.7725051440329218,0.8076131687242798,0.013434508888745384,0.7936857202445944,0.7692299725545025,0.8094841468154811,0.016303138726229748
54D,S3_train_I_internal_20_10_test_all,deep-coral,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8432234432234432,0.7802197802197802,0.8864468864468864,0.04090445208833298,0.842772633744856,0.7820216049382717,0.8833590534979424,0.03904751751233274,0.8440387112201012,0.7831112312474658,0.8882893480896731,0.040781476994812896
54D,S3_train_I_internal_20_10_test_all,mk-mmd,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8527472527472527,0.8205128205128205,0.8974358974358975,0.031870236973122676,0.8532150205761317,0.8215020576131687,0.8969907407407408,0.03087472492786842,0.856375623804926,0.8231967710228579,0.8997732989122257,0.03147246426648359
