architecture,split,variant,method,mode,seed,selected_C,selection_status,best_epoch,final_training,label_usage,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,0,10.0,validation-selected C,190,source train+source validation refit,source train + source validation labels,0.8864468864468864,1.0,0.9010989010989011,0.8966049382716049,0.9015248569194432,0.014652014652014711
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,1,10.0,validation-selected C,160,source train+source validation refit,source train + source validation labels,0.8937728937728938,1.0,0.8937728937728938,0.8890174897119342,0.8944141165770004,0.0
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,2,10.0,validation-selected C,280,source train+source validation refit,source train + source validation labels,0.8864468864468864,1.0,0.8901098901098901,0.8849022633744855,0.8897318320959918,0.00366300366300365
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,3,10.0,validation-selected C,190,source train+source validation refit,source train + source validation labels,0.8937728937728938,1.0,0.8901098901098901,0.8855452674897119,0.8904729678356663,-0.003663003663003761
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,mk-mmd,uda,4,10.0,validation-selected C,150,source train+source validation refit,source train + source validation labels,0.8901098901098901,1.0,0.8974358974358975,0.8931327160493826,0.8981370300020983,0.007326007326007411
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,source-only,uda,0,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6703296703296703,1.0,0.7802197802197802,0.7871656378600823,0.7922935314980578,0.10989010989010994
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,source-only,uda,1,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6776556776556777,0.9666666666666667,0.7435897435897436,0.7518004115226337,0.7575316734709524,0.06593406593406592
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,source-only,uda,2,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6556776556776557,1.0,0.7838827838827839,0.7906378600823046,0.7957084901785363,0.1282051282051282
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,source-only,uda,3,10.0,validation-selected C,20,source train+source validation refit,source train + source validation labels,0.652014652014652,1.0,0.7582417582417582,0.7611882716049383,0.7701949218612915,0.10622710622710618
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,source-only,uda,4,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6483516483516484,0.9666666666666667,0.7802197802197802,0.7878086419753086,0.7924249053383243,0.13186813186813184
one-layer,S3_train_I_internal_20_10_test_all,DANN-UDA,dann,uda,0,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.673992673992674,1.0,0.7948717948717948,0.8016975308641975,0.8059584094066853,0.12087912087912078
one-layer,S3_train_I_internal_20_10_test_all,DANN-UDA,dann,uda,1,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6776556776556777,0.9666666666666667,0.7765567765567766,0.7830504115226337,0.7882562287599918,0.09890109890109888
one-layer,S3_train_I_internal_20_10_test_all,DANN-UDA,dann,uda,2,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6666666666666666,1.0,0.7948717948717948,0.8023405349794238,0.8061029588691576,0.1282051282051282
one-layer,S3_train_I_internal_20_10_test_all,DANN-UDA,dann,uda,3,10.0,validation-selected C,20,source train+source validation refit,source train + source validation labels,0.6593406593406593,1.0,0.7692307692307693,0.7716049382716049,0.7792597756321801,0.10989010989010994
one-layer,S3_train_I_internal_20_10_test_all,DANN-UDA,dann,uda,4,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6446886446886447,0.9666666666666667,0.7912087912087912,0.7982253086419754,0.8026498851174688,0.14652014652014644
one-layer,S3_train_I_internal_20_10_test_all,DEEP-CORAL-UDA,deep-coral,uda,0,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6703296703296703,1.0,0.7802197802197802,0.7871656378600823,0.7922935314980578,0.10989010989010994
one-layer,S3_train_I_internal_20_10_test_all,DEEP-CORAL-UDA,deep-coral,uda,1,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6776556776556777,0.9666666666666667,0.7435897435897436,0.7518004115226337,0.7575316734709524,0.06593406593406592
one-layer,S3_train_I_internal_20_10_test_all,DEEP-CORAL-UDA,deep-coral,uda,2,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6556776556776557,1.0,0.7838827838827839,0.7906378600823046,0.7957084901785363,0.1282051282051282
one-layer,S3_train_I_internal_20_10_test_all,DEEP-CORAL-UDA,deep-coral,uda,3,10.0,validation-selected C,20,source train+source validation refit,source train + source validation labels,0.652014652014652,1.0,0.7582417582417582,0.7611882716049383,0.7701949218612915,0.10622710622710618
one-layer,S3_train_I_internal_20_10_test_all,DEEP-CORAL-UDA,deep-coral,uda,4,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6483516483516484,0.9666666666666667,0.7802197802197802,0.7878086419753086,0.7924249053383243,0.13186813186813184
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,0,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6703296703296703,1.0,0.7838827838827839,0.7906378600823044,0.7948357704949998,0.1135531135531136
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,1,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6923076923076923,0.9666666666666667,0.7435897435897436,0.7518004115226337,0.7575498358847662,0.05128205128205132
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,2,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.652014652014652,1.0,0.8168498168498168,0.8218878600823044,0.8259192227466473,0.1648351648351648
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,3,10.0,validation-selected C,20,source train+source validation refit,source train + source validation labels,0.6556776556776557,1.0,0.7509157509157509,0.7542438271604938,0.7632110132110133,0.09523809523809523
one-layer,S3_train_I_internal_20_10_test_all,MK-MMD-UDA,mk-mmd,uda,4,10.0,validation-selected C,10,source train+source validation refit,source train + source validation labels,0.6483516483516484,0.9666666666666667,0.7912087912087912,0.7982253086419754,0.8026968646427196,0.1428571428571428
one-layer,S4_train_I_val_D1_2,MLP Source-only,source-only,uda,0,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7877551020408163,1.0,0.8,0.8011043856854624,0.8024083196496989,0.01224489795918371
one-layer,S4_train_I_val_D1_2,MLP Source-only,source-only,uda,1,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7918367346938775,1.0,0.8081632653061225,0.8081660826165445,0.8085277079437825,0.016326530612244983
one-layer,S4_train_I_val_D1_2,MLP Source-only,source-only,uda,2,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8081632653061225,1.0,0.8285714285714286,0.8282361686311989,0.8298532842393552,0.020408163265306145
