architecture,split,variant,method,mode,seed,C,validation_kind,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,0,1.0,target_val,0.9642857142857143,0.9583333333333334,0.9619047619047619
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,0,10.0,target_val,0.9642857142857143,0.9583333333333334,0.9619047619047619
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,1,0.1,target_val,0.8571428571428571,0.8583333333333334,0.8539562289562289
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,1,1.0,target_val,0.8928571428571429,0.8916666666666666,0.8898287385129491
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,1,10.0,target_val,0.9285714285714286,0.9333333333333332,0.9274821039526921
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,2,0.1,target_val,0.8928571428571429,0.8916666666666666,0.8948431685273791
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,2,1.0,target_val,0.8928571428571429,0.8916666666666666,0.8948431685273791
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,2,10.0,target_val,0.8928571428571429,0.8916666666666666,0.8948431685273791
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,3,0.1,target_val,0.8928571428571429,0.9,0.8976982097186701
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,3,1.0,target_val,0.9285714285714286,0.9249999999999999,0.9285714285714285
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,3,10.0,target_val,0.9285714285714286,0.9249999999999999,0.9285714285714285
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,4,0.1,target_val,0.8928571428571429,0.9,0.8976982097186701
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,4,1.0,target_val,0.8571428571428571,0.8583333333333334,0.8633986928104574
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,4,10.0,target_val,0.8571428571428571,0.8583333333333334,0.8633986928104574
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,0,0.1,target_val,0.9285714285714286,0.9249999999999999,0.9249999999999999
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,0,1.0,target_val,0.9285714285714286,0.9249999999999999,0.9249999999999999
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,0,10.0,target_val,0.9285714285714286,0.9249999999999999,0.9249999999999999
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,1,0.1,target_val,0.9285714285714286,0.9249999999999999,0.9249999999999999
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,1,1.0,target_val,0.8928571428571429,0.8916666666666666,0.8898287385129491
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,1,10.0,target_val,0.9285714285714286,0.9249999999999999,0.9249999999999999
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,2,0.1,target_val,0.8928571428571429,0.8833333333333333,0.8857142857142857
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,2,1.0,target_val,0.8928571428571429,0.8833333333333333,0.8857142857142857
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,2,10.0,target_val,0.8571428571428571,0.85,0.85518341307815
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,3,0.1,target_val,1.0,1.0,1.0
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,3,1.0,target_val,0.9642857142857143,0.9583333333333334,0.9619047619047619
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,3,10.0,target_val,0.9642857142857143,0.9583333333333334,0.9619047619047619
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,4,0.1,target_val,0.8928571428571429,0.8833333333333333,0.8857142857142857
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,4,1.0,target_val,0.8928571428571429,0.8833333333333333,0.8857142857142857
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,4,10.0,target_val,0.9285714285714286,0.9166666666666666,0.9220779220779219
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,0,0.1,target_val,0.9285714285714286,0.9249999999999999,0.9285714285714285
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,0,1.0,target_val,0.9642857142857143,0.9583333333333334,0.9619047619047619
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,0,10.0,target_val,0.9285714285714286,0.9166666666666666,0.9220779220779219
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,1,0.1,target_val,0.8928571428571429,0.8833333333333333,0.888888888888889
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,1,1.0,target_val,0.8928571428571429,0.8833333333333333,0.888888888888889
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,1,10.0,target_val,0.8928571428571429,0.8833333333333333,0.888888888888889
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,2,0.1,target_val,0.9285714285714286,0.9249999999999999,0.9285714285714285
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,2,1.0,target_val,0.8928571428571429,0.8833333333333333,0.8887445887445887
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,2,10.0,target_val,0.8928571428571429,0.8833333333333333,0.8887445887445887
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,3,0.1,target_val,0.9285714285714286,0.9249999999999999,0.9249999999999999
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,3,1.0,target_val,0.9285714285714286,0.9249999999999999,0.9249999999999999
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,3,10.0,target_val,0.9285714285714286,0.9249999999999999,0.9249999999999999
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,4,0.1,target_val,0.8928571428571429,0.8833333333333333,0.888888888888889
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,4,1.0,target_val,0.8928571428571429,0.8833333333333333,0.888888888888889
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,4,10.0,target_val,0.8928571428571429,0.8833333333333333,0.888888888888889
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,0,0.1,target_val,0.9615384615384616,0.9666666666666667,0.9568151147098516
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,0,1.0,target_val,0.8846153846153846,0.9,0.882010582010582
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,0,10.0,target_val,0.8461538461538461,0.8666666666666666,0.8411764705882353
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,1,0.1,target_val,0.9230769230769231,0.9333333333333332,0.9172932330827068
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,1,1.0,target_val,0.9230769230769231,0.9333333333333332,0.9172932330827068
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,1,10.0,target_val,0.8461538461538461,0.8666666666666666,0.8402992776057792
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,2,0.1,target_val,0.9230769230769231,0.9333333333333332,0.9234817813765183
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,2,1.0,target_val,0.9230769230769231,0.9333333333333332,0.9234817813765183
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,2,10.0,target_val,0.9230769230769231,0.9333333333333332,0.9234817813765183
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,3,0.1,target_val,0.8846153846153846,0.9,0.882010582010582
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,3,1.0,target_val,0.8461538461538461,0.8666666666666666,0.8411764705882353
