sample_id,nominal_duration_s,profile,baseline_start_s,baseline_end_s,exposure_start_s,exposure_end_s,recovery_start_s,recovery_end_s,actual_last_s,baseline_n,exposure_n,recovery_n,observation_n
alcohol_66,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_67,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.163,237,237,237,711
alcohol_68,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
alcohol_69,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_70,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_71,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.184,237,237,237,711
alcohol_72,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_73,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_74,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.901,237,237,237,711
alcohol_75,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
alcohol_76,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.909,237,237,237,711
alcohol_77,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.184,237,237,237,711
alcohol_78,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_79,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_80,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_81,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_82,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_83,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_84,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.931,237,237,237,711
alcohol_85,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_86,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_87,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_88,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_89,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.184,237,237,237,711
alcohol_90,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.184,237,237,237,711
alcohol_91,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_92,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.184,237,237,237,711
alcohol_93,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_94,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_95,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.928,237,237,237,711
alcohol_96,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_1,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_o1,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_2,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_o2,182.183,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
acetone_3,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_o3,181.908,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.908,237,237,237,711
acetone_4,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_o4,182.183,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
acetone_5,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.945,237,237,237,711
acetone_o5,181.93,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_6,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
acetone_o6,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
acetone_7,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
