feature_set,split,model,group,accuracy,balanced_accuracy,macro_f1
54D,S2,CDAN+C-DANN,domain adaptation,0.8893772893772892,0.886522633744856,0.8888857663204076
54D,S2,MK-MMD+CDAN,domain adaptation,0.887912087912088,0.884619341563786,0.8880303732731176
54D,S3,C-DANN,domain adaptation,0.8673992673992675,0.8660751028806585,0.8680397823970096
54D,S3,CDAN+C-DANN,domain adaptation,0.8608058608058607,0.85815329218107,0.8630792525379747
54D,S3,MK-MMD+CDAN,domain adaptation,0.8791208791208792,0.877829218106996,0.8799702694345344
54D,S4,C-DANN,domain adaptation,0.9102040816326532,0.9096208983752788,0.9124134464183
54D,S4,CDAN+C-DANN,domain adaptation,0.9208163265306124,0.9205267070192203,0.9227623981420064
54D,S4,MK-MMD+CDAN,domain adaptation,0.9183673469387756,0.917925029202506,0.9206434606082428
54D,S5,C-DANN,domain adaptation,0.9290043290043288,0.9295043836106638,0.9308096762046296
54D,S5,CDAN+C-DANN,domain adaptation,0.909090909090909,0.9102880658436212,0.9112361540867508
54D,S5,MK-MMD+CDAN,domain adaptation,0.9212121212121211,0.9213812846663088,0.9230523051319725
54D,S6,C-DANN,domain adaptation,0.96,0.9595946046650272,0.9605609401974282
54D,S6,CDAN+C-DANN,domain adaptation,0.951219512195122,0.9517400700499292,0.9515000635670984
54D,S6,MK-MMD+CDAN,domain adaptation,0.946341463414634,0.945733661226619,0.9464800208938652
54D,S7,C-DANN,domain adaptation,0.9473170731707315,0.9463149265966166,0.9479640860143274
54D,S7,CDAN+C-DANN,domain adaptation,0.9414634146341464,0.9412772933899692,0.942193646111592
54D,S7,MK-MMD+CDAN,domain adaptation,0.9473170731707315,0.9466726283627692,0.947536377336998
48D,S1,C-DANN,domain adaptation,0.7384615384615385,0.7294495884773663,0.7320011733035894
48D,S1,CDAN+C-DANN,domain adaptation,0.6974358974358974,0.6852880658436213,0.6892773439457947
48D,S1,MK-MMD+CDAN,domain adaptation,0.7113553113553113,0.6984825102880658,0.6985418485478607
48D,S2,C-DANN,domain adaptation,0.7084249084249084,0.7040637860082304,0.706018562756436
48D,S2,CDAN+C-DANN,domain adaptation,0.7677655677655677,0.7609567901234567,0.7659027781182325
48D,S2,MK-MMD+CDAN,domain adaptation,0.7069597069597069,0.6994598765432098,0.7021433870397489
48D,S3,C-DANN,domain adaptation,0.7443223443223442,0.7362911522633745,0.738640950186355
48D,S3,CDAN+C-DANN,domain adaptation,0.7714285714285714,0.7666152263374486,0.7682207035271796
48D,S3,MK-MMD+CDAN,domain adaptation,0.7501831501831501,0.7408179012345679,0.7438805592423332
48D,S4,C-DANN,domain adaptation,0.8824489795918368,0.880365296803653,0.8823890556675831
48D,S4,CDAN+C-DANN,domain adaptation,0.8767346938775511,0.8764574705320166,0.8774398898316831
48D,S4,MK-MMD+CDAN,domain adaptation,0.8914285714285715,0.88944462142933,0.8913192194433608
48D,S5,C-DANN,domain adaptation,0.8917748917748917,0.8913938092682054,0.8932689552440388
48D,S5,CDAN+C-DANN,domain adaptation,0.8805194805194805,0.8795491143317229,0.882584005887401
48D,S5,MK-MMD+CDAN,domain adaptation,0.9064935064935064,0.9075326534263732,0.907299478180914
48D,S6,C-DANN,domain adaptation,0.937560975609756,0.937163723079216,0.9383431706598688
48D,S6,CDAN+C-DANN,domain adaptation,0.9268292682926828,0.9264773828154108,0.9273901078850784
48D,S6,MK-MMD+CDAN,domain adaptation,0.9317073170731708,0.9308145167300096,0.9319000975655156
48D,S7,C-DANN,domain adaptation,0.9639024390243902,0.9639466428198824,0.9644393851318392
48D,S7,CDAN+C-DANN,domain adaptation,0.9404878048780488,0.939861390565616,0.9408698058540848
48D,S7,MK-MMD+CDAN,domain adaptation,0.942439024390244,0.941977792682018,0.94297891064726
48D,S1,MK-MMD+C-DANN,domain adaptation,0.7435897435897436,0.7305812757201646,0.7325806962352532
48D,S1,MK-MMD+CDAN+C-DANN,domain adaptation,0.7684981684981684,0.757664609053498,0.7599811491620646
48D,S2,MK-MMD+C-DANN,domain adaptation,0.7157509157509158,0.7094650205761316,0.71046373535624
48D,S2,MK-MMD+CDAN+C-DANN,domain adaptation,0.7413919413919414,0.7337705761316873,0.7356572029946535
48D,S3,MK-MMD+C-DANN,domain adaptation,0.8051282051282052,0.7977880658436214,0.8005612464850141
48D,S3,MK-MMD+CDAN+C-DANN,domain adaptation,0.7172161172161172,0.708667695473251,0.7104146351911569
48D,S4,MK-MMD+C-DANN,domain adaptation,0.8702040816326531,0.8673569077200808,0.8707814803050905
48D,S4,MK-MMD+CDAN+C-DANN,domain adaptation,0.8906122448979591,0.8896357651056599,0.8926232219925515
48D,S5,MK-MMD+C-DANN,domain adaptation,0.9194805194805196,0.9197351941313292,0.9200318616826296
48D,S5,MK-MMD+CDAN+C-DANN,domain adaptation,0.884848484848485,0.8858114152800143,0.8858072434125871
48D,S6,MK-MMD+C-DANN,domain adaptation,0.942439024390244,0.9417393248379164,0.94254885135246
