experiment,split,seed,parameter,parameter_value,best_epoch,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,alpha,beta,C,l1_ratio
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,,,,0.95,0.9555555555555556,0.9553571428571428,0.75,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,,,,0.925,0.9333333333333332,0.9326599326599326,1.0,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,,,,0.95,0.9555555555555556,0.9553571428571428,0.0,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,,,,0.95,0.9555555555555556,0.9553571428571428,0.25,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,,,,0.95,0.9555555555555556,0.9553571428571428,0.5,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,,,,0.95,0.9555555555555556,0.9553571428571428,0.75,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,,,,0.925,0.9333333333333332,0.9326599326599326,1.0,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,,,,0.95,0.9555555555555556,0.9553571428571428,0.0,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,,,,0.95,0.9555555555555556,0.9553571428571428,0.25,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,,,,0.95,0.9555555555555556,0.9553571428571428,0.5,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,,,,0.95,0.9555555555555556,0.9553571428571428,0.75,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,,,,0.925,0.9333333333333332,0.9326599326599326,1.0,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,,,,0.975,0.977777777777778,0.9777530589543938,0.0,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,,,,0.95,0.9555555555555556,0.9553571428571428,0.25,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,,,,0.95,0.9555555555555556,0.9553571428571428,0.5,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,,,,0.95,0.9555555555555556,0.9553571428571428,0.75,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,,,,0.925,0.9333333333333332,0.9326599326599326,1.0,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,,,,0.975,0.977777777777778,0.9777530589543938,0.0,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,,,,0.95,0.9555555555555556,0.9553571428571428,0.25,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,,,,0.95,0.9555555555555556,0.9553571428571428,0.5,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,,,,0.95,0.9555555555555556,0.9553571428571428,0.75,,,
probability-ensemble,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,,,,0.925,0.9333333333333332,0.9326599326599326,1.0,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,,,,0.9615384615384616,0.9666666666666668,0.9665831244778612,0.0,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.25,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.5,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.75,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,1.0,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.0,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.25,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.5,,,
probability-ensemble,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,,,,0.9230769230769232,0.9333333333333332,0.9326599326599326,0.75,,,
