feature_set,split,mode,classifier_strategy,method,accuracy,accuracy_std,balanced_accuracy,macro_f1,seed_count,best_within_feature_split,best_overall_split
48D,S4_train_I_val_D1_2,semi,End-to-end LR,mk-mmd,0.9036734693877552,0.027622733576634546,0.9013486248274397,0.9034728111000142,5,False,False
48D,S4_train_I_val_D1_2,semi,End-to-end LR,source-only,0.8130612244897959,0.05606861982528972,0.8150260167781671,0.8082389571267774,5,False,False
48D,S4_train_I_val_D1_2,semi,MLP Head,c-dann,0.8824489795918368,0.02128719152719227,0.880365296803653,0.8823890556675831,5,False,False
48D,S4_train_I_val_D1_2,semi,MLP Head,cdan,0.8685714285714287,0.028483830730396578,0.8673250504406924,0.8699446799518175,5,False,False
48D,S4_train_I_val_D1_2,semi,MLP Head,cdan+c-dann,0.8767346938775511,0.04136367693112896,0.8764574705320166,0.8774398898316831,5,False,False
48D,S4_train_I_val_D1_2,semi,MLP Head,dann,0.8587755102040816,0.03335970080277969,0.8563661463311032,0.8585080901710495,5,False,False
48D,S4_train_I_val_D1_2,semi,MLP Head,deep-coral,0.889795918367347,0.02020305089104426,0.8874800892003822,0.8903211670807558,5,False,False
48D,S4_train_I_val_D1_2,semi,MLP Head,mk-mmd,0.8906122448979593,0.04255481312319471,0.8872889455240521,0.889871925454908,5,False,False
48D,S4_train_I_val_D1_2,semi,MLP Head,source-only,0.7844897959183673,0.0704835443855835,0.7888605713072103,0.7752515979885318,5,False,False
48D,S4_train_I_val_D1_2,semi,Post-hoc LR,c-dann,0.856326530612245,0.05509448171884721,0.8556971434639482,0.8569016951730012,5,False,False
48D,S4_train_I_val_D1_2,semi,Post-hoc LR,cdan,0.8555102040816326,0.037697142494755274,0.8545078050334501,0.8585829534957089,5,False,False
48D,S4_train_I_val_D1_2,semi,Post-hoc LR,cdan+c-dann,0.856326530612245,0.016679850401389792,0.855006902410534,0.8580214033402493,5,False,False
48D,S4_train_I_val_D1_2,semi,Post-hoc LR,dann,0.8693877551020408,0.0347538497263805,0.8685143888711904,0.8705704263287093,5,False,False
48D,S4_train_I_val_D1_2,semi,Post-hoc LR,deep-coral,0.8718367346938776,0.013720601072629917,0.8704258256344908,0.8738324514290164,5,False,False
48D,S4_train_I_val_D1_2,semi,Post-hoc LR,mk-mmd,0.8644897959183673,0.06015390506756102,0.8611022618668367,0.8651727237193771,5,False,False
48D,S4_train_I_val_D1_2,semi,Post-hoc LR,source-only,0.793469387755102,0.043445907235053656,0.7958691727726451,0.7931896908466117,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,c-dann,0.8961038961038961,0.04849644264590489,0.8962247271426016,0.8977537702249304,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,cdan,0.8987012987012987,0.03100606853587882,0.8992664161746287,0.8998412580451264,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,cdan+c-dann,0.8943722943722943,0.022410699749861117,0.8945786366076222,0.8952063343478048,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,dann,0.922077922077922,0.019600400731899163,0.920629808552514,0.9224077259268041,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,deep-coral,0.9160173160173161,0.022200660441485866,0.9152979066022544,0.9173765933835536,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,mk-mmd,0.9108225108225108,0.01665401217460728,0.9103596349973161,0.9117675457806845,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,source-only,0.8787878787878789,0.017584498711333295,0.8811952048667024,0.8788593403681153,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,MLP Head,c-dann,0.8917748917748918,0.02486823656509971,0.8913938092682054,0.8932689552440388,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,MLP Head,cdan,0.90995670995671,0.02278389154448612,0.9109679728037217,0.9117366866556577,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,MLP Head,cdan+c-dann,0.8805194805194805,0.03219219470576313,0.8795491143317229,0.882584005887401,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,MLP Head,dann,0.8805194805194805,0.03498199801010727,0.8819824655573447,0.8820255100215277,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,MLP Head,deep-coral,0.9238095238095237,0.013893338992104924,0.9237072821613884,0.9247351973639925,5,True,False
48D,S5_train_I_D1_val_D2_3,semi,MLP Head,mk-mmd,0.8961038961038961,0.03076335585184396,0.8947933440687063,0.8979416152835592,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,MLP Head,source-only,0.8623376623376624,0.03948659480862818,0.8654142064770083,0.8632791218048486,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,c-dann,0.8545454545454545,0.026261040498879826,0.8541420647700841,0.8576748493607728,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,cdan,0.8675324675324674,0.05271795992509399,0.8700662014671676,0.8695921149285567,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,cdan+c-dann,0.8727272727272727,0.027481506923123615,0.8725711218464841,0.8754763714714958,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,dann,0.8744588744588745,0.03943910640322211,0.8757917337627482,0.8769844068232358,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,deep-coral,0.9012987012987013,0.029898349177198302,0.9015924136697082,0.9032457179797669,5,False,False
