feature_set,split,mode,classifier_strategy,method,accuracy,accuracy_std,balanced_accuracy,macro_f1,seed_count,best_within_feature_split,best_overall_split
54D,S2_train_I_internal_val_test_all,uda,End-to-end LR,dann,0.8578754578754578,0.03583383765976735,0.8551183127572017,0.8584426956635202,5,False,False
54D,S2_train_I_internal_val_test_all,uda,End-to-end LR,deep-coral,0.8747252747252746,0.03620634078579212,0.8723765432098766,0.8743757653880561,5,False,False
54D,S2_train_I_internal_val_test_all,uda,End-to-end LR,mk-mmd,0.8937728937728938,0.021515274953243017,0.8910751028806583,0.894633996943211,5,True,True
54D,S2_train_I_internal_val_test_all,uda,End-to-end LR,source-only,0.8021978021978022,0.02615907849283091,0.803883744855967,0.8010005245764417,5,False,False
54D,S2_train_I_internal_val_test_all,uda,MLP Head,c-dann,0.8864468864468865,0.029645446989448022,0.8851594650205762,0.887307229507875,5,False,False
54D,S2_train_I_internal_val_test_all,uda,MLP Head,cdan,0.8212454212454212,0.03069063745883284,0.8220679012345679,0.8232511942445647,5,False,False
54D,S2_train_I_internal_val_test_all,uda,MLP Head,cdan+c-dann,0.8893772893772894,0.0291203031712114,0.886522633744856,0.8888857663204076,5,False,False
54D,S2_train_I_internal_val_test_all,uda,MLP Head,dann,0.8615384615384617,0.04267045529208342,0.8593621399176955,0.8639603764205,5,False,False
54D,S2_train_I_internal_val_test_all,uda,MLP Head,deep-coral,0.7963369963369964,0.06149047492378982,0.7998713991769547,0.7933268944381416,5,False,False
54D,S2_train_I_internal_val_test_all,uda,MLP Head,mk-mmd,0.841025641025641,0.08467007413918891,0.8345164609053498,0.8280097605497312,5,False,False
54D,S2_train_I_internal_val_test_all,uda,MLP Head,source-only,0.7377289377289377,0.08600651477611312,0.7422582304526749,0.7251843733654512,5,False,False
54D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,c-dann,0.8556776556776556,0.03178592402918186,0.8545781893004115,0.8581208409961786,5,False,False
54D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,cdan,0.7750915750915751,0.03594599392043105,0.7776748971193416,0.7735978664478089,5,False,False
54D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,cdan+c-dann,0.8483516483516483,0.048290559700152356,0.8468621399176953,0.8496065245377522,5,False,False
54D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,dann,0.8205128205128205,0.07102827629914038,0.8194444444444444,0.8216493500161748,5,False,False
54D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,deep-coral,0.8014652014652015,0.05240784166001297,0.8037037037037038,0.8012657273838535,5,False,False
54D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,mk-mmd,0.8424908424908425,0.03276290076922771,0.8423353909465021,0.8458329373733859,5,False,False
54D,S2_train_I_internal_val_test_all,uda,Post-hoc LR,source-only,0.7890109890109891,0.05086169950977228,0.7906121399176954,0.7883950590525022,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,c-dann,0.8659340659340659,0.024380309585778356,0.8645576131687243,0.868520426904355,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,cdan,0.8644688644688644,0.027533509850499818,0.862011316872428,0.8677456222122247,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,cdan+c-dann,0.8937728937728938,0.019208953263189537,0.892361111111111,0.895666772405605,5,True,True
54D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,dann,0.8527472527472527,0.05329638860473788,0.8502572016460904,0.8514855297016565,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,deep-coral,0.8622710622710622,0.016905466313867162,0.8599279835390947,0.863370939139107,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,mk-mmd,0.8923076923076924,0.014327917374071724,0.8889146090534978,0.8932194751330407,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,End-to-end LR,source-only,0.7890109890109891,0.047166061839765176,0.792283950617284,0.7825692826446321,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,MLP Head,c-dann,0.8673992673992673,0.038539951465384976,0.8660751028806585,0.8680397823970096,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,MLP Head,cdan,0.871062271062271,0.013308353204824134,0.8703189300411523,0.8739855481320706,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,MLP Head,cdan+c-dann,0.8608058608058607,0.010989010989011002,0.85815329218107,0.8630792525379748,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,MLP Head,dann,0.8161172161172161,0.04672304401880835,0.8141203703703704,0.8180790580692445,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,MLP Head,deep-coral,0.8593406593406593,0.03557076450200793,0.8580504115226338,0.8593144309723495,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,MLP Head,mk-mmd,0.8893772893772894,0.016258125290235993,0.889351851851852,0.8906097203108944,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,MLP Head,source-only,0.7912087912087913,0.017944979800609395,0.7935956790123457,0.7897814083733702,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,c-dann,0.8454212454212454,0.04964687658777986,0.8440843621399177,0.8479497494085914,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,cdan,0.8388278388278388,0.030316749738547342,0.8382201646090535,0.8426405842352368,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,cdan+c-dann,0.8329670329670329,0.03261924814782887,0.831764403292181,0.8360033984062737,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,dann,0.791941391941392,0.014281017355031471,0.7912037037037037,0.7936857202445944,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,deep-coral,0.8432234432234432,0.04090445208833303,0.842772633744856,0.8440387112201012,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,mk-mmd,0.8527472527472527,0.03187023697312268,0.8532150205761317,0.856375623804926,5,False,False
54D,S3_train_I_internal_20_10_test_all,uda,Post-hoc LR,source-only,0.8014652014652015,0.0268425948140092,0.8026748971193415,0.8039629389247935,5,False,False
54D,S4_train_I_val_D1_2,semi,End-to-end LR,c-dann,0.9248979591836735,0.02492805140343259,0.9242646278007858,0.9269484050322105,5,False,False
54D,S4_train_I_val_D1_2,semi,End-to-end LR,cdan,0.9134693877551021,0.014545738515269793,0.912169480726346,0.9155058513266805,5,False,False
54D,S4_train_I_val_D1_2,semi,End-to-end LR,cdan+c-dann,0.9183673469387756,0.013226001425322091,0.9191674630986514,0.9199980673509447,5,False,False
54D,S4_train_I_val_D1_2,semi,End-to-end LR,dann,0.9281632653061225,0.018615108981210365,0.9272273547839015,0.9294647210087505,5,True,True
54D,S4_train_I_val_D1_2,semi,End-to-end LR,deep-coral,0.9224489795918368,0.01707469441906278,0.9218009981947543,0.9248242615537181,5,False,False
54D,S4_train_I_val_D1_2,semi,End-to-end LR,mk-mmd,0.9200000000000002,0.02190433937142652,0.9198895614314537,0.9218764035237663,5,False,False
54D,S4_train_I_val_D1_2,semi,End-to-end LR,source-only,0.9044897959183673,0.008942409102125203,0.9055750238929596,0.9070942267382247,5,False,False
54D,S4_train_I_val_D1_2,semi,MLP Head,c-dann,0.9102040816326531,0.036163357442182326,0.9096208983752787,0.9124134464183001,5,False,False
54D,S4_train_I_val_D1_2,semi,MLP Head,cdan,0.8995918367346938,0.025587637581481613,0.9003716682595307,0.9022434965417281,5,False,False
54D,S4_train_I_val_D1_2,semi,MLP Head,cdan+c-dann,0.9208163265306123,0.021130088335583268,0.9205267070192205,0.9227623981420064,5,False,False
54D,S4_train_I_val_D1_2,semi,MLP Head,dann,0.8914285714285715,0.048689617823499294,0.8928958266964001,0.8931788361899367,5,False,False
54D,S4_train_I_val_D1_2,semi,MLP Head,deep-coral,0.9159183673469389,0.016976844361702385,0.9165657852819369,0.9185426651874746,5,False,False
54D,S4_train_I_val_D1_2,semi,MLP Head,mk-mmd,0.9110204081632653,0.019446741631953684,0.9101199957523628,0.9131132579345718,5,False,False
54D,S4_train_I_val_D1_2,semi,MLP Head,source-only,0.8783673469387756,0.01016318334529692,0.8817351598173516,0.8813556499783427,5,False,False
54D,S4_train_I_val_D1_2,semi,Post-hoc LR,c-dann,0.8995918367346938,0.03780746506745929,0.8998194754167994,0.9025644379916289,5,False,False
54D,S4_train_I_val_D1_2,semi,Post-hoc LR,cdan,0.8963265306122448,0.01488537349290653,0.8971328448550494,0.8991539347455267,5,False,False
54D,S4_train_I_val_D1_2,semi,Post-hoc LR,cdan+c-dann,0.9085714285714286,0.021130088335583306,0.9090368482531591,0.9116010414769775,5,False,False
54D,S4_train_I_val_D1_2,semi,Post-hoc LR,dann,0.8759183673469387,0.04782656435732913,0.8774769034724436,0.8788167178155322,5,False,False
54D,S4_train_I_val_D1_2,semi,Post-hoc LR,deep-coral,0.9142857142857144,0.01413919026586842,0.914877349474355,0.9171935735824583,5,False,False
54D,S4_train_I_val_D1_2,semi,Post-hoc LR,mk-mmd,0.9053061224489797,0.012380204806614802,0.9049697355845812,0.9077184331934834,5,False,False
54D,S4_train_I_val_D1_2,semi,Post-hoc LR,source-only,0.8881632653061224,0.017460611947924424,0.8906233407666985,0.8917751347123339,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,c-dann,0.935064935064935,0.006122136633649751,0.9338343174091965,0.9366342343342969,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,cdan,0.9272727272727274,0.019932232784798876,0.9264269100017893,0.9291944433846252,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,cdan+c-dann,0.9203463203463202,0.012471740511591363,0.9192699946323135,0.9226168734072596,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,dann,0.9290043290043289,0.009966116392399388,0.9275004473072105,0.9302996349393924,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,deep-coral,0.9376623376623376,0.014226559935199171,0.9378779745929504,0.9395417484478095,5,True,True
54D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,mk-mmd,0.9324675324675324,0.016654012174607224,0.9326534263732331,0.9342976584870162,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,End-to-end LR,source-only,0.922077922077922,0.010152415064552816,0.9227768831633565,0.924842123547783,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,MLP Head,c-dann,0.9290043290043289,0.024981018261910824,0.9295043836106638,0.9308096762046294,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,MLP Head,cdan,0.9281385281385282,0.018005744019987363,0.9279656468062265,0.9300533557031747,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,MLP Head,cdan+c-dann,0.9090909090909092,0.02290693775813498,0.9102880658436214,0.9112361540867508,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,MLP Head,dann,0.9203463203463202,0.02535333413739619,0.9208445160135982,0.9229403706701536,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,MLP Head,deep-coral,0.9341991341991343,0.007113279967599513,0.9345857935229915,0.9363975396704018,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,MLP Head,mk-mmd,0.9316017316017315,0.012768728314937293,0.9306852746466273,0.9328301932251352,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,MLP Head,source-only,0.90995670995671,0.01239638187296653,0.9125424941850062,0.9126282141909403,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,c-dann,0.9134199134199135,0.015905777550540106,0.9136876006441224,0.9163736139153255,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,cdan,0.9116883116883117,0.015182405122727411,0.9117552334943639,0.9142565260206638,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,cdan+c-dann,0.9021645021645022,0.01774363768997332,0.9021291823224191,0.9051419058347416,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,dann,0.9090909090909092,0.014680367928842539,0.9092860976918947,0.9122844439800735,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,deep-coral,0.9255411255411256,0.00887181884498668,0.9256396493111468,0.9281828784247651,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,mk-mmd,0.9316017316017315,0.011205349874930439,0.9308284129540167,0.9334280582246673,5,False,False
54D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,source-only,0.9090909090909092,0.013689513680382548,0.9107174807657898,0.9126606171395769,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,c-dann,0.9639024390243902,0.011747897150041249,0.9637081749757807,0.9645100621724815,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,cdan,0.9570731707317073,0.011123662683894042,0.9570161711006782,0.9575020109804478,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,cdan+c-dann,0.9482926829268292,0.013179762035225572,0.9468961919666145,0.9489028381036058,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,dann,0.953170731707317,0.01224380526635222,0.9531410686340264,0.9537636353457957,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,deep-coral,0.9648780487804878,0.005343634707367411,0.9644086742678292,0.9653001317646662,5,True,True
54D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,mk-mmd,0.9551219512195122,0.011123662683893976,0.9541843654519709,0.955305750156619,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,source-only,0.9648780487804878,0.008015452061051183,0.9648856099560325,0.9658180897923059,5,True,True
54D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,c-dann,0.96,0.01805537124226504,0.9595946046650272,0.9605609401974282,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,cdan,0.953170731707317,0.011747897150041207,0.9530218347119757,0.9536679207565522,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,cdan+c-dann,0.9512195121951219,0.010907648670730628,0.9517400700499292,0.9515000635670983,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,dann,0.9580487804878048,0.010115337245525716,0.9572397347045234,0.9581022855367752,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,deep-coral,0.9551219512195122,0.008726118936584457,0.9548997689842761,0.9557901342000215,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,mk-mmd,0.9551219512195122,0.0040812684221174155,0.9546613011401742,0.9556306290021663,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,source-only,0.9600000000000002,0.012146243510232869,0.9605484760414338,0.9608288529886811,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,c-dann,0.9590243902439024,0.01639779152582596,0.9579402339965719,0.9594917877860947,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,cdan,0.9541463414634146,0.01405352223501254,0.9537223340040242,0.9548594627993563,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,cdan+c-dann,0.9492682926829268,0.01447063119433294,0.9495044340114763,0.9499630128376838,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,dann,0.9512195121951219,0.015035156104802298,0.9499515612191669,0.9512563868874853,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,deep-coral,0.9580487804878048,0.009509067653472106,0.9578359043147774,0.9588759127220747,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,mk-mmd,0.9502439024390243,0.0021815297341462505,0.9492510619271183,0.9507924758845533,5,False,False
54D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,source-only,0.9639024390243902,0.018446507708477066,0.9640658767419332,0.9648363547017063,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,c-dann,0.9560975609756097,0.010347904114924988,0.9556002682763246,0.9569199543407944,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,cdan,0.9560975609756097,0.012436632959982352,0.9554810343542737,0.9566568239471215,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,cdan+c-dann,0.953170731707317,0.01565542101061579,0.9518294954914672,0.953438450143649,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,dann,0.9619512195121951,0.011123662683893988,0.9613533050152767,0.9624857787977484,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,deep-coral,0.968780487804878,0.008162536844234933,0.9685222445785826,0.9692046772223879,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,mk-mmd,0.9590243902439024,0.005561831341946982,0.9582979357627245,0.9594709558385104,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,End-to-end LR,source-only,0.9717073170731707,0.004081268422117495,0.972173783441389,0.9725886986654168,5,True,True
54D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,c-dann,0.9473170731707317,0.011646181840305664,0.9463149265966166,0.9479640860143274,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,cdan,0.9482926829268292,0.023292363680611345,0.9478500633430211,0.9487844505902118,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,cdan+c-dann,0.9414634146341463,0.01689805665920846,0.9412772933899693,0.942193646111592,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,dann,0.9541463414634146,0.010687269414734937,0.9532453983158208,0.954495676189091,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,deep-coral,0.9668292682926829,0.011123662683893969,0.9667635442283329,0.9671130913212919,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,mk-mmd,0.9570731707317073,0.015192596587704865,0.9567777032565765,0.9573581401123045,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,MLP Head,source-only,0.9560975609756095,0.006898602743283397,0.9563156718086295,0.9569377172409729,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,c-dann,0.9463414634146341,0.016542268251525043,0.945614427304568,0.9473831978498104,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,cdan,0.9414634146341463,0.02040634211058715,0.9408003577017661,0.9422491228201986,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,cdan+c-dann,0.9502439024390243,0.014795854524978537,0.9498472315373723,0.951153889491587,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,dann,0.9453658536585365,0.013536036024889335,0.9439600566361129,0.9459726687643999,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,deep-coral,0.9619512195121951,0.01993445535775863,0.961234071093226,0.9622694555836351,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,mk-mmd,0.9521951219512195,0.01932840268893549,0.9511289961994187,0.9523961507787494,5,False,False
54D,S7_train_I_D1_3_val_D4_5,semi,Post-hoc LR,source-only,0.9590243902439024,0.011230111642167208,0.9590133392950294,0.9600875185906551,5,False,False
