family,feature_set,split,mode,method,method_family,representation,head,seed,model,input_dimensions,selected_epoch,selection_usage,label_usage,final_training,checkpoint,confusion_matrix,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,uda,source-only,opensource-core,bottleneck16,linear,3,source-only:bottleneck16:linear,54,150.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S3_train_I_internal_20_10_test_all\bottleneck16\linear\source-only\seed_3.pt,"[[68, 12, 1], [2, 94, 0], [18, 46, 32]]",1.0,1.0,1.0,0.7106227106227107,0.7173353909465021,0.6863074249824783
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,uda,source-only,opensource-core,bottleneck16,linear,4,source-only:bottleneck16:linear,54,230.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S3_train_I_internal_20_10_test_all\bottleneck16\linear\source-only\seed_4.pt,"[[66, 15, 0], [0, 95, 1], [2, 39, 55]]",1.0,1.0,1.0,0.7912087912087912,0.7924382716049383,0.7950334849588017
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,uda,dann,opensource-core,bottleneck16,linear,0,dann:bottleneck16:linear,54,300.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S3_train_I_internal_20_10_test_all\bottleneck16\linear\dann\seed_0.pt,"[[66, 15, 0], [0, 94, 2], [1, 8, 87]]",1.0,1.0,1.0,0.9047619047619048,0.9000771604938271,0.9050205134712178
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,uda,dann,opensource-core,bottleneck16,linear,1,dann:bottleneck16:linear,54,230.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S3_train_I_internal_20_10_test_all\bottleneck16\linear\dann\seed_1.pt,"[[73, 7, 1], [3, 92, 1], [4, 17, 75]]",1.0,1.0,1.0,0.8791208791208791,0.880272633744856,0.8806029498533067
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,uda,dann,opensource-core,bottleneck16,linear,2,dann:bottleneck16:linear,54,30.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S3_train_I_internal_20_10_test_all\bottleneck16\linear\dann\seed_2.pt,"[[71, 9, 1], [0, 94, 2], [13, 35, 48]]",1.0,1.0,1.0,0.7802197802197802,0.7852366255144032,0.7723620295048866
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,uda,dann,opensource-core,bottleneck16,linear,3,dann:bottleneck16:linear,54,200.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S3_train_I_internal_20_10_test_all\bottleneck16\linear\dann\seed_3.pt,"[[54, 23, 4], [2, 93, 1], [0, 21, 75]]",0.9666666666666668,0.9444444444444444,0.9563636363636364,0.8131868131868132,0.8055555555555555,0.8129590523195048
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,uda,dann,opensource-core,bottleneck16,linear,4,dann:bottleneck16:linear,54,240.0,source validation labels,source train + source validation labels,source train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S3_train_I_internal_20_10_test_all\bottleneck16\linear\dann\seed_4.pt,"[[62, 19, 0], [1, 94, 1], [0, 10, 86]]",1.0,1.0,1.0,0.8864468864468864,0.8801440329218106,0.8864831033593665
domain-adaptation,54D,S4_train_I_val_D1_2,semi,source-only,opensource-core,bottleneck16,linear,0,source-only:bottleneck16:linear,54,20.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S4_train_I_val_D1_2\bottleneck16\linear\source-only\seed_0.pt,"[[70, 3, 0], [5, 81, 0], [10, 9, 67]]",0.9482758620689656,0.9545454545454546,0.943351691581432,0.889795918367347,0.8932781140490601,0.8889736252640116
domain-adaptation,54D,S4_train_I_val_D1_2,semi,source-only,opensource-core,bottleneck16,linear,1,source-only:bottleneck16:linear,54,250.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S4_train_I_val_D1_2\bottleneck16\linear\source-only\seed_1.pt,"[[67, 6, 0], [0, 85, 1], [0, 16, 70]]",1.0,1.0,1.0,0.9061224489795918,0.9067112668578104,0.909897205969943
domain-adaptation,54D,S4_train_I_val_D1_2,semi,source-only,opensource-core,bottleneck16,linear,2,source-only:bottleneck16:linear,54,320.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S4_train_I_val_D1_2\bottleneck16\linear\source-only\seed_2.pt,"[[67, 6, 0], [0, 85, 1], [1, 15, 70]]",1.0,1.0,1.0,0.9061224489795918,0.9067112668578104,0.9091636739395582
domain-adaptation,54D,S4_train_I_val_D1_2,semi,source-only,opensource-core,bottleneck16,linear,3,source-only:bottleneck16:linear,54,90.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S4_train_I_val_D1_2\bottleneck16\linear\source-only\seed_3.pt,"[[67, 6, 0], [0, 86, 0], [0, 17, 69]]",1.0,1.0,1.0,0.9061224489795918,0.9067112668578104,0.9098389066131002
domain-adaptation,54D,S4_train_I_val_D1_2,semi,source-only,opensource-core,bottleneck16,linear,4,source-only:bottleneck16:linear,54,240.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S4_train_I_val_D1_2\bottleneck16\linear\source-only\seed_4.pt,"[[67, 6, 0], [0, 86, 0], [0, 15, 71]]",1.0,1.0,1.0,0.9142857142857144,0.9144632048423066,0.9175977219045104
domain-adaptation,54D,S4_train_I_val_D1_2,semi,dann,opensource-core,bottleneck16,linear,0,dann:bottleneck16:linear,54,150.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S4_train_I_val_D1_2\bottleneck16\linear\dann\seed_0.pt,"[[66, 7, 0], [0, 86, 0], [0, 8, 78]]",1.0,1.0,1.0,0.9387755102040816,0.9370287777423808,0.9402152987405302
domain-adaptation,54D,S4_train_I_val_D1_2,semi,dann,opensource-core,bottleneck16,linear,1,dann:bottleneck16:linear,54,150.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S4_train_I_val_D1_2\bottleneck16\linear\dann\seed_1.pt,"[[64, 9, 0], [0, 86, 0], [1, 13, 72]]",1.0,1.0,1.0,0.9061224489795918,0.9046405436975684,0.9085088583638932
domain-adaptation,54D,S4_train_I_val_D1_2,semi,dann,opensource-core,bottleneck16,linear,2,dann:bottleneck16:linear,54,110.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S4_train_I_val_D1_2\bottleneck16\linear\dann\seed_2.pt,"[[67, 6, 0], [0, 85, 1], [3, 12, 71]]",1.0,1.0,1.0,0.9102040816326532,0.9105872358500584,0.9117560045830088
domain-adaptation,54D,S4_train_I_val_D1_2,semi,dann,opensource-core,bottleneck16,linear,3,dann:bottleneck16:linear,54,350.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S4_train_I_val_D1_2\bottleneck16\linear\dann\seed_3.pt,"[[66, 7, 0], [2, 84, 0], [1, 5, 80]]",1.0,1.0,1.0,0.9387755102040816,0.9370287777423808,0.938836603184134
domain-adaptation,54D,S4_train_I_val_D1_2,semi,dann,opensource-core,bottleneck16,linear,4,dann:bottleneck16:linear,54,60.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S4_train_I_val_D1_2\bottleneck16\linear\dann\seed_4.pt,"[[69, 3, 1], [0, 85, 1], [1, 7, 78]]",1.0,1.0,1.0,0.946938775510204,0.9468514388871192,0.9480068401721868
domain-adaptation,54D,S5_train_I_D1_val_D2_3,semi,source-only,opensource-core,bottleneck16,linear,0,source-only:bottleneck16:linear,54,30.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S5_train_I_D1_val_D2_3\bottleneck16\linear\source-only\seed_0.pt,"[[65, 4, 0], [0, 80, 1], [0, 10, 71]]",0.9861111111111112,0.9876543209876544,0.9847016828148905,0.935064935064935,0.9354088387904812,0.937513181060152
domain-adaptation,54D,S5_train_I_D1_val_D2_3,semi,source-only,opensource-core,bottleneck16,linear,1,source-only:bottleneck16:linear,54,40.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S5_train_I_D1_val_D2_3\bottleneck16\linear\source-only\seed_1.pt,"[[65, 4, 0], [0, 80, 1], [2, 13, 66]]",1.0,1.0,1.0,0.9134199134199136,0.9148327071032384,0.9155502164424836
domain-adaptation,54D,S5_train_I_D1_val_D2_3,semi,source-only,opensource-core,bottleneck16,linear,2,source-only:bottleneck16:linear,54,50.0,target validation labels,source + labeled target,source+target labeled train+validation refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S5_train_I_D1_val_D2_3\bottleneck16\linear\source-only\seed_2.pt,"[[66, 3, 0], [0, 81, 0], [0, 13, 68]]",1.0,1.0,1.0,0.9307359307359307,0.9320093039899804,0.933547271726896
