family,feature_set,split,method,method_family,representation,head,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
domain-adaptation,54D,S1_train_I_test_all,dann,opensource-core,residual-d,mlp,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.7553113553113553,0.5860805860805861,0.8717948717948718,0.10642901110156705,0.7521090534979424,0.5780606995884773,0.8694701646090536,0.10861523802643865,0.7538964562292094,0.5844410926763868,0.8718939527763058,0.1062022473738502
domain-adaptation,54D,S1_train_I_test_all,deep-coral,opensource-core,residual-d,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7728937728937729,0.7216117216117216,0.8424908424908425,0.05276505601057852,0.7695473251028806,0.7219650205761318,0.838477366255144,0.049937456517050054,0.7683562589675856,0.7166465612176806,0.8433975259663334,0.05483467166057118
domain-adaptation,54D,S1_train_I_test_all,mk-mmd,opensource-core,residual-d,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7098901098901098,0.6703296703296703,0.7362637362637363,0.02806444147894208,0.714454732510288,0.6778549382716049,0.7390689300411523,0.026595135252798267,0.710544422767597,0.6657549857549857,0.7359514687100894,0.02925140246696661
domain-adaptation,54D,S1_train_I_test_all,cdan,opensource-core,residual-d,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7912087912087913,0.73992673992674,0.8351648351648352,0.03541955971760754,0.7910236625514402,0.741898148148148,0.8328189300411523,0.03348107053642052,0.7898471085797389,0.7398169750583267,0.8326346109728017,0.03466848671881448
domain-adaptation,54D,S1_train_I_test_all,source-only,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7934065934065935,0.7619047619047619,0.8315018315018315,0.02748473477260672,0.7961934156378602,0.7659465020576132,0.8344907407407408,0.02688839937860674,0.7895732665007652,0.7510169045274703,0.8359689278512968,0.03334069614713972
domain-adaptation,54D,S1_train_I_test_all,dann,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7728937728937729,0.706959706959707,0.8644688644688645,0.06173003496832498,0.7736625514403291,0.7119341563786007,0.8605967078189302,0.058289803744707026,0.7725692947866784,0.7004542496034132,0.8666070991838682,0.0639122763786403
domain-adaptation,54D,S1_train_I_test_all,deep-coral,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8783882783882785,0.8424908424908425,0.9010989010989012,0.02351180444817763,0.8766203703703702,0.842335390946502,0.8978909465020576,0.022632210362311653,0.881569482092204,0.8481184568222568,0.9028395061728396,0.021808411188340027
domain-adaptation,54D,S1_train_I_test_all,mk-mmd,opensource-core,fusion16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8571428571428573,0.8131868131868132,0.8791208791208791,0.02654098305162901,0.8546810699588478,0.8100565843621399,0.876414609053498,0.02665637909715969,0.8592008729087353,0.8135135004073399,0.8802965699479207,0.02703105044381941
domain-adaptation,54D,S1_train_I_test_all,cdan,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8036630036630037,0.7472527472527473,0.8315018315018315,0.03442054200976852,0.8051440329218107,0.7475565843621399,0.8338477366255144,0.03526435295784979,0.8070994106132108,0.7546706961399744,0.8310048193990333,0.03171010760710466
domain-adaptation,54D,S1_train_I_test_all,source-only,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7941391941391942,0.7545787545787546,0.8351648351648352,0.03675801818110508,0.7965020576131686,0.7602880658436214,0.8353909465020576,0.03471991209355249,0.7949514979249931,0.7471960689687583,0.8344742089673783,0.037301724674078184
domain-adaptation,54D,S1_train_I_test_all,dann,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.819047619047619,0.7362637362637363,0.8717948717948718,0.051451838240053845,0.8190843621399176,0.7397119341563786,0.8681841563786009,0.04911570003551475,0.8233605790099165,0.7457791362427123,0.8726079149608562,0.04847596006041501
domain-adaptation,54D,S1_train_I_test_all,deep-coral,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.827106227106227,0.7472527472527473,0.8571428571428571,0.045486187769305145,0.8281378600823046,0.751414609053498,0.8568672839506174,0.04381869949385989,0.8311161112210602,0.7571341385655207,0.8615856526569421,0.042336330884500874
domain-adaptation,54D,S1_train_I_test_all,mk-mmd,opensource-core,fusion16,mlp,"0,1,2,3,4",0.9800000000000001,0.9333333333333332,1.0,0.02981423969999722,0.8673992673992673,0.8278388278388278,0.9084249084249084,0.03602057075147114,0.8664609053497943,0.8278034979423868,0.902906378600823,0.034213209103782144,0.8685289491667522,0.8279305171484529,0.9061732820353512,0.03487265113609512
domain-adaptation,54D,S1_train_I_test_all,cdan,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8087912087912088,0.7619047619047619,0.8534798534798534,0.04074011051545577,0.8109053497942387,0.7646604938271605,0.8546810699588477,0.03953221513238553,0.8140550515871305,0.7736957802987873,0.8570536628697666,0.039016038845952034
domain-adaptation,54D,S2_train_I_internal_val_test_all,source-only,opensource-core,residual-d,linear,"0,1,2,3,4",0.9866666666666667,0.9666666666666668,1.0,0.018257418583505474,0.7413919413919414,0.7326007326007326,0.7545787545787546,0.009551944916047854,0.7438014403292181,0.7368827160493826,0.7545010288065844,0.00806881778724962,0.7299941948779679,0.7136028528763717,0.7491771113759066,0.014630067498296907
domain-adaptation,54D,S2_train_I_internal_val_test_all,dann,opensource-core,residual-d,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.76996336996337,0.7362637362637363,0.8058608058608059,0.026210320615382147,0.765354938271605,0.7332818930041153,0.804398148148148,0.026502785725450877,0.7687521217899568,0.7338935574229691,0.8057426410367587,0.02695279673041802
domain-adaptation,54D,S2_train_I_internal_val_test_all,deep-coral,opensource-core,residual-d,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7326007326007327,0.6886446886446886,0.7802197802197802,0.044937158045367395,0.7341820987654322,0.6907150205761318,0.7813786008230452,0.04357120384382022,0.7206373156464927,0.6676788927701915,0.7765068990559186,0.0536061167503864
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd,opensource-core,residual-d,linear,"0,1,2,3,4",0.9533333333333334,0.8333333333333334,1.0,0.07302967433402215,0.8065934065934066,0.7619047619047619,0.8571428571428571,0.035362691241456905,0.8048353909465021,0.7633744855967078,0.8530092592592592,0.033197275614415135,0.8040417088964414,0.7549634489540358,0.8547837854671672,0.0367021134980371
domain-adaptation,54D,S2_train_I_internal_val_test_all,cdan,opensource-core,residual-d,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.7670329670329671,0.6703296703296703,0.8754578754578755,0.09448135535196399,0.7660493827160494,0.6765689300411523,0.867798353909465,0.08844032034093374,0.7549455642553387,0.6411596610832694,0.872859507814777,0.10373689239744165
domain-adaptation,54D,S2_train_I_internal_val_test_all,source-only,opensource-core,residual-d,mlp,"0,1,2,3,4",0.9733333333333334,0.8666666666666667,1.0,0.059628479399994376,0.7494505494505495,0.684981684981685,0.7948717948717948,0.04986261633988461,0.7525977366255144,0.6898148148148148,0.7965534979423868,0.04834385292936587,0.7472646774595841,0.6888383992464019,0.7879785698387464,0.0452518446250192
domain-adaptation,54D,S2_train_I_internal_val_test_all,dann,opensource-core,residual-d,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7926739926739927,0.7619047619047619,0.8168498168498168,0.02176329784250983,0.7938271604938272,0.7646604938271605,0.8148148148148149,0.02046883191807155,0.7916098432523476,0.7567126018595712,0.8146061287874988,0.022770833849206532
domain-adaptation,54D,S2_train_I_internal_val_test_all,deep-coral,opensource-core,residual-d,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7274725274725274,0.6410256410256411,0.7802197802197802,0.0526122611260652,0.727391975308642,0.6404320987654321,0.7800925925925926,0.052879526286498724,0.7211876143449331,0.6204116429180369,0.7756300141576215,0.05951509087866974
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd,opensource-core,residual-d,mlp,"0,1,2,3,4",0.9666666666666668,0.8333333333333334,1.0,0.07453559924999298,0.6615384615384616,0.5860805860805861,0.706959706959707,0.04808171962816235,0.6652777777777779,0.5844907407407408,0.7132201646090536,0.05039047297679401,0.6649362334116892,0.5886363636363637,0.7099288764997667,0.047935935573467446
domain-adaptation,54D,S2_train_I_internal_val_test_all,cdan,opensource-core,residual-d,mlp,"0,1,2,3,4",0.9866666666666667,0.9333333333333332,1.0,0.02981423969999724,0.7831501831501833,0.706959706959707,0.8498168498168498,0.0542940678618637,0.7819701646090536,0.7061471193415638,0.8460648148148149,0.053270754670926596,0.779130431389452,0.7025560065071595,0.8496709926812658,0.05649125073795312
domain-adaptation,54D,S2_train_I_internal_val_test_all,source-only,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7897435897435898,0.7289377289377289,0.8278388278388278,0.04652158862522056,0.7911779835390946,0.7327674897119341,0.8284465020576132,0.04421413374611228,0.783883625696756,0.7125163503000945,0.8307904983600962,0.055979815617243786
domain-adaptation,54D,S2_train_I_internal_val_test_all,dann,opensource-core,fusion16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.810989010989011,0.7545787545787546,0.8498168498168498,0.039332541232369574,0.8100308641975309,0.7590020576131687,0.847093621399177,0.03801817498983423,0.8137606698952977,0.7569573283858998,0.8527350325992112,0.0402918907722553
domain-adaptation,54D,S2_train_I_internal_val_test_all,deep-coral,opensource-core,fusion16,linear,"0,1,2,3,4",0.9666666666666668,0.8333333333333334,1.0,0.07453559924999298,0.8095238095238095,0.7106227106227107,0.8498168498168498,0.057276541286124125,0.8097993827160493,0.7186213991769547,0.8460648148148149,0.052626734563370026,0.8116275639433803,0.7073618648989646,0.8520788984398157,0.05987746042082821
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd,opensource-core,fusion16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8776556776556778,0.8498168498168498,0.9047619047619048,0.02113778468315532,0.8746399176954732,0.8505658436213991,0.9000771604938271,0.018772945352769615,0.8779581547443737,0.8497078439849459,0.905167844168988,0.021153668607738416
domain-adaptation,54D,S2_train_I_internal_val_test_all,cdan,opensource-core,fusion16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.7948717948717948,0.6959706959706959,0.8534798534798534,0.06189283973888573,0.793724279835391,0.6976594650205762,0.8553240740740741,0.06148034007402313,0.8009925448239326,0.7060730593607305,0.8590264593434066,0.059753482462813944
domain-adaptation,54D,S2_train_I_internal_val_test_all,source-only,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8058608058608059,0.7692307692307693,0.8534798534798534,0.034653640894550336,0.8054269547325104,0.7683899176954733,0.8527520576131687,0.03399309231183344,0.8067089270838551,0.7702509097665949,0.856974274250649,0.03670662454543111
domain-adaptation,54D,S2_train_I_internal_val_test_all,dann,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8087912087912088,0.7326007326007326,0.9047619047619048,0.06477408600405136,0.8082047325102881,0.737525720164609,0.9045781893004116,0.06369523598547491,0.8136607737196517,0.7442363164806064,0.9046224743681848,0.06101115671394106
domain-adaptation,54D,S2_train_I_internal_val_test_all,deep-coral,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8212454212454212,0.7948717948717948,0.8424908424908425,0.01783247098115473,0.8209104938271604,0.7965534979423868,0.8416923868312757,0.016862064200750457,0.8240297879373365,0.8011776115971697,0.8428218257742425,0.015280243331142229
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd,opensource-core,fusion16,mlp,"0,1,2,3,4",0.9466666666666667,0.7333333333333333,1.0,0.11925695879998881,0.7868131868131868,0.6446886446886447,0.8754578754578755,0.0899265534192317,0.7889146090534979,0.6612654320987654,0.8729423868312757,0.08225787563555591,0.7793669544465495,0.5926371279568706,0.877569503080339,0.1116954751194381
domain-adaptation,54D,S2_train_I_internal_val_test_all,cdan,opensource-core,fusion16,mlp,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.810989010989011,0.73992673992674,0.8608058608058609,0.04415401085803417,0.8135030864197532,0.7476851851851851,0.8622685185185185,0.041529843336308374,0.8145720626752386,0.7488232074438971,0.861074478488237,0.04106533356512186
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,source-only,opensource-core,residual-d,linear,"0,1,2,3,4",0.9866666666666667,0.9666666666666668,1.0,0.018257418583505474,0.7347985347985349,0.6996336996336996,0.7619047619047619,0.023108879553974372,0.737551440329218,0.7037037037037037,0.7620884773662552,0.021575523774273173,0.7212295729879307,0.6831378140730658,0.75488289513978,0.026766997718476154
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,dann,opensource-core,residual-d,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.7831501831501831,0.7289377289377289,0.8901098901098901,0.06600525257646074,0.7827417695473251,0.7308384773662552,0.8823302469135803,0.06172977482597197,0.7756972966811599,0.7200265019602691,0.8868057335651885,0.06909964946233538
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,deep-coral,opensource-core,residual-d,linear,"0,1,2,3,4",0.9133333333333333,0.5666666666666667,1.0,0.19379255804998177,0.6336996336996337,0.3663003663003663,0.7582417582417582,0.1624780594594643,0.6401748971193416,0.3845164609053498,0.7592592592592592,0.15564538540325726,0.6146163292327051,0.3465364247888936,0.7482273829071858,0.1693645347707428
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd,opensource-core,residual-d,linear,"0,1,2,3,4",0.9733333333333333,0.9333333333333332,1.0,0.03651483716701113,0.7926739926739927,0.7472527472527473,0.8424908424908425,0.03442054200976852,0.792798353909465,0.7488425925925926,0.8391203703703703,0.032449532521016844,0.7875006100473715,0.7405828958496535,0.8388935906116001,0.035772740036522054
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,cdan,opensource-core,residual-d,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8065934065934066,0.7655677655677655,0.8315018315018315,0.027337887409590207,0.8039351851851851,0.7655606995884773,0.8280606995884773,0.024442378679374394,0.804342709856469,0.7592299020643979,0.8354261362223164,0.030360288364336956
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,source-only,opensource-core,residual-d,mlp,"0,1,2,3,4",0.9333333333333333,0.8333333333333334,1.0,0.09128709291752767,0.7201465201465201,0.684981684981685,0.7655677655677655,0.03071248910806529,0.724562757201646,0.6930298353909464,0.7674897119341564,0.029219057901989972,0.7180593823882364,0.6843704047222136,0.7607096770092365,0.029562572477975287
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,dann,opensource-core,residual-d,mlp,"0,1,2,3,4",0.9666666666666668,0.8333333333333334,1.0,0.07453559924999298,0.7435897435897436,0.652014652014652,0.8205128205128205,0.07453109871566227,0.7457561728395062,0.6585648148148148,0.8208590534979424,0.07199332052167519,0.7443044436941296,0.6491950103379682,0.8263158166292599,0.07790713208750864
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,deep-coral,opensource-core,residual-d,mlp,"0,1,2,3,4",0.8666666666666666,0.5333333333333333,1.0,0.20548046676563253,0.7062271062271062,0.6593406593406593,0.8241758241758241,0.06951991095960355,0.712011316872428,0.6657664609053499,0.821116255144033,0.06470350759594398,0.6893580680759583,0.621354456137497,0.8232322816172851,0.08163633776192832
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd,opensource-core,residual-d,mlp,"0,1,2,3,4",0.96,0.8,1.0,0.08944271909999157,0.6791208791208792,0.6336996336996337,0.7142857142857143,0.034420542009768525,0.6856738683127572,0.6392746913580246,0.7208076131687243,0.03405402244321504,0.6804554598513634,0.6360307845671659,0.7152155065025662,0.034500679720397116
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,cdan,opensource-core,residual-d,mlp,"0,1,2,3,4",0.9666666666666668,0.8333333333333334,1.0,0.07453559924999298,0.7318681318681319,0.6886446886446886,0.7692307692307693,0.03459551341572921,0.7345164609053498,0.691358024691358,0.7690329218106996,0.032738647823147546,0.7308890713634124,0.6937480607588228,0.7668579323119705,0.031811538517654725
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,source-only,opensource-core,fusion16,linear,"0,1,2,3,4",0.9133333333333333,0.8,1.0,0.10434983894999018,0.7208791208791208,0.6703296703296703,0.7692307692307693,0.04599950938007506,0.7292438271604937,0.6842849794238682,0.7754629629629629,0.042396904330178786,0.7164086797631908,0.6663610852667671,0.7674140167779765,0.04454417811894347
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,dann,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.827106227106227,0.7509157509157509,0.8791208791208791,0.05392210138230082,0.8242798353909464,0.7433127572016461,0.880272633744856,0.056129478876206035,0.8305278275081589,0.7535893483758466,0.8829467269019077,0.054447128229642344
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,deep-coral,opensource-core,fusion16,linear,"0,1,2,3,4",0.9800000000000001,0.9,1.0,0.04472135954999579,0.8036630036630037,0.6996336996336996,0.9010989010989012,0.0830702686767786,0.8061728395061728,0.7101337448559671,0.9004629629629629,0.07822320941065793,0.80676404789429,0.6983376860257845,0.9020774736573408,0.08333809133348584
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8637362637362637,0.8205128205128205,0.8864468864468864,0.02671733703855014,0.8597736625514404,0.8202160493827161,0.8807870370370371,0.024423764575984205,0.8651579403638838,0.8228015909623765,0.8864126692414162,0.025734153695632228
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,cdan,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8388278388278387,0.7838827838827839,0.8827838827838828,0.05095394777744892,0.8389917695473251,0.7854938271604938,0.8843878600823046,0.049619173979805586,0.8420346026178102,0.7832768997931548,0.8863113210776762,0.049957809392966415
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,source-only,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8058608058608059,0.7582417582417582,0.8571428571428571,0.04248136814924249,0.8088991769547326,0.7637602880658436,0.8600823045267489,0.04186850579071272,0.8086331839436589,0.759643775052313,0.8599703361898484,0.043985980188103894
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,dann,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8336996336996337,0.8058608058608059,0.8754578754578755,0.028444349682516006,0.8331018518518519,0.8076131687242798,0.8710133744855967,0.026159980561816773,0.838274282500351,0.8127372195900846,0.8756368478653932,0.026020477978353728
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,deep-coral,opensource-core,fusion16,mlp,"0,1,2,3,4",0.9466666666666667,0.8666666666666667,1.0,0.06055300708194983,0.7487179487179486,0.663003663003663,0.8424908424908425,0.08023566838830798,0.7544753086419753,0.6728395061728395,0.842335390946502,0.07654241692045238,0.7498693761999812,0.6561432214286511,0.8481184568222568,0.08372937634162078
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd,opensource-core,fusion16,mlp,"0,1,2,3,4",0.9533333333333334,0.8666666666666667,1.0,0.06497862896539308,0.7553113553113553,0.6336996336996337,0.8498168498168498,0.10407056912574221,0.7594393004115226,0.6431327160493828,0.8486368312757202,0.09900537133751883,0.7554144932208079,0.6305716152866413,0.8533412799184612,0.1073492567838074
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,cdan,opensource-core,fusion16,mlp,"0,1,2,3,4",0.9666666666666668,0.8666666666666667,1.0,0.05773502691896256,0.7875457875457876,0.6776556776556777,0.9010989010989012,0.09050658681762519,0.791795267489712,0.6847993827160495,0.9030349794238682,0.08854701319886646,0.7911385448942739,0.6809046305343412,0.9033144968485112,0.09025283439601046
domain-adaptation,54D,S4_train_I_val_D1_2,source-only,opensource-core,residual-d,linear,"0,1,2,3,4",0.9965517241379309,0.9827586206896552,1.0,0.007710579232757861,0.8677551020408163,0.8285714285714286,0.8938775510204081,0.029234293190971372,0.8701391101199958,0.831687373898269,0.8950833598810662,0.028310599870251845,0.8670824721899297,0.8236163297525972,0.8951238637217339,0.032774459521906926
domain-adaptation,54D,S4_train_I_val_D1_2,dann,opensource-core,residual-d,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9102040816326532,0.889795918367347,0.9224489795918368,0.012907255755789344,0.909482850164596,0.8884464266751619,0.9215249017733884,0.013193470026783904,0.9117620106403859,0.8937114986315908,0.9224849446406332,0.011401886306720605
domain-adaptation,54D,S4_train_I_val_D1_2,deep-coral,opensource-core,residual-d,linear,"0,1,2,3,4",0.9965517241379309,0.9827586206896552,1.0,0.007710579232757861,0.896326530612245,0.8653061224489796,0.9224489795918368,0.02685825938997898,0.8957523627482212,0.8665710948285016,0.9208346607199746,0.025268326787861537,0.895879302764919,0.8637166916194631,0.922581019102802,0.02790700949344754
domain-adaptation,54D,S4_train_I_val_D1_2,mk-mmd,opensource-core,residual-d,linear,"0,1,2,3,4",0.9965517241379309,0.9827586206896552,1.0,0.007710579232757861,0.9012244897959183,0.8816326530612245,0.9183673469387756,0.016679850401389893,0.9016459594350643,0.8820749707974939,0.9183391738345548,0.016168009566184784,0.9000293440928463,0.8804611062675579,0.917742699972055,0.016925199940430107
domain-adaptation,54D,S4_train_I_val_D1_2,cdan,opensource-core,residual-d,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8759183673469387,0.8571428571428571,0.9061224489795918,0.021130088335583323,0.8777529998938091,0.8608898800042476,0.9060210258043964,0.019723861385788997,0.8747100699550157,0.8550706625446455,0.907885223960874,0.022310347347665124
domain-adaptation,54D,S4_train_I_val_D1_2,source-only,opensource-core,residual-d,mlp,"0,1,2,3,4",0.9896551724137932,0.9482758620689656,1.0,0.023131737698273633,0.8587755102040816,0.8408163265306122,0.8775510204081632,0.01488537349290651,0.8614739301263672,0.8453860040352553,0.879579483912074,0.01457018328345895,0.8564888972340367,0.8361200101703533,0.8758486829075065,0.016492206622903544
domain-adaptation,54D,S4_train_I_val_D1_2,dann,opensource-core,residual-d,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8367346938775511,0.7755102040816326,0.889795918367347,0.043002668378990784,0.8388871190400339,0.7812997769990443,0.8905171498354041,0.04038514204756123,0.8318008310841343,0.7599374915716745,0.889113089054797,0.04968001055393495
domain-adaptation,54D,S4_train_I_val_D1_2,deep-coral,opensource-core,residual-d,mlp,"0,1,2,3,4",0.993103448275862,0.9655172413793104,1.0,0.015421158465515774,0.9044897959183675,0.9020408163265308,0.9061224489795918,0.0022356022755311952,0.9014335775724753,0.8973133694382499,0.9039503026441542,0.002728766027690355,0.9041205997931197,0.9018626402491652,0.9067784588049268,0.002093038476550273
domain-adaptation,54D,S4_train_I_val_D1_2,mk-mmd,opensource-core,residual-d,mlp,"0,1,2,3,4",0.9655172413793103,0.9310344827586208,1.0,0.03225566712736151,0.8734693877551021,0.8530612244897959,0.889795918367347,0.014430750636460146,0.8748752256557288,0.8549431878517574,0.8912073908888182,0.01424209041258627,0.8723592080624695,0.8517453027256948,0.8876423470372515,0.014678660063715434
domain-adaptation,54D,S4_train_I_val_D1_2,cdan,opensource-core,residual-d,mlp,"0,1,2,3,4",0.9965517241379309,0.9827586206896552,1.0,0.007710579232757861,0.8726530612244898,0.8489795918367347,0.8857142857142857,0.014256529956386117,0.8732717425931826,0.8496867367526812,0.8873314218965701,0.01441947140526383,0.8720843022919146,0.8461815669763818,0.8865214623466682,0.015956780241470535
domain-adaptation,54D,S4_train_I_val_D1_2,source-only,opensource-core,fusion16,linear,"0,1,2,3,4",0.9965517241379309,0.9827586206896552,1.0,0.007710579232757861,0.9020408163265307,0.889795918367347,0.9183673469387756,0.01353724404226699,0.9026972496548795,0.88982690878199,0.9183391738345548,0.013336614987045189,0.9052408322424134,0.8933228769779425,0.9214598997493734,0.012890466021326229
domain-adaptation,54D,S4_train_I_val_D1_2,dann,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9102040816326532,0.8530612244897959,0.9428571428571428,0.03414938883812553,0.91017309121801,0.8563236699585856,0.9415949877880428,0.032166791383105534,0.9117569710159572,0.8566971616232699,0.9437078624928734,0.032928533641834457
domain-adaptation,54D,S4_train_I_val_D1_2,deep-coral,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9289795918367346,0.9183673469387756,0.9387755102040816,0.007414653928401956,0.928692789635765,0.9176489327811403,0.9384092598492088,0.007612767799508727,0.9306370853116246,0.9208879493264028,0.9402279708651342,0.0069801860186582635
domain-adaptation,54D,S4_train_I_val_D1_2,mk-mmd,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9183673469387756,0.9061224489795918,0.9306122448979592,0.011544600509168152,0.9175108845704578,0.90326006159074,0.9292768397578848,0.012252783904167468,0.9189330605722091,0.9059934318555009,0.9319533425749004,0.011747396909733686
domain-adaptation,54D,S4_train_I_val_D1_2,cdan,opensource-core,fusion16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9102040816326531,0.8816326530612245,0.9346938775510204,0.01936088363368396,0.9112774769034726,0.8848359350111501,0.9359137729637887,0.018526323510329783,0.91342571666356,0.8858281172464783,0.9371023584258878,0.0187050846262275
domain-adaptation,54D,S4_train_I_val_D1_2,source-only,opensource-core,fusion16,mlp,"0,1,2,3,4",0.9965517241379309,0.9827586206896552,1.0,0.007710579232757861,0.9077551020408163,0.8734693877551021,0.9387755102040816,0.026546306190218905,0.9096421365615376,0.8777742380800678,0.9377190187957948,0.024853652288613606,0.9100849461353505,0.8760025920818073,0.9400787807678944,0.02587784550615936
domain-adaptation,54D,S4_train_I_val_D1_2,dann,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8938775510204083,0.8734693877551021,0.9102040816326532,0.01707469441906281,0.8961877455665286,0.8743230328129977,0.9126579590103004,0.01635040359517487,0.8959174560048814,0.8764097713677547,0.9127747965237764,0.0175462611022657
domain-adaptation,54D,S4_train_I_val_D1_2,deep-coral,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8800000000000001,0.8408163265306122,0.9020408163265308,0.023197179164706695,0.882457258150154,0.8467664861420835,0.9028352978655624,0.021167597996833952,0.8830710329628346,0.8421879863056333,0.9039102258997548,0.023834960489061117
domain-adaptation,54D,S4_train_I_val_D1_2,mk-mmd,opensource-core,fusion16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8906122448979591,0.8816326530612245,0.9102040816326532,0.011326070959601378,0.8899118615270256,0.8813847297440799,0.908516512689816,0.010704143321073804,0.8926915972888644,0.8862359320856186,0.9115005288227952,0.010645908769205324
