family,feature_set,split,method,method_family,representation,head,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,dann,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8161172161172161,0.7692307692307693,0.8937728937728938,0.046723044018808335,0.8141203703703702,0.7613168724279835,0.8915895061728395,0.048192856021721985,0.8180790580692445,0.771747367600791,0.8940417438527355,0.046138719412449195
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,deep-coral,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8593406593406593,0.8168498168498168,0.8974358974358975,0.035570764502007975,0.8580504115226338,0.8180298353909464,0.8918467078189302,0.03284881411099249,0.8593144309723495,0.8199470070159726,0.8980696546998973,0.03568802738549255
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8893772893772894,0.8644688644688645,0.9084249084249084,0.016258125290235993,0.889351851851852,0.8683127572016461,0.9080504115226335,0.014447602788170253,0.8906097203108944,0.8669314863044812,0.9101488637691024,0.01606196992148221
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,cdan,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.871062271062271,0.8534798534798534,0.8827838827838828,0.013308353204824128,0.8703189300411521,0.8501800411522634,0.8850308641975309,0.014519539798403534,0.8739855481320706,0.8562312312312312,0.8859863945578231,0.01290353916113936
classical-ml,54D,S4_train_I_val_D1_2,logistic-regression,classical-ml,raw,logistic-regression,-1,1.0,1.0,1.0,,0.9183673469387756,0.9183673469387756,0.9183673469387756,,0.9197196559413826,0.9197196559413826,0.9197196559413826,,0.9217000722282412,0.9217000722282412,0.9217000722282412,
classical-ml,54D,S4_train_I_val_D1_2,mlp,classical-ml,raw,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8228571428571427,0.7918367346938775,0.8408163265306122,0.020530247085647848,0.8277795476266328,0.7981841350748646,0.8453860040352553,0.019483742670046263,0.8185067301041491,0.7851535328076893,0.8396490902072644,0.023079887444244683
domain-adaptation,54D,S4_train_I_val_D1_2,source-only,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9896551724137932,0.9482758620689656,1.0,0.023131737698273633,0.9044897959183673,0.889795918367347,0.9142857142857144,0.008942409102125176,0.9055750238929596,0.8932781140490601,0.9144632048423066,0.007649949289420916,0.9070942267382247,0.8889736252640116,0.9175977219045104,0.010704580566322286
domain-adaptation,54D,S4_train_I_val_D1_2,dann,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9281632653061225,0.9061224489795918,0.946938775510204,0.018615108981210347,0.9272273547839017,0.9046405436975684,0.9468514388871192,0.018468202769180837,0.9294647210087505,0.9085088583638932,0.9480068401721868,0.018027507431594945
domain-adaptation,54D,S4_train_I_val_D1_2,deep-coral,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9224489795918368,0.8938775510204081,0.9387755102040816,0.01707469441906278,0.9218009981947543,0.89232239566741,0.9377190187957948,0.01745982851041925,0.9248242615537183,0.8967456927357139,0.9404278094864136,0.016659348197768806
domain-adaptation,54D,S4_train_I_val_D1_2,mk-mmd,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9896551724137932,0.9482758620689656,1.0,0.023131737698273633,0.9199999999999999,0.8816326530612245,0.9346938775510204,0.021904339371426513,0.9198895614314537,0.882765211850908,0.9345332908569608,0.021173889878720903,0.9218764035237663,0.8842332344582963,0.9355430309536588,0.021407027556570698
domain-adaptation,54D,S4_train_I_val_D1_2,cdan,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9134693877551021,0.8938775510204081,0.9346938775510204,0.014545738515269774,0.912169480726346,0.89232239566741,0.9317723266433046,0.014075376612388436,0.9155058513266807,0.8967467911111617,0.9354562987673504,0.013728948188903186
