family,feature_set,split,mode,method,method_family,representation,head,seed,model,input_dimensions,selected_epoch,selection_usage,label_usage,final_training,checkpoint,confusion_matrix,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
domain-adaptation,54D,S1_train_I_test_all,uda,mk-mmd,opensource-core,bottleneck16,linear,3,mk-mmd:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\mk-mmd\seed_3.pt,"[[68, 13, 0], [2, 93, 1], [1, 3, 92]]",1.0,1.0,1.0,0.9267399267399268,0.9221965020576132,0.9251996296069894
domain-adaptation,54D,S1_train_I_test_all,uda,mk-mmd,opensource-core,bottleneck16,linear,4,mk-mmd:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\mk-mmd\seed_4.pt,"[[61, 19, 1], [2, 93, 1], [1, 11, 84]]",1.0,1.0,1.0,0.8717948717948718,0.8656121399176954,0.8712571006383004
domain-adaptation,54D,S1_train_I_test_all,uda,cdan,opensource-core,bottleneck16,linear,0,cdan:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\cdan\seed_0.pt,"[[75, 4, 2], [2, 91, 3], [0, 5, 91]]",1.0,1.0,1.0,0.9413919413919414,0.9405864197530864,0.9419517279485632
domain-adaptation,54D,S1_train_I_test_all,uda,cdan,opensource-core,bottleneck16,linear,1,cdan:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\cdan\seed_1.pt,"[[66, 15, 0], [0, 95, 1], [0, 24, 72]]",1.0,1.0,1.0,0.8534798534798534,0.851466049382716,0.8587057153707894
domain-adaptation,54D,S1_train_I_test_all,uda,cdan,opensource-core,bottleneck16,linear,2,cdan:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\cdan\seed_2.pt,"[[55, 24, 2], [0, 95, 1], [0, 9, 87]]",1.0,1.0,1.0,0.8681318681318682,0.8582818930041153,0.8641738953645975
domain-adaptation,54D,S1_train_I_test_all,uda,cdan,opensource-core,bottleneck16,linear,3,cdan:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\cdan\seed_3.pt,"[[76, 3, 2], [0, 95, 1], [1, 21, 74]]",0.9666666666666668,0.9722222222222222,0.9721739130434782,0.8974358974358975,0.8995627572016461,0.9004125253893411
domain-adaptation,54D,S1_train_I_test_all,uda,cdan,opensource-core,bottleneck16,linear,4,cdan:bottleneck16:linear,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\linear\cdan\seed_4.pt,"[[68, 12, 1], [3, 93, 0], [1, 14, 81]]",1.0,1.0,1.0,0.8864468864468864,0.8840020576131687,0.8880391758364059
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,mlp,0,source-only:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\source-only\seed_0.pt,"[[69, 12, 0], [0, 95, 1], [1, 78, 17]]",1.0,1.0,1.0,0.663003663003663,0.6728395061728395,0.6294364941443976
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,mlp,1,source-only:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\source-only\seed_1.pt,"[[66, 15, 0], [0, 96, 0], [17, 38, 41]]",1.0,1.0,1.0,0.7435897435897436,0.7472993827160495,0.7290305547178814
domain-adaptation,54D,S1_train_I_test_all,uda,source-only,opensource-core,bottleneck16,mlp,2,source-only:bottleneck16:mlp,54,400.0,fixed hyperparameters; target labels prohibited for UDA selection,source labels only,selected checkpoint; no refit,D:\thesis\tables\opensource_da_48_54\checkpoints\54D\S1_train_I_test_all\bottleneck16\mlp\source-only\seed_2.pt,"[[62, 18, 1], [1, 93, 2], [28, 43, 25]]",1.0,1.0,1.0,0.6593406593406593,0.6648662551440329,0.6227186796699175
