family,feature_set,split,method,method_family,representation,head,seed_count,seeds,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
classical-ml,48D,S1_train_I_test_all,logistic-regression,classical-ml,raw,logistic-regression,1,-1,0.9333333333333332,,0.9333333333333332,0.9333333333333332,0.706959706959707,,0.706959706959707,0.706959706959707,0.7067901234567903,,0.7067901234567903,0.7067901234567903,0.7149530651174386,,0.7149530651174386,0.7149530651174386
classical-ml,48D,S1_train_I_test_all,mlp,classical-ml,raw,mlp,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.6981684981684981,0.02081798130165979,0.6776556776556777,0.7289377289377289,0.6957561728395061,0.019704567093738457,0.6751543209876543,0.7263374485596708,0.7003642180023112,0.02156208830337339,0.6799729628997921,0.733559688426708
domain-adaptation,48D,S1_train_I_test_all,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.6505494505494506,0.05684150839932841,0.6117216117216118,0.7435897435897436,0.6475308641975308,0.056086134851860155,0.606224279835391,0.7389403292181069,0.651842576526643,0.05510879290036696,0.6143984220907298,0.7423189936402372
domain-adaptation,48D,S1_train_I_test_all,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9866666666666667,0.018257418583505474,0.9666666666666668,1.0,0.6813186813186813,0.10431524443881422,0.5311355311355311,0.7948717948717948,0.6723251028806584,0.09993401076787747,0.524048353909465,0.7811213991769548,0.6727643277099842,0.0952491916965434,0.5312859443294226,0.7786263444158181
domain-adaptation,48D,S1_train_I_test_all,deep-coral,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.7472527472527473,0.04740724947086001,0.673992673992674,0.7985347985347986,0.7409979423868313,0.04636367339379664,0.6697530864197531,0.7929526748971193,0.74402701566722,0.046543958234095205,0.6756189054877894,0.7969788860668565
domain-adaptation,48D,S1_train_I_test_all,mk-mmd,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.7714285714285715,0.028795961915067458,0.7472527472527473,0.8205128205128205,0.7610853909465021,0.02888261113100271,0.7398405349794238,0.8112139917695473,0.76424975817744,0.029035728831576943,0.7444852129728045,0.8150550887554932
domain-adaptation,48D,S1_train_I_test_all,cdan,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9933333333333334,0.014907119849998545,0.9666666666666668,1.0,0.7435897435897436,0.045604027831460565,0.6959706959706959,0.8131868131868132,0.7310956790123456,0.04687319179168623,0.6796553497942387,0.8036265432098766,0.7316690871642005,0.04861009043517191,0.6768823838997831,0.8085551334137803
domain-adaptation,48D,S1_train_I_test_all,source-only,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.6586080586080587,0.06805699142853387,0.5897435897435898,0.7545787545787546,0.6556841563786009,0.06925692226473788,0.5892489711934156,0.7532150205761318,0.6564080166348315,0.07167908470592008,0.579467196328278,0.7589573329153545
domain-adaptation,48D,S1_train_I_test_all,dann,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.7699633699633699,0.013558062654448167,0.7582417582417582,0.7912087912087912,0.7627829218106996,0.016533485179940015,0.7425411522633745,0.7834362139917695,0.7642233655422022,0.018265730505544978,0.7384608766722588,0.784140834290088
domain-adaptation,48D,S1_train_I_test_all,deep-coral,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.701098901098901,0.05498167277980598,0.6190476190476191,0.7582417582417582,0.6966049382716049,0.05313730919983428,0.6157407407407408,0.7451131687242798,0.7008760151310434,0.05169424381714355,0.622839392377936,0.7488163177818351
domain-adaptation,48D,S1_train_I_test_all,mk-mmd,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9933333333333334,0.014907119849998545,0.9666666666666668,1.0,0.7304029304029304,0.05368518962801832,0.6410256410256411,0.7728937728937729,0.7193672839506172,0.05413074300496817,0.6327160493827161,0.7680041152263374,0.7196751331985738,0.05356639198662364,0.6386530992127143,0.7707796104380544
domain-adaptation,48D,S1_train_I_test_all,cdan,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9866666666666667,0.02981423969999724,0.9333333333333332,1.0,0.7106227106227105,0.09363972916603819,0.5641025641025641,0.8241758241758241,0.7006172839506174,0.09786125500937898,0.549511316872428,0.8224022633744856,0.7043098496078157,0.09515887622267369,0.5581089141442762,0.824388978350331
classical-ml,48D,S2_train_I_internal_val_test_all,logistic-regression,classical-ml,raw,logistic-regression,1,-1,0.8,,0.8,0.8,0.608058608058608,,0.608058608058608,0.608058608058608,0.6078960905349794,,0.6078960905349794,0.6078960905349794,0.6105555010839843,,0.6105555010839843,0.6105555010839843
classical-ml,48D,S2_train_I_internal_val_test_all,mlp,classical-ml,raw,mlp,5,"0,1,2,3,4",1.0,0.0,1.0,1.0,0.6981684981684981,0.02081798130165979,0.6776556776556777,0.7289377289377289,0.6957561728395061,0.019704567093738457,0.6751543209876543,0.7263374485596708,0.7003642180023112,0.02156208830337339,0.6799729628997921,0.733559688426708
domain-adaptation,48D,S2_train_I_internal_val_test_all,source-only,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9200000000000002,0.07673909622147557,0.8333333333333334,1.0,0.6278388278388279,0.05261226112606523,0.5641025641025641,0.684981684981685,0.6290895061728394,0.055805526640929824,0.5655864197530863,0.6878858024691358,0.6279917481560873,0.05473781724510814,0.5713646256868699,0.6895241837770573
