feature_set,split,method,model,classifier_strategy,model_path,balanced_accuracy,balanced_accuracy_std,accuracy,macro_f1
48D,S7,logistic-regression,LR,raw LR,raw features -> sklearn Logistic Regression,0.9812206572769954,,0.9804878048780488,0.9812057441598836
48D,S7,mlp,sklearn MLP,raw MLP,raw features -> sklearn MLP,0.9356136820925556,0.0095945865773398,0.9375609756097564,0.93789665981486
48D,S7,source-only,No-DA NN,MLP head,bottleneck16 -> neural MLP head,0.9176689768239064,0.0142592185557751,0.918048780487805,0.9189905226324638
48D,S7,dann,DANN,MLP head,bottleneck16 -> neural MLP head,0.959713838587078,0.0195353317368226,0.96,0.9602903835267548
48D,S7,deep-coral,Deep CORAL,MLP head,bottleneck16 -> neural MLP head,0.9541992696922276,0.0181760402790977,0.9541463414634146,0.9548342701875808
48D,S7,mk-mmd,MK-MMD,MLP head,bottleneck16 -> neural MLP head,0.939399359117669,0.0143668874868854,0.9395121951219512,0.94000172625805
48D,S7,cdan,CDAN,MLP head,bottleneck16 -> neural MLP head,0.942782621655861,0.0269462625406591,0.944390243902439,0.9445125965009314
54D,S1,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8408179012345679,0.0221308154636527,0.8410256410256409,0.8447211305294455
54D,S1,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8309670781893004,0.0671067510443531,0.8307692307692308,0.8302135184126916
54D,S1,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.8825360082304525,0.0203925792518812,0.8857142857142858,0.8871306809353634
54D,S2,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8851594650205762,0.0305564323667687,0.8864468864468865,0.887307229507875
54D,S2,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.886522633744856,0.0281304710300968,0.8893772893772892,0.8888857663204076
54D,S2,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.884619341563786,0.0424541878433849,0.887912087912088,0.8880303732731176
54D,S3,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8660751028806585,0.0368360665076852,0.8673992673992675,0.8680397823970096
54D,S3,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.85815329218107,0.0111118850705905,0.8608058608058607,0.8630792525379747
54D,S3,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.877829218106996,0.0338220164609053,0.8791208791208792,0.8799702694345344
54D,S4,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9096208983752788,0.0358073592260957,0.9102040816326532,0.9124134464183
54D,S4,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9205267070192203,0.0209456194690305,0.9208163265306124,0.9227623981420064
54D,S4,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.917925029202506,0.0122790310018868,0.9183673469387756,0.9206434606082428
54D,S5,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9295043836106638,0.0253594391862389,0.9290043290043288,0.9308096762046296
54D,S5,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9102880658436212,0.0225831585231545,0.909090909090909,0.9112361540867508
54D,S5,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.9213812846663088,0.0238674677541099,0.9212121212121211,0.9230523051319725
54D,S6,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9595946046650272,0.0184749014884459,0.96,0.9605609401974282
54D,S6,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9517400700499292,0.0106588244966974,0.951219512195122,0.9515000635670984
54D,S6,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.945733661226619,0.0172608219315898,0.946341463414634,0.9464800208938652
54D,S7,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9463149265966166,0.0123748507604735,0.9473170731707315,0.9479640860143274
54D,S7,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9412772933899692,0.0167253203358177,0.9414634146341464,0.942193646111592
54D,S7,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.9466726283627692,0.0160314659815838,0.9473170731707315,0.947536377336998
48D,S1,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.7294495884773663,0.071605799762597,0.7384615384615385,0.7320011733035894
48D,S1,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.6852880658436213,0.1009290933761071,0.6974358974358974,0.6892773439457947
48D,S1,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.6984825102880658,0.0665648469068749,0.7113553113553113,0.6985418485478607
48D,S2,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.7040637860082304,0.0593941895343333,0.7084249084249084,0.706018562756436
48D,S2,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.7609567901234567,0.0706705928893057,0.7677655677655677,0.7659027781182325
48D,S2,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.6994598765432098,0.0780361725964103,0.7069597069597069,0.7021433870397489
48D,S3,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.7362911522633745,0.0618141096209319,0.7443223443223442,0.738640950186355
48D,S3,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.7666152263374486,0.0600391229539273,0.7714285714285714,0.7682207035271796
48D,S3,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.7408179012345679,0.0665363309277971,0.7501831501831501,0.7438805592423332
48D,S4,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.880365296803653,0.0175066306207509,0.8824489795918368,0.8823890556675831
48D,S4,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8764574705320166,0.03953558038777,0.8767346938775511,0.8774398898316831
48D,S4,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.88944462142933,0.0240618375441781,0.8914285714285715,0.8913192194433608
48D,S5,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8913938092682054,0.0270043182568014,0.8917748917748917,0.8932689552440388
48D,S5,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.8795491143317229,0.0350979482363407,0.8805194805194805,0.882584005887401
48D,S5,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.9075326534263732,0.017319236125177,0.9064935064935064,0.907299478180914
48D,S6,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.937163723079216,0.0365517338446896,0.937560975609756,0.9383431706598688
48D,S6,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9264773828154108,0.0178996450684646,0.9268292682926828,0.9273901078850784
48D,S6,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.9308145167300096,0.0339196982162582,0.9317073170731708,0.9319000975655156
48D,S7,c-dann,C-DANN,MLP head,bottleneck16 -> neural MLP head,0.9639466428198824,0.0138405352469371,0.9639024390243902,0.9644393851318392
48D,S7,cdan+c-dann,CDAN+C-DANN,MLP head,bottleneck16 -> neural MLP head,0.939861390565616,0.0217273076933597,0.9404878048780488,0.9408698058540848
48D,S7,mk-mmd+cdan,MK-MMD+CDAN,MLP head,bottleneck16 -> neural MLP head,0.941977792682018,0.0214626622834059,0.942439024390244,0.94297891064726
