feature_set,split,method,model,classifier_strategy,model_path,balanced_accuracy,balanced_accuracy_std,accuracy,macro_f1
48D,S2,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7564814814814815,0.0797936033865636,0.7626373626373626,0.7625284617007152
48D,S2,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.6898405349794239,0.054858871252646,0.6945054945054945,0.696128819474469
48D,S2,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.6921810699588478,0.0475108774594202,0.6967032967032967,0.6951193578878042
48D,S2,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.6868827160493828,0.0513162727341939,0.6945054945054945,0.6910523589407089
48D,S2,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.6752057613168725,0.0200816269233783,0.6783882783882784,0.6762660006422919
48D,S3,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7313786008230452,0.0515707259315996,0.7347985347985347,0.7320915409934295
48D,S3,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.6760545267489712,0.0861133043648394,0.6776556776556777,0.680365557513539
48D,S3,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7550668724279836,0.0639587502102611,0.7589743589743589,0.7575156988083607
48D,S3,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.6622685185185185,0.0653557556231614,0.6681318681318682,0.6659456390533861
48D,S3,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7026748971193416,0.0534033402292174,0.7069597069597069,0.7057998732815737
48D,S3,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7213477366255144,0.0982897108505117,0.7274725274725276,0.7223059766801675
48D,S3,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.6339506172839505,0.1158653664313124,0.6329670329670329,0.6335941289455671
48D,S4,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8556971434639481,0.0526759389513284,0.856326530612245,0.8569016951730013
48D,S4,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8545078050334501,0.0369279898757863,0.8555102040816326,0.8585829534957089
48D,S4,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8550069024105342,0.0167839377636982,0.856326530612245,0.8580214033402495
48D,S4,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8685143888711904,0.034533296571417,0.8693877551020408,0.8705704263287093
48D,S4,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8704258256344908,0.012540796060161,0.8718367346938776,0.8738324514290164
48D,S4,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8611022618668365,0.0606639918616052,0.8644897959183673,0.8651727237193771
48D,S4,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7958691727726451,0.0428216921931736,0.793469387755102,0.7931896908466116
48D,S5,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8541420647700841,0.0255610612600625,0.8545454545454545,0.8576748493607728
48D,S5,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8700662014671675,0.0514423362269597,0.8675324675324676,0.8695921149285566
48D,S5,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8725711218464841,0.0283854826085235,0.8727272727272727,0.8754763714714958
48D,S5,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8757917337627482,0.0386639891786412,0.8744588744588745,0.8769844068232358
48D,S5,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9015924136697082,0.0292748131444409,0.9012987012987016,0.9032457179797668
48D,S5,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8894614421184468,0.0223594195007815,0.89004329004329,0.8919745640614234
48D,S5,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8557881553050635,0.0276356226888829,0.8528138528138527,0.8546690950092776
48D,S6,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9315299202623146,0.0308114032625564,0.9317073170731708,0.9332807613087905
48D,S6,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9202474103882554,0.0245817419742942,0.9209756097560976,0.9217688001394118
48D,S6,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9195469110962068,0.0112726218837993,0.9200000000000002,0.9209539848662462
48D,S6,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9322304195543633,0.0115020764394348,0.9326829268292682,0.9337414411819208
48D,S6,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9332886206125643,0.0126312227120766,0.9336585365853658,0.9351259357775628
48D,S6,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.929637081749758,0.0135405658433923,0.9307317073170732,0.9314313985990058
48D,S6,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9145092778895596,0.0238440712183324,0.9141463414634146,0.9155758807147808
48D,S7,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9487890304791712,0.0060153428739613,0.9492682926829268,0.9503222221051556
48D,S7,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9360906177807587,0.012187645725376,0.937560975609756,0.9383759363725016
48D,S7,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9299947835159104,0.0130198583897321,0.9307317073170732,0.9315586083765114
48D,S7,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.938683955585364,0.0046581414068094,0.9395121951219514,0.940569649115049
48D,S7,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.937879126611521,0.0105563431099718,0.9375609756097564,0.9390985955262916
48D,S7,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9217676428944032,0.0128713022305517,0.9229268292682928,0.9238436371061468
48D,S7,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9284745510097622,0.0153608967086432,0.9287804878048782,0.9299000361128208
54D,S1,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.801954732510288,0.0335262370343534,0.8021978021978022,0.8065163541093749
54D,S1,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8358024691358026,0.0488675005347273,0.8373626373626374,0.8405226647474185
54D,S1,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8007458847736626,0.0921878926546028,0.8014652014652015,0.7970220309134853
54D,S1,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8277006172839506,0.0273187318942382,0.8300366300366301,0.8329187006048832
54D,S1,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8127057613168726,0.0241835548844959,0.8124542124542126,0.8163593893884918
54D,S1,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8629629629629629,0.028030200729131,0.8652014652014653,0.8677437638086971
54D,S1,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7382201646090535,0.0447329048435888,0.7333333333333333,0.7205455183338604
54D,S2,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8545781893004115,0.0315870691340731,0.8556776556776559,0.8581208409961786
54D,S2,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7776748971193416,0.0347271515705409,0.7750915750915751,0.7735978664478089
54D,S2,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8468621399176953,0.0463510443033503,0.8483516483516483,0.8496065245377522
54D,S2,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8194444444444443,0.0681901544142053,0.8205128205128205,0.821649350016175
54D,S2,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8037037037037036,0.049485974354325,0.8014652014652015,0.8012657273838535
54D,S2,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8423353909465021,0.0316446882699697,0.8424908424908425,0.8458329373733859
54D,S2,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7906121399176954,0.0478646838752339,0.789010989010989,0.7883950590525021
54D,S3,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8440843621399177,0.0475126178891557,0.8454212454212454,0.8479497494085914
54D,S3,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8382201646090536,0.0308873637767163,0.8388278388278388,0.842640584235237
54D,S3,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.831764403292181,0.0301400111346074,0.832967032967033,0.8360033984062737
54D,S3,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7912037037037037,0.0134345088887453,0.7919413919413919,0.7936857202445944
54D,S3,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.842772633744856,0.0390475175123327,0.8432234432234432,0.8440387112201012
54D,S3,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8532150205761317,0.0308747249278684,0.8527472527472527,0.856375623804926
54D,S3,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8026748971193415,0.026683136824372,0.8014652014652015,0.8039629389247935
54D,S4,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8998194754167994,0.036473365796696,0.8995918367346938,0.9025644379916288
54D,S4,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8971328448550494,0.0142607838003928,0.8963265306122448,0.8991539347455267
54D,S4,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9090368482531592,0.0205824694140154,0.9085714285714286,0.9116010414769772
54D,S4,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8774769034724436,0.0448062596113251,0.8759183673469388,0.8788167178155322
54D,S4,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.914877349474355,0.0133410427177065,0.9142857142857144,0.9171935735824585
54D,S4,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9049697355845812,0.012135734996743,0.9053061224489796,0.9077184331934834
54D,S4,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8906233407666985,0.0152499568587467,0.8881632653061224,0.8917751347123339
54D,S5,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9136876006441224,0.0154561826999352,0.9134199134199136,0.9163736139153256
54D,S5,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.911755233494364,0.01479412050613,0.9116883116883115,0.9142565260206638
54D,S5,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9021291823224192,0.0165887664863113,0.9021645021645022,0.9051419058347416
54D,S5,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9092860976918948,0.0148446700401143,0.909090909090909,0.9122844439800736
54D,S5,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9256396493111472,0.008001274543946,0.9255411255411256,0.9281828784247652
54D,S5,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9308284129540167,0.011271147647069,0.9316017316017317,0.9334280582246672
54D,S5,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9107174807657898,0.0127951756513015,0.909090909090909,0.9126606171395768
54D,S6,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.957940233996572,0.0168660593439131,0.9590243902439024,0.9594917877860948
54D,S6,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9537223340040242,0.0144277934127894,0.9541463414634146,0.9548594627993564
54D,S6,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9495044340114764,0.0145575597878273,0.9492682926829268,0.9499630128376838
54D,S6,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9499515612191668,0.0151581142696953,0.951219512195122,0.9512563868874852
54D,S6,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9578359043147774,0.0099228554389123,0.9580487804878048,0.9588759127220748
54D,S6,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9492510619271182,0.0022615680610319,0.9502439024390243,0.9507924758845532
54D,S6,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.964065876741933,0.0187788547802286,0.9639024390243902,0.9648363547017064
54D,S7,c-dann,C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.945614427304568,0.0169880064271959,0.9463414634146344,0.9473831978498106
54D,S7,cdan,CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.940800357701766,0.0208981552114258,0.9414634146341464,0.9422491228201986
54D,S7,cdan+c-dann,CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9498472315373722,0.0146937215240685,0.9502439024390243,0.951153889491587
54D,S7,dann,DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.943960056636113,0.0139050451198251,0.9453658536585364,0.9459726687644
54D,S7,deep-coral,Deep CORAL + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.961234071093226,0.0207057261691411,0.9619512195121952,0.9622694555836352
54D,S7,mk-mmd,MK-MMD + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9511289961994188,0.0197338698075465,0.9521951219512196,0.9523961507787494
54D,S7,source-only,No-DA NN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9590133392950292,0.0115823544734604,0.9590243902439024,0.9600875185906552
48D,S1,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7364454732510288,0.0442914191546085,0.7428571428571428,0.7423422172912435
48D,S1,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7049125514403292,0.0425112385559764,0.7113553113553113,0.7116843833797157
48D,S1,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7483281893004116,0.0700686868458809,0.7545787545787546,0.7527295389071817
48D,S2,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7095164609053497,0.0561850505464708,0.7201465201465201,0.713560100427904
48D,S2,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.6947788065843621,0.0653786019036904,0.7025641025641025,0.7010235583159588
48D,S2,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7081275720164609,0.1041482719494873,0.715018315018315,0.7137005336999737
48D,S3,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7821502057613168,0.0367481211652666,0.7875457875457876,0.788961002655627
48D,S3,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7149948559670782,0.0370520374287336,0.7230769230769231,0.7212455010589445
48D,S3,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.7183899176954733,0.1171693736439894,0.7238095238095238,0.7233890134914388
48D,S4,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.877179568864819,0.0295287986969643,0.8783673469387756,0.880067823816524
48D,S4,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8501645959435065,0.0132307891861088,0.8522448979591838,0.8538274547108863
48D,S4,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.854836996920463,0.0359986082407884,0.8546938775510202,0.8579887860195224
48D,S5,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8901055645016998,0.0073667573017837,0.8917748917748918,0.8939354554283454
48D,S5,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9007335838253712,0.0182441691211778,0.9012987012987012,0.9024644922509852
48D,S5,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8747539810341742,0.0316233227611676,0.8753246753246753,0.8769792024772975
48D,S6,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.936224755943066,0.0140510905770696,0.9365853658536584,0.9374943937055648
48D,S6,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9332886206125643,0.0223488076270071,0.9336585365853658,0.9349918966994852
48D,S6,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9248230121469556,0.0120839752776061,0.9258536585365852,0.9267116933847104
48D,S7,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9142410015649453,0.0354561742048734,0.9160975609756096,0.916590791559955
48D,S7,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9340934495864072,0.0123651985320921,0.9356097560975608,0.9364133340398676
48D,S7,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.928459646769506,0.0139837996702643,0.9297560975609758,0.9309654827963438
54D,S1,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8301954732510287,0.0378827772169726,0.8307692307692308,0.8338161287330237
54D,S1,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8611882716049383,0.0309095228318226,0.8637362637362637,0.8663926198179427
54D,S1,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8569444444444445,0.0370087385103841,0.86007326007326,0.8616400386445647
54D,S2,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8638374485596708,0.0234895308717005,0.8666666666666668,0.8683268477278381
54D,S2,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8902520576131687,0.0326763278531571,0.8930402930402931,0.8941605026168734
54D,S2,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8778549382716049,0.0277827487074046,0.8813186813186814,0.8823340281800902
54D,S3,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8642232510288066,0.018654301866322,0.8666666666666666,0.8693065180830919
54D,S3,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8577417695473251,0.0400659574017933,0.8586080586080586,0.8611422781612145
54D,S3,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.8138374485596707,0.0480559956486284,0.8139194139194139,0.8180177385290298
54D,S4,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9049697355845812,0.029301227130803,0.9053061224489796,0.9072992438055356
54D,S4,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.91554635234151,0.0117138753752289,0.9167346938775512,0.9191020435944968
54D,S4,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9070723160242116,0.0231182864480996,0.906938775510204,0.9093015716103622
54D,S5,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9107532653426372,0.0227789281053091,0.9116883116883118,0.9143484094498556
54D,S5,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9157273215244228,0.0181811536006224,0.916017316017316,0.91854139281003
54D,S5,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9250670960815888,0.014680074751411,0.9255411255411256,0.9277933649804142
54D,S6,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9447797898502124,0.0173614408243113,0.946341463414634,0.9464960302797611
54D,S6,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9452567255384156,0.0182917749658732,0.946341463414634,0.9466310794883864
54D,S6,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9377300842089576,0.0150613597707088,0.9395121951219512,0.9395269472170096
54D,S7,mk-mmd+c-dann,MK-MMD+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.942782621655861,0.0114548807168282,0.944390243902439,0.9444940972898832
54D,S7,mk-mmd+cdan,MK-MMD+CDAN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9481928608689172,0.0180186039081975,0.9492682926829268,0.9497164727522854
54D,S7,mk-mmd+cdan+c-dann,MK-MMD+CDAN+C-DANN + MLPLR,MLPLR,frozen bottleneck16 -> sklearn LR,0.9405618898576644,0.0070786511921084,0.9414634146341464,0.942419038722134
