feature_set,split,model,classifier_strategy,plot_label,mean_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,std_balanced_accuracy,seeds,range_source
54D,S7,Deep CORAL,MLP head,Deep CORAL,0.9667635442283328,0.9500707951412176,0.9806244876667412,0.0117057603142357,"0,1,2,3,4",min-max over seeds
54D,S1,LR,raw LR,LR,0.820216049382716,0.820216049382716,0.820216049382716,,-1,single deterministic fit
54D,S2,LR,raw LR,LR,0.8167438271604938,0.8167438271604938,0.8167438271604938,,-1,single deterministic fit
54D,S3,LR,raw LR,LR,0.8458076131687243,0.8458076131687243,0.8458076131687243,,-1,single deterministic fit
54D,S4,LR,raw LR,LR,0.9197196559413826,0.9197196559413826,0.9197196559413826,,-1,single deterministic fit
54D,S5,LR,raw LR,LR,0.9320093039899804,0.9320093039899804,0.9320093039899804,,-1,single deterministic fit
54D,S6,LR,raw LR,LR,0.9712348163052388,0.9712348163052388,0.9712348163052388,,-1,single deterministic fit
54D,S7,LR,raw LR,LR,0.9712348163052388,0.9712348163052388,0.9712348163052388,,-1,single deterministic fit
54D,S1,MK-MMD,MLP head,MK-MMD,0.8678497942386831,0.8016975308641975,0.911522633744856,0.040400987812067,"0,1,2,3,4",min-max over seeds
54D,S2,MK-MMD,MLP head,MK-MMD,0.8345164609053498,0.6667952674897119,0.9093364197530864,0.0969250335075637,"0,1,2,3,4",min-max over seeds
54D,S3,MK-MMD,MLP head,MK-MMD,0.889351851851852,0.8683127572016461,0.9080504115226335,0.0144476027881702,"0,1,2,3,4",min-max over seeds
54D,S4,MK-MMD,MLP head,MK-MMD,0.9101199957523628,0.8859509397897419,0.9345332908569608,0.0196721530527732,"0,1,2,3,4",min-max over seeds
54D,S5,MK-MMD,MLP head,MK-MMD,0.9306852746466272,0.9126856324923956,0.947754517802827,0.0129324242817275,"0,1,2,3,4",min-max over seeds
54D,S6,MK-MMD,MLP head,MK-MMD,0.9546613011401744,0.9506669647514716,0.9606528057232282,0.0040339999607623,"0,1,2,3,4",min-max over seeds
54D,S7,MK-MMD,MLP head,MK-MMD,0.9567777032565764,0.9412772933899696,0.9806244876667412,0.0153518196491391,"0,1,2,3,4",min-max over seeds
54D,S1,MK-MMD+CDAN,MLP head,MK-MMD+CDAN,0.8825360082304525,0.8549382716049383,0.9117798353909464,0.0203925792518812,"0,1,2,3,4",min-max over seeds
54D,S2,MK-MMD+CDAN,MLP head,MK-MMD+CDAN,0.884619341563786,0.8371913580246914,0.9535751028806584,0.0424541878433849,"0,1,2,3,4",min-max over seeds
54D,S3,MK-MMD+CDAN,MLP head,MK-MMD+CDAN,0.877829218106996,0.8356481481481483,0.9149948559670782,0.0338220164609053,"0,1,2,3,4",min-max over seeds
54D,S4,MK-MMD+CDAN,MLP head,MK-MMD+CDAN,0.917925029202506,0.9035255389189764,0.9363385366889668,0.0122790310018868,"0,1,2,3,4",min-max over seeds
54D,S5,MK-MMD+CDAN,MLP head,MK-MMD+CDAN,0.9213812846663088,0.8872785829307569,0.9436392914653784,0.0238674677541099,"0,1,2,3,4",min-max over seeds
54D,S6,MK-MMD+CDAN,MLP head,MK-MMD+CDAN,0.945733661226619,0.918324763395186,0.9612489753334824,0.0172608219315898,"0,1,2,3,4",min-max over seeds
54D,S7,MK-MMD+CDAN,MLP head,MK-MMD+CDAN,0.9466726283627692,0.9300991131977048,0.9712348163052388,0.0160314659815838,"0,1,2,3,4",min-max over seeds
