split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 3,3,acetone\acetone_11.csv,1.2020343089766017,-1.2256557569373996
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 3,3,acetone\acetone_12.csv,0.10842575007434253,-1.7777211991443826
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 3,3,acetone\acetone_13.csv,0.5296970254220208,-2.2651860617590835
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 3,3,acetone\acetone_14.csv,-0.9473349952107876,-1.5741707966177638
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 3,3,acetone\acetone_15.csv,0.9745306174934176,0.1586738554781887
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 4,4,acetone\acetone_16.csv,-0.9553426157358522,-1.8983051107645545
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 4,4,acetone\acetone_17.csv,1.3178266065202706,0.28040206983352206
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 4,4,acetone\acetone_18.csv,0.7688290296294004,0.18347858442399578
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 4,4,acetone\acetone_19.csv,-1.4688325274998282,-1.614737152872213
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 4,4,acetone\acetone_20.csv,-0.9783714482891955,-1.8995364408531725
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 5,5,acetone\acetone_21.csv,3.941065441130666,-2.5971996045042856
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 5,5,acetone\acetone_22.csv,0.9184227391320868,-0.383811684721401
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 5,5,acetone\acetone_23.csv,2.857080285422476,-2.1063616979714985
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 5,5,acetone\acetone_24.csv,9.0398682786529,-0.3199294919946795
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 5,5,acetone\acetone_25.csv,0.6343805839205395,2.5436261788959333
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 6,6,acetone\acetone_26.csv,-0.2803802621170299,-1.957225191347761
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 6,6,acetone\acetone_27.csv,0.6231343516837061,-2.0637321234783372
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 6,6,acetone\acetone_28.csv,0.5940622480482448,-0.5526962054083375
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 6,6,acetone\acetone_29.csv,1.449994585330159,-0.057390232048016424
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 6,6,acetone\acetone_30.csv,0.6900799456607114,-2.2885315530058477
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 6,6,acetone\acetone_31.csv,2.339904776740419,-2.530690550565785
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 6,6,acetone\acetone_32.csv,3.383975960094083,0.28984784623601095
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 7,7,acetone\acetone_33.csv,-1.0831827397853406,-1.964998748406527
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 7,7,acetone\acetone_34.csv,0.8212923233320247,-1.7972739400258597
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 7,7,acetone\acetone_35.csv,3.2807767012898026,-2.034593484969037
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 8,8,acetone\acetone_36.csv,3.2458490075401,-0.5008104419472841
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 8,8,acetone\acetone_37.csv,-0.09098513509860899,-1.7003883859147786
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 8,8,acetone\acetone_38.csv,-1.4577938828033148,-1.643502800714044
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 9,9,acetone\acetone_39.csv,1.4468498363806794,-0.220933229079849
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 9,9,acetone\acetone_40.csv,-0.5920774785035458,-1.8106636457721277
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 9,9,acetone\acetone_41.csv,1.4384450766694306,-2.6174412576549466
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 9,9,acetone\acetone_42.csv,3.635010286358382,0.08393884194090398
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,acetone,target,target_domain,Period_II,Day 9,9,acetone\acetone_43.csv,1.9150951220647965,-2.6028223848553025
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 3,3,air\air_5.csv,-3.599166701495834,-1.3730749534825302
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 3,3,air\air_6.csv,-3.894522256228501,-1.1918666518973977
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 3,3,air\reference_5.csv,-3.6908137874053617,2.9203329623295566
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 3,3,air\reference_6.csv,-4.045037155099492,-1.4450006020818356
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 4,4,air\air_7.csv,-3.337327675107305,1.0811878039696725
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 4,4,air\air_8.csv,-4.1929658371268195,0.7838101408950032
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 4,4,air\reference_7.csv,-3.6864209395898464,1.012383494625315
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 4,4,air\reference_8.csv,-4.598852653215721,1.5391647899265162
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 5,5,air\air_10.csv,-3.697956924667725,1.819402711650108
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 5,5,air\air_9.csv,-4.536014647650294,-1.4184297656232505
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 6,6,air\air_11.csv,-2.386654359026776,3.8135247987122844
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 6,6,air\air_12.csv,-4.965529605902818,1.7107965032333685
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 6,6,air\air_13.csv,-4.206955635640025,-1.308411333622918
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 8,8,air\air_14.csv,-4.179390428714055,0.7175336381105519
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 8,8,air\air_15.csv,-3.9966185628229915,-1.4128636507183
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 8,8,air\reference_9.csv,-4.350439087531087,0.23521885597013908
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 9,9,air\air_16.csv,-3.934272600209579,-1.3212050009584444
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,air,target,target_domain,Period_II,Day 9,9,air\air_17.csv,-4.167418728126117,0.7368997679576726
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 3,3,alcohol\alcohol_11.csv,-1.4854110473586786,1.0651882078838715
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 3,3,alcohol\alcohol_12.csv,0.1197751472551644,1.5430271383488334
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 3,3,alcohol\alcohol_13.csv,-0.5633608246427777,1.260600535824554
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 3,3,alcohol\alcohol_14.csv,0.04520350652434956,-1.4750046602644347
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 3,3,alcohol\alcohol_15.csv,-0.23990352694881134,-1.8764494249331332
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 4,4,alcohol\alcohol_16.csv,-0.049167570503500034,0.8064311144319569
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 4,4,alcohol\alcohol_17.csv,-2.3461039739465113,0.9445374376828337
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 4,4,alcohol\alcohol_18.csv,-0.18221354433131728,0.78482615901416
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 4,4,alcohol\alcohol_19.csv,-1.5433176304032372,-1.400330638714469
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 4,4,alcohol\alcohol_20.csv,-0.8852927495645625,-1.8275231956044027
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 5,5,alcohol\alcohol_21.csv,1.5295730557204328,2.8903188905780266
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 5,5,alcohol\alcohol_22.csv,-0.3653023595333331,-1.787841521858488
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 5,5,alcohol\alcohol_23.csv,13.156970338357032,0.9630111116735577
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 5,5,alcohol\alcohol_24.csv,-0.3357966346359002,0.39980336227103214
S1_train_I_test_all,three_class_with_air,MLP source only,raw standardized feature PCA,alcohol,target,target_domain,Period_II,Day 5,5,alcohol\alcohol_25.csv,-1.450394342592329,0.46047983306949797
