split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,class_loss_last,coral_loss_last,total_loss_last,feature_extractor_objective,classifier_train_n,source_train_n,source_val_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,1,source labels only,no target-domain adaptation loss,source validation labels,10,3.327172453282401e-05,,3.327172453282401e-05,min L using the same MLP source-only classification loss as DANN,20,20,10,273,0,273,0.85,0.7,0.6190476190476191,0.8333333333333334,0.6666666666666666,0.6292438271604938,0.8249999999999998,0.6518518518518519,0.6074512161161713,0.2309523809523809
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,2,source labels only,no target-domain adaptation loss,source validation labels,10,0.00013598114310298115,,0.00013598114310298115,min L using the same MLP source-only classification loss as DANN,20,20,10,273,0,273,0.85,0.7,0.6336996336996337,0.8333333333333334,0.6666666666666666,0.64184670781893,0.8249999999999998,0.6555555555555556,0.6367716898694673,0.2163003663003663
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,3,source labels only,no target-domain adaptation loss,source validation labels,10,9.55420546233654e-05,,9.55420546233654e-05,min L using the same MLP source-only classification loss as DANN,20,20,10,273,0,273,0.85,0.7,0.6007326007326007,0.8333333333333334,0.6666666666666666,0.6118827160493828,0.8249999999999998,0.6518518518518519,0.5909599108801394,0.24926739926739927
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,4,source labels only,no target-domain adaptation loss,source validation labels,20,6.75104747642763e-05,,6.75104747642763e-05,min L using the same MLP source-only classification loss as DANN,20,20,10,273,0,273,0.95,0.7,0.7289377289377289,0.9583333333333334,0.6666666666666666,0.7398405349794238,0.9407407407407407,0.6518518518518519,0.7233959347660757,0.22106227106227105
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.05,0,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,20,0.0003752399352379143,0.011815288104116917,0.000966004328802228,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.9,0.7,0.6923076923076923,0.9166666666666666,0.6666666666666666,0.7038323045267489,0.888888888888889,0.6518518518518519,0.6750660547907107,0.20769230769230773
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.05,1,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,20,0.00029150527552701533,0.005488289054483175,0.0005659197340719402,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.95,0.7,0.7619047619047619,0.9583333333333334,0.6666666666666666,0.7691615226337448,0.9407407407407407,0.6518518518518519,0.7597707665649676,0.1880952380952381
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.05,2,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,10,0.00016572742606513202,0.008617235347628593,0.0005965891759842634,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.85,0.7,0.673992673992674,0.8333333333333334,0.6666666666666666,0.6813271604938271,0.8249999999999998,0.6518518518518519,0.6815004411550553,0.17600732600732594
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.05,3,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,260,0.0001356793800368905,0.007047154940664768,0.0004880371270701289,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,1.0,0.8,0.8021978021978022,1.0,0.75,0.7970679012345679,1.0,0.7486772486772487,0.8043397442951751,0.19780219780219777
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.05,4,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,10,0.0005840121884830296,0.02661672979593277,0.001914848806336522,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.9,0.7,0.6446886446886447,0.9166666666666666,0.6666666666666666,0.6586934156378601,0.888888888888889,0.6518518518518519,0.6226870743079765,0.2553113553113553
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Deep CORAL-UDA,0.2,0,source labels only,source/target features only; gas labels not used for Deep CORAL covariance loss,source validation labels,20,0.0011219463776797056,0.0037481486797332764,0.0018715760670602322,"min L + lambda*Lcoral, where Lcoral = ||Cs - Ct||_F^2 / (4*d^2)",20,20,10,273,0,273,0.9,0.7,0.6959706959706959,0.9166666666666666,0.6666666666666666,0.7066615226337448,0.888888888888889,0.6518518518518519,0.6814566993002252,0.20402930402930408
