split,description,task,variant,lambda,conditional_alignment_strength,seed,classifier_label_usage,domain_label_usage,model_selection_labels,selection_status,best_epoch,feature_extractor_objective,condition_map,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_test_accuracy_gap,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,domain_discriminator_accuracy,L_last,Ld_last,Ld_cdan_last,Lc_last,backward_loss_scalar_last
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,,0,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,400,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.315018315018315,1.0,1.0,0.684981684981685,1.0,1.0,0.6904578189300411,1.0,1.0,0.6888894119519536,0.9261744966442953,0.0001735744153847918,0.0,0.21320384740829468,0.0,0.21337741613388062
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,,1,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,310,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.16117216117216115,1.0,1.0,0.8388278388278388,1.0,1.0,0.8388631687242798,1.0,1.0,0.8367114958684727,0.9194630872483222,0.0007958385394886136,0.0,0.22473889589309692,0.0,0.22553473711013794
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,,2,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,385,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.28205128205128205,1.0,1.0,0.717948717948718,1.0,1.0,0.7242798353909464,1.0,1.0,0.7176350489794459,0.912751677852349,0.0019573397003114223,0.0,0.24385783076286316,0.0,0.24581517279148102
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,,3,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,105,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.293040293040293,1.0,0.8,0.706959706959707,1.0,0.8333333333333334,0.7132201646090536,1.0,0.8222222222222223,0.7078436761927615,0.9093959731543624,0.0008205818012356758,0.0,0.33796289563179016,0.0,0.33878347277641296
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,,4,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,15,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.21699633699633702,0.88,0.8,0.663003663003663,0.8666666666666667,0.8333333333333334,0.6715534979423868,0.8659932659932661,0.7777777777777777,0.6476983194374498,0.9161073825503355,0.3298613429069519,0.0,0.44664764404296875,0.0,0.7765089869499207
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.05,0,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,5,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.14798534798534801,0.8,0.8,0.652014652014652,0.8333333333333334,0.8333333333333334,0.6701388888888888,0.7930283224400871,0.7777777777777777,0.6171202125710097,0.9161073825503355,0.8247917294502258,0.5503407120704651,0.4721061587333679,0.11064785718917847,1.8527709245681763
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.05,1,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,70,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.27472527472527475,1.0,0.8,0.7252747252747253,1.0,0.8333333333333334,0.7325102880658436,1.0,0.7777777777777777,0.7262285171817267,0.9161073825503355,0.0013672494096681476,0.2795237898826599,0.2639605402946472,0.0651869997382164,0.5481109023094177
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.05,2,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,185,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.3003663003663004,1.0,0.8,0.6996336996336996,1.0,0.8333333333333334,0.7075617283950617,1.0,0.8222222222222223,0.6928303864676592,0.9228187919463087,0.0038664524909108877,0.27542588114738464,0.25414180755615234,0.05695027485489845,0.5362816452980042
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.05,3,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,230,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.26739926739926745,1.0,0.8,0.7326007326007326,1.0,0.8333333333333334,0.7368827160493828,1.0,0.8222222222222223,0.7328727046374105,0.9194630872483222,0.001070254249498248,0.2816663980484009,0.25268346071243286,0.1655254364013672,0.543696403503418
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN+C-DANN-UDA,0.05,0.05,4,source labels only,source/target domain labels only; gas labels not used for domain losses,source validation labels,validation-selected best hyperparameters,220,min L - lambda*Ld - lambda*Ld_cdan + alpha*Lc via GRL and centroid alignment,"T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.19413919413919412,1.0,0.8,0.8058608058608059,1.0,0.8333333333333334,0.8069701646090536,1.0,0.8222222222222223,0.8058080416294402,0.9161073825503355,0.00040226662531495094,0.2999492883682251,0.27918165922164917,0.046718865633010864,0.5818691849708557
