split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,L_last,Ld_last,backward_loss_scalar_last,feature_extractor_objective,class_loss_last,domain_loss_last,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,340,7.896618626546115e-05,0.23137904703617096,0.23145800828933716,min L - lambda*Ld via gradient reversal,7.896618626546115e-05,0.23137904703617096,20,20,10,0,273,0,273,1.0,0.7,0.6813186813186813,1.0,0.6666666666666666,0.6837705761316872,1.0,0.6666666666666666,0.6813099027156317,0.31868131868131866,0.9385665529010239
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,5.828277062391862e-05,0.2202281802892685,0.22028645873069763,min L - lambda*Ld via gradient reversal,5.828277062391862e-05,0.2202281802892685,20,20,10,0,273,0,273,0.95,0.7,0.7142857142857143,0.9583333333333334,0.6666666666666666,0.7233796296296297,0.9407407407407407,0.6518518518518519,0.7101248790107375,0.23571428571428565,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,1.9157279893988743e-05,0.23918847739696503,0.23920764029026031,min L - lambda*Ld via gradient reversal,1.9157279893988743e-05,0.23918847739696503,20,20,10,0,273,0,273,0.85,0.7,0.6153846153846154,0.8333333333333334,0.6666666666666666,0.624485596707819,0.8249999999999998,0.6555555555555556,0.6157128197519874,0.23461538461538456,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,360,7.3109576987917535e-06,0.23415301740169525,0.23416033387184143,min L - lambda*Ld via gradient reversal,7.3109576987917535e-06,0.23415301740169525,20,20,10,0,273,0,273,1.0,0.8,0.6446886446886447,1.0,0.75,0.6464763374485597,1.0,0.7486772486772487,0.6452801228847966,0.35531135531135527,0.9249146757679181
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,0.0002213346742792055,0.22078470885753632,0.22100605070590973,min L - lambda*Ld via gradient reversal,0.0002213346742792055,0.22078470885753632,20,20,10,0,273,0,273,0.95,0.7,0.7142857142857143,0.9583333333333334,0.6666666666666666,0.7253086419753086,0.9407407407407407,0.6518518518518519,0.7067056286815925,0.23571428571428565,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,0.0017632523085922003,0.2325802892446518,0.2343435436487198,min L - lambda*Ld via gradient reversal,0.0017632523085922003,0.2325802892446518,20,20,10,0,273,0,273,0.85,0.7,0.663003663003663,0.8333333333333334,0.6666666666666666,0.6741255144032922,0.8249999999999998,0.6518518518518519,0.6431320158634133,0.186996336996337,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,1.8092658137902617e-05,0.23559750616550446,0.2356155961751938,min L - lambda*Ld via gradient reversal,1.8092658137902617e-05,0.23559750616550446,20,20,10,0,273,0,273,0.95,0.7,0.717948717948718,0.9583333333333334,0.6666666666666666,0.7274948559670782,0.9407407407407407,0.6518518518518519,0.7131057202755317,0.232051282051282,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,2.905520705098752e-05,0.2479478418827057,0.2479768991470337,min L - lambda*Ld via gradient reversal,2.905520705098752e-05,0.2479478418827057,20,20,10,0,273,0,273,0.9,0.7,0.6190476190476191,0.9166666666666666,0.6666666666666666,0.6292438271604938,0.888888888888889,0.6518518518518519,0.6176327046772391,0.28095238095238095,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,1.9867991341016022e-06,0.2177223116159439,0.2177242934703827,min L - lambda*Ld via gradient reversal,1.9867991341016022e-06,0.2177223116159439,20,20,10,0,273,0,273,0.85,0.7,0.6263736263736264,0.8333333333333334,0.6666666666666666,0.6368312757201647,0.8249999999999998,0.6518518518518519,0.6234646962233169,0.2236263736263736,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.5,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,120,0.0010286078322678804,0.24142564833164215,0.24245426058769226,min L - lambda*Ld via gradient reversal,0.0010286078322678804,0.24142564833164215,20,20,10,0,273,0,273,1.0,0.7,0.7142857142857143,1.0,0.6666666666666666,0.7182355967078188,1.0,0.6868686868686869,0.7179172222491764,0.2857142857142857,0.9351535836177475
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,MLP source only,0.0,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,190,0.00015688312123529613,0.0,0.00015688312123529613,min L - lambda*Ld via gradient reversal,0.00015688312123529613,0.0,30,30,0,0,273,28,245,1.0,0.8928571428571429,0.763265306122449,1.0,0.9,0.7676011468620579,1.0,0.899749373433584,0.7632765110468404,0.23673469387755097,0.33663366336633666
